   E (MeV)	Unadj. F×Eavg	Adj. F×Eavg
 1.00000E-10	 0.00000E+00	 0.00000E+00
 1.00000E-09	 0.00000E+00	 0.00000E+00
 1.00000E-09	 0.00000E+00	 0.00000E+00
 1.00000E-08	 0.00000E+00	 0.00000E+00
 1.00000E-08	 0.00000E+00	 0.00000E+00
 2.30000E-08	 0.00000E+00	 0.00000E+00
 2.30000E-08	 0.00000E+00	 0.00000E+00
 5.00000E-08	 0.00000E+00	 0.00000E+00
 5.00000E-08	 0.00000E+00	 0.00000E+00
 7.60000E-08	 0.00000E+00	 0.00000E+00
 7.60000E-08	 0.00000E+00	 0.00000E+00
 1.15000E-07	 0.00000E+00	 0.00000E+00
 1.15000E-07	 0.00000E+00	 0.00000E+00
 1.70000E-07	 0.00000E+00	 0.00000E+00
 1.70000E-07	 0.00000E+00	 0.00000E+00
 2.55000E-07	 0.00000E+00	 0.00000E+00
 2.55000E-07	 0.00000E+00	 0.00000E+00
 3.80000E-07	 0.00000E+00	 0.00000E+00
 3.80000E-07	 0.00000E+00	 0.00000E+00
 5.50000E-07	 0.00000E+00	 0.00000E+00
 5.50000E-07	 0.00000E+00	 0.00000E+00
 8.40000E-07	 0.00000E+00	 0.00000E+00
 8.40000E-07	 0.00000E+00	 0.00000E+00
 1.27500E-06	 0.00000E+00	 0.00000E+00
 1.27500E-06	 0.00000E+00	 0.00000E+00
 1.90000E-06	 0.00000E+00	 0.00000E+00
 1.90000E-06	 0.00000E+00	 0.00000E+00
 2.80000E-06	 0.00000E+00	 0.00000E+00
 2.80000E-06	 1.79184E+07	 1.79179E+07
 4.25000E-06	 1.79184E+07	 1.79179E+07
 4.25000E-06	 1.89671E+07	 1.89665E+07
 6.30000E-06	 1.89671E+07	 1.89665E+07
 6.30000E-06	 1.96957E+07	 1.96950E+07
 9.20000E-06	 1.96957E+07	 1.96950E+07
 9.20000E-06	 3.59001E+08	 3.58952E+08
 1.35000E-05	 3.59001E+08	 3.58952E+08
 1.35000E-05	 7.13922E+08	 7.13839E+08
 2.10000E-05	 7.13922E+08	 7.13839E+08
 2.10000E-05	 4.62063E+08	 4.62017E+08
 3.00000E-05	 4.62063E+08	 4.62017E+08
 3.00000E-05	 3.59374E+08	 3.59344E+08
 4.50000E-05	 3.59374E+08	 3.59344E+08
 4.50000E-05	 3.57652E+08	 3.57626E+08
 6.90000E-05	 3.57652E+08	 3.57626E+08
 6.90000E-05	 4.23565E+08	 4.23540E+08
 1.00000E-04	 4.23565E+08	 4.23540E+08
 1.00000E-04	 5.30901E+08	 5.30876E+08
 1.35000E-04	 5.30901E+08	 5.30876E+08
 1.35000E-04	 1.74350E+09	 1.74343E+09
 1.70000E-04	 1.74350E+09	 1.74343E+09
 1.70000E-04	 3.86165E+08	 3.86150E+08
 2.20000E-04	 3.86165E+08	 3.86150E+08
 2.20000E-04	 4.08678E+08	 4.08662E+08
 2.80000E-04	 4.08678E+08	 4.08662E+08
 2.80000E-04	 3.86714E+08	 3.86700E+08
