   E (MeV)	Unadj. F×Eavg	Adj. F×Eavg
 1.00000E-10	 0.00000E+00	 0.00000E+00
 1.00000E-09	 0.00000E+00	 0.00000E+00
 1.00000E-09	 0.00000E+00	 0.00000E+00
 1.00000E-08	 0.00000E+00	 0.00000E+00
 1.00000E-08	 0.00000E+00	 0.00000E+00
 2.30000E-08	 0.00000E+00	 0.00000E+00
 2.30000E-08	 0.00000E+00	 0.00000E+00
 5.00000E-08	 0.00000E+00	 0.00000E+00
 5.00000E-08	 0.00000E+00	 0.00000E+00
 7.60000E-08	 0.00000E+00	 0.00000E+00
 7.60000E-08	 0.00000E+00	 0.00000E+00
 1.15000E-07	 0.00000E+00	 0.00000E+00
 1.15000E-07	 0.00000E+00	 0.00000E+00
 1.70000E-07	 0.00000E+00	 0.00000E+00
 1.70000E-07	 0.00000E+00	 0.00000E+00
 2.55000E-07	 0.00000E+00	 0.00000E+00
 2.55000E-07	 0.00000E+00	 0.00000E+00
 3.80000E-07	 0.00000E+00	 0.00000E+00
 3.80000E-07	 0.00000E+00	 0.00000E+00
 5.50000E-07	 0.00000E+00	 0.00000E+00
 5.50000E-07	 0.00000E+00	 0.00000E+00
 8.40000E-07	 0.00000E+00	 0.00000E+00
 8.40000E-07	 0.00000E+00	 0.00000E+00
 1.27500E-06	 0.00000E+00	 0.00000E+00
 1.27500E-06	 0.00000E+00	 0.00000E+00
 1.90000E-06	 0.00000E+00	 0.00000E+00
 1.90000E-06	 0.00000E+00	 0.00000E+00
 2.80000E-06	 0.00000E+00	 0.00000E+00
 2.80000E-06	 1.62108E+07	 1.62152E+07
 4.25000E-06	 1.62108E+07	 1.62152E+07
 4.25000E-06	 1.71719E+07	 1.71765E+07
 6.30000E-06	 1.71719E+07	 1.71765E+07
 6.30000E-06	 1.78444E+07	 1.78491E+07
 9.20000E-06	 1.78444E+07	 1.78491E+07
 9.20000E-06	 3.74882E+08	 3.74885E+08
 1.35000E-05	 3.74882E+08	 3.74885E+08
 1.35000E-05	 7.42818E+08	 7.42853E+08
 2.10000E-05	 7.42818E+08	 7.42853E+08
 2.10000E-05	 4.77816E+08	 4.77855E+08
 3.00000E-05	 4.77816E+08	 4.77855E+08
 3.00000E-05	 3.68762E+08	 3.68804E+08
 4.50000E-05	 3.68762E+08	 3.68804E+08
 4.50000E-05	 3.64072E+08	 3.64126E+08
 6.90000E-05	 3.64072E+08	 3.64126E+08
 6.90000E-05	 4.28151E+08	 4.28226E+08
 1.00000E-04	 4.28151E+08	 4.28226E+08
 1.00000E-04	 5.34130E+08	 5.34236E+08
 1.35000E-04	 5.34130E+08	 5.34236E+08
 1.35000E-04	 1.75027E+09	 1.75064E+09
 1.70000E-04	 1.75027E+09	 1.75064E+09
 1.70000E-04	 3.87866E+08	 3.87949E+08
 2.20000E-04	 3.87866E+08	 3.87949E+08
 2.20000E-04	 4.11454E+08	 4.11542E+08
 2.80000E-04	 4.11454E+08	 4.11542E+08
 2.80000E-04	 3.90493E+08	 3.90576E+08
