   E (MeV)	Unadj. F×Eavg	Adj. F×Eavg
 1.00000E-10	 0.00000E+00	 0.00000E+00
 1.00000E-09	 0.00000E+00	 0.00000E+00
 1.00000E-09	 0.00000E+00	 0.00000E+00
 1.00000E-08	 0.00000E+00	 0.00000E+00
 1.00000E-08	 0.00000E+00	 0.00000E+00
 2.30000E-08	 0.00000E+00	 0.00000E+00
 2.30000E-08	 0.00000E+00	 0.00000E+00
 5.00000E-08	 0.00000E+00	 0.00000E+00
 5.00000E-08	 0.00000E+00	 0.00000E+00
 7.60000E-08	 0.00000E+00	 0.00000E+00
 7.60000E-08	 0.00000E+00	 0.00000E+00
 1.15000E-07	 0.00000E+00	 0.00000E+00
 1.15000E-07	 0.00000E+00	 0.00000E+00
 1.70000E-07	 0.00000E+00	 0.00000E+00
 1.70000E-07	 0.00000E+00	 0.00000E+00
 2.55000E-07	 0.00000E+00	 0.00000E+00
 2.55000E-07	 0.00000E+00	 0.00000E+00
 3.80000E-07	 0.00000E+00	 0.00000E+00
 3.80000E-07	 0.00000E+00	 0.00000E+00
 5.50000E-07	 0.00000E+00	 0.00000E+00
 5.50000E-07	 0.00000E+00	 0.00000E+00
 8.40000E-07	 0.00000E+00	 0.00000E+00
 8.40000E-07	 0.00000E+00	 0.00000E+00
 1.27500E-06	 0.00000E+00	 0.00000E+00
 1.27500E-06	 0.00000E+00	 0.00000E+00
 1.90000E-06	 0.00000E+00	 0.00000E+00
 1.90000E-06	 0.00000E+00	 0.00000E+00
 2.80000E-06	 0.00000E+00	 0.00000E+00
 2.80000E-06	 1.44362E+07	 1.57486E+07
 4.25000E-06	 1.44362E+07	 1.57486E+07
 4.25000E-06	 1.52802E+07	 1.66694E+07
 6.30000E-06	 1.52802E+07	 1.66694E+07
 6.30000E-06	 1.58696E+07	 1.73123E+07
 9.20000E-06	 1.58696E+07	 1.73123E+07
 9.20000E-06	 1.56743E+07	 2.64307E+08
 1.35000E-05	 1.56743E+07	 2.64307E+08
 1.35000E-05	 2.82005E+07	 5.28606E+08
 2.10000E-05	 2.82005E+07	 5.28606E+08
 2.10000E-05	 1.68252E+07	 3.45707E+08
 3.00000E-05	 1.68252E+07	 3.45707E+08
 3.00000E-05	 1.22824E+07	 2.72865E+08
 4.50000E-05	 1.22824E+07	 2.72865E+08
 4.50000E-05	 1.16683E+07	 2.76560E+08
 6.90000E-05	 1.16683E+07	 2.76560E+08
 6.90000E-05	 1.33918E+07	 3.34304E+08
 1.00000E-04	 1.33918E+07	 3.34304E+08
 1.00000E-04	 1.64936E+07	 4.28310E+08
 1.35000E-04	 1.64936E+07	 4.28310E+08
 1.35000E-04	 5.37956E+07	 1.43611E+09
 1.70000E-04	 5.37956E+07	 1.43611E+09
 1.70000E-04	 1.19462E+07	 3.24166E+08
 2.20000E-04	 1.19462E+07	 3.24166E+08
 2.20000E-04	 1.27631E+07	 3.48279E+08
 2.80000E-04	 1.27631E+07	 3.48279E+08
 2.80000E-04	 1.22525E+07	 3.32824E+08
