   E (MeV)	Unadj. F×Eavg	Adj. F×Eavg
 1.00000E-10	 0.00000E+00	 0.00000E+00
 1.00000E-09	 0.00000E+00	 0.00000E+00
 1.00000E-09	 0.00000E+00	 0.00000E+00
 1.00000E-08	 0.00000E+00	 0.00000E+00
 1.00000E-08	 0.00000E+00	 0.00000E+00
 2.30000E-08	 0.00000E+00	 0.00000E+00
 2.30000E-08	 0.00000E+00	 0.00000E+00
 5.00000E-08	 0.00000E+00	 0.00000E+00
 5.00000E-08	 0.00000E+00	 0.00000E+00
 7.60000E-08	 0.00000E+00	 0.00000E+00
 7.60000E-08	 0.00000E+00	 0.00000E+00
 1.15000E-07	 0.00000E+00	 0.00000E+00
 1.15000E-07	 0.00000E+00	 0.00000E+00
 1.70000E-07	 0.00000E+00	 0.00000E+00
 1.70000E-07	 0.00000E+00	 0.00000E+00
 2.55000E-07	 0.00000E+00	 0.00000E+00
 2.55000E-07	 0.00000E+00	 0.00000E+00
 3.80000E-07	 0.00000E+00	 0.00000E+00
 3.80000E-07	 0.00000E+00	 0.00000E+00
 5.50000E-07	 0.00000E+00	 0.00000E+00
 5.50000E-07	 0.00000E+00	 0.00000E+00
 8.40000E-07	 0.00000E+00	 0.00000E+00
 8.40000E-07	 0.00000E+00	 0.00000E+00
 1.27500E-06	 0.00000E+00	 0.00000E+00
 1.27500E-06	 0.00000E+00	 0.00000E+00
 1.90000E-06	 0.00000E+00	 0.00000E+00
 1.90000E-06	 0.00000E+00	 0.00000E+00
 2.80000E-06	 0.00000E+00	 0.00000E+00
 2.80000E-06	 2.66780E+03	 2.55836E+03
 4.25000E-06	 2.66780E+03	 2.55836E+03
 4.25000E-06	 3.60922E+03	 3.45549E+03
 6.30000E-06	 3.60922E+03	 3.45549E+03
 6.30000E-06	 2.05897E+04	 1.96835E+04
 9.20000E-06	 2.05897E+04	 1.96835E+04
 9.20000E-06	 1.71742E+04	 1.63974E+04
 1.35000E-05	 1.71742E+04	 1.63974E+04
 1.35000E-05	 3.93485E+04	 3.75291E+04
 2.10000E-05	 3.93485E+04	 3.75291E+04
 2.10000E-05	 3.73943E+04	 3.56360E+04
 3.00000E-05	 3.73943E+04	 3.56360E+04
 3.00000E-05	 4.73822E+04	 4.51272E+04
 4.50000E-05	 4.73822E+04	 4.51272E+04
 4.50000E-05	 5.29176E+04	 5.03778E+04
 6.90000E-05	 5.29176E+04	 5.03778E+04
 6.90000E-05	 7.16712E+04	 6.82072E+04
 1.00000E-04	 7.16712E+04	 6.82072E+04
 1.00000E-04	 6.45990E+04	 6.14497E+04
 1.35000E-04	 6.45990E+04	 6.14497E+04
 1.35000E-04	 5.51523E+04	 5.24234E+04
 1.70000E-04	 5.51523E+04	 5.24234E+04
 1.70000E-04	 4.00524E+04	 3.80167E+04
 2.20000E-04	 4.00524E+04	 3.80167E+04
 2.20000E-04	 3.18302E+04	 3.01363E+04
 2.80000E-04	 3.18302E+04	 3.01363E+04
 2.80000E-04	 2.39486E+04	 2.25795E+04
