   E (MeV)	Unadj. F×Eavg	Adj. F×Eavg
 1.00000E-10	 0.00000E+00	 0.00000E+00
 1.00000E-09	 0.00000E+00	 0.00000E+00
 1.00000E-09	 0.00000E+00	 0.00000E+00
 1.00000E-08	 0.00000E+00	 0.00000E+00
 1.00000E-08	 0.00000E+00	 0.00000E+00
 2.30000E-08	 0.00000E+00	 0.00000E+00
 2.30000E-08	 0.00000E+00	 0.00000E+00
 5.00000E-08	 0.00000E+00	 0.00000E+00
 5.00000E-08	 0.00000E+00	 0.00000E+00
 7.60000E-08	 0.00000E+00	 0.00000E+00
 7.60000E-08	 0.00000E+00	 0.00000E+00
 1.15000E-07	 0.00000E+00	 0.00000E+00
 1.15000E-07	 0.00000E+00	 0.00000E+00
 1.70000E-07	 0.00000E+00	 0.00000E+00
 1.70000E-07	 0.00000E+00	 0.00000E+00
 2.55000E-07	 0.00000E+00	 0.00000E+00
 2.55000E-07	 0.00000E+00	 0.00000E+00
 3.80000E-07	 0.00000E+00	 0.00000E+00
 3.80000E-07	 0.00000E+00	 0.00000E+00
 5.50000E-07	 0.00000E+00	 0.00000E+00
 5.50000E-07	 0.00000E+00	 0.00000E+00
 8.40000E-07	 0.00000E+00	 0.00000E+00
 8.40000E-07	 0.00000E+00	 0.00000E+00
 1.27500E-06	 0.00000E+00	 0.00000E+00
 1.27500E-06	 0.00000E+00	 0.00000E+00
 1.90000E-06	 0.00000E+00	 0.00000E+00
 1.90000E-06	 0.00000E+00	 0.00000E+00
 2.80000E-06	 0.00000E+00	 0.00000E+00
 2.80000E-06	 2.16831E+04	 6.08955E+04
 4.25000E-06	 2.16831E+04	 6.08955E+04
 4.25000E-06	 3.44262E+04	 1.13462E+05
 6.30000E-06	 3.44262E+04	 1.13462E+05
 6.30000E-06	 2.80924E+05	 1.08582E+06
 9.20000E-06	 2.80924E+05	 1.08582E+06
 9.20000E-06	 3.44733E+05	 1.55678E+06
 1.35000E-05	 3.44733E+05	 1.55678E+06
 1.35000E-05	 9.70035E+05	 5.08614E+06
 2.10000E-05	 9.70035E+05	 5.08614E+06
 2.10000E-05	 1.26176E+06	 7.61859E+06
 3.00000E-05	 1.26176E+06	 7.61859E+06
 3.00000E-05	 2.62800E+06	 1.80991E+07
 4.50000E-05	 2.62800E+06	 1.80991E+07
 4.50000E-05	 6.37012E+06	 4.95160E+07
 6.90000E-05	 6.37012E+06	 4.95160E+07
 6.90000E-05	 1.28334E+07	 1.11356E+08
 1.00000E-04	 1.28334E+07	 1.11356E+08
 1.00000E-04	 1.79660E+07	 1.72079E+08
 1.35000E-04	 1.79660E+07	 1.72079E+08
 1.35000E-04	 2.44834E+07	 2.56001E+08
 1.70000E-04	 2.44834E+07	 2.56001E+08
 1.70000E-04	 2.85735E+07	 3.22681E+08
 2.20000E-04	 2.85735E+07	 3.22681E+08
 2.20000E-04	 3.58364E+07	 4.32694E+08
 2.80000E-04	 3.58364E+07	 4.32694E+08
 2.80000E-04	 4.07738E+07	 5.21461E+08
