   E (MeV)	Unadj. F×Eavg	Adj. F×Eavg
 1.00000E-10	 0.00000E+00	 0.00000E+00
 1.00000E-09	 0.00000E+00	 0.00000E+00
 1.00000E-09	 0.00000E+00	 0.00000E+00
 1.00000E-08	 0.00000E+00	 0.00000E+00
 1.00000E-08	 0.00000E+00	 0.00000E+00
 2.30000E-08	 0.00000E+00	 0.00000E+00
 2.30000E-08	 0.00000E+00	 0.00000E+00
 5.00000E-08	 0.00000E+00	 0.00000E+00
 5.00000E-08	 0.00000E+00	 0.00000E+00
 7.60000E-08	 0.00000E+00	 0.00000E+00
 7.60000E-08	 0.00000E+00	 0.00000E+00
 1.15000E-07	 0.00000E+00	 0.00000E+00
 1.15000E-07	 0.00000E+00	 0.00000E+00
 1.70000E-07	 0.00000E+00	 0.00000E+00
 1.70000E-07	 0.00000E+00	 0.00000E+00
 2.55000E-07	 0.00000E+00	 0.00000E+00
 2.55000E-07	 0.00000E+00	 0.00000E+00
 3.80000E-07	 0.00000E+00	 0.00000E+00
 3.80000E-07	 0.00000E+00	 0.00000E+00
 5.50000E-07	 0.00000E+00	 0.00000E+00
 5.50000E-07	 0.00000E+00	 0.00000E+00
 8.40000E-07	 0.00000E+00	 0.00000E+00
 8.40000E-07	 0.00000E+00	 0.00000E+00
 1.27500E-06	 0.00000E+00	 0.00000E+00
 1.27500E-06	 0.00000E+00	 0.00000E+00
 1.90000E-06	 0.00000E+00	 0.00000E+00
 1.90000E-06	 0.00000E+00	 0.00000E+00
 2.80000E-06	 0.00000E+00	 0.00000E+00
 2.80000E-06	 2.86517E+04	 2.86371E+04
 4.25000E-06	 2.86517E+04	 2.86371E+04
 4.25000E-06	 6.39230E+04	 6.38892E+04
 6.30000E-06	 6.39230E+04	 6.38892E+04
 6.30000E-06	 7.32994E+05	 7.32598E+05
 9.20000E-06	 7.32994E+05	 7.32598E+05
 9.20000E-06	 1.26105E+06	 1.26037E+06
 1.35000E-05	 1.26105E+06	 1.26037E+06
 1.35000E-05	 4.90675E+06	 4.90415E+06
 2.10000E-05	 4.90675E+06	 4.90415E+06
 2.10000E-05	 8.68628E+06	 8.68187E+06
 3.00000E-05	 8.68628E+06	 8.68187E+06
 3.00000E-05	 2.41381E+07	 2.41265E+07
 4.50000E-05	 2.41381E+07	 2.41265E+07
 4.50000E-05	 7.63374E+07	 7.63034E+07
 6.90000E-05	 7.63374E+07	 7.63034E+07
 6.90000E-05	 1.96695E+08	 1.96613E+08
 1.00000E-04	 1.96695E+08	 1.96613E+08
 1.00000E-04	 3.40654E+08	 3.40520E+08
 1.35000E-04	 3.40654E+08	 3.40520E+08
 1.35000E-04	 5.58639E+08	 5.58429E+08
 1.70000E-04	 5.58639E+08	 5.58429E+08
 1.70000E-04	 7.57064E+08	 7.56786E+08
 2.20000E-04	 7.57064E+08	 7.56786E+08
 2.20000E-04	 1.07031E+09	 1.06992E+09
 2.80000E-04	 1.07031E+09	 1.06992E+09
 2.80000E-04	 1.32550E+09	 1.32502E+09
