   E (MeV)	Unadj. F×Eavg	Adj. F×Eavg
 1.00000E-10	 0.00000E+00	 0.00000E+00
 1.00000E-09	 0.00000E+00	 0.00000E+00
 1.00000E-09	 0.00000E+00	 0.00000E+00
 1.00000E-08	 0.00000E+00	 0.00000E+00
 1.00000E-08	 0.00000E+00	 0.00000E+00
 2.30000E-08	 0.00000E+00	 0.00000E+00
 2.30000E-08	 0.00000E+00	 0.00000E+00
 5.00000E-08	 0.00000E+00	 0.00000E+00
 5.00000E-08	 0.00000E+00	 0.00000E+00
 7.60000E-08	 0.00000E+00	 0.00000E+00
 7.60000E-08	 0.00000E+00	 0.00000E+00
 1.15000E-07	 0.00000E+00	 0.00000E+00
 1.15000E-07	 0.00000E+00	 0.00000E+00
 1.70000E-07	 0.00000E+00	 0.00000E+00
 1.70000E-07	 0.00000E+00	 0.00000E+00
 2.55000E-07	 0.00000E+00	 0.00000E+00
 2.55000E-07	 0.00000E+00	 0.00000E+00
 3.80000E-07	 0.00000E+00	 0.00000E+00
 3.80000E-07	 0.00000E+00	 0.00000E+00
 5.50000E-07	 0.00000E+00	 0.00000E+00
 5.50000E-07	 0.00000E+00	 0.00000E+00
 8.40000E-07	 0.00000E+00	 0.00000E+00
 8.40000E-07	 0.00000E+00	 0.00000E+00
 1.27500E-06	 0.00000E+00	 0.00000E+00
 1.27500E-06	 0.00000E+00	 0.00000E+00
 1.90000E-06	 0.00000E+00	 0.00000E+00
 1.90000E-06	 0.00000E+00	 0.00000E+00
 2.80000E-06	 0.00000E+00	 0.00000E+00
 2.80000E-06	 1.66468E-12	 2.50161E-12
 4.25000E-06	 1.66468E-12	 2.50161E-12
 4.25000E-06	 2.25085E-12	 3.38248E-12
 6.30000E-06	 2.25085E-12	 3.38248E-12
 6.30000E-06	 3.23520E-12	 4.86172E-12
 9.20000E-06	 3.23520E-12	 4.86172E-12
 9.20000E-06	 4.35717E-12	 6.54777E-12
 1.35000E-05	 4.35717E-12	 6.54777E-12
 1.35000E-05	 1.41169E-11	 2.12142E-11
 2.10000E-05	 1.41169E-11	 2.12142E-11
 2.10000E-05	 2.56013E-11	 3.84725E-11
 3.00000E-05	 2.56013E-11	 3.84725E-11
 3.00000E-05	 2.43241E-11	 3.65532E-11
 4.50000E-05	 2.43241E-11	 3.65532E-11
 4.50000E-05	 2.08251E-11	 3.12950E-11
 6.90000E-05	 2.08251E-11	 3.12950E-11
 6.90000E-05	 1.85392E-11	 2.78598E-11
 1.00000E-04	 1.85392E-11	 2.78598E-11
 1.00000E-04	 1.58020E-11	 2.37465E-11
 1.35000E-04	 1.58020E-11	 2.37465E-11
 1.35000E-04	 1.81260E-11	 2.72390E-11
 1.70000E-04	 1.81260E-11	 2.72390E-11
 1.70000E-04	 1.43261E-11	 2.15286E-11
 2.20000E-04	 1.43261E-11	 2.15286E-11
 2.20000E-04	 1.37690E-11	 2.06914E-11
 2.80000E-04	 1.37690E-11	 2.06914E-11
 2.80000E-04	 1.22663E-11	 1.84332E-11
