   E (MeV)	Unadj. F×Eavg	Adj. F×Eavg
 1.00000E-10	 0.00000E+00	 0.00000E+00
 1.00000E-09	 0.00000E+00	 0.00000E+00
 1.00000E-09	 0.00000E+00	 0.00000E+00
 1.00000E-08	 0.00000E+00	 0.00000E+00
 1.00000E-08	 0.00000E+00	 0.00000E+00
 2.30000E-08	 0.00000E+00	 0.00000E+00
 2.30000E-08	 0.00000E+00	 0.00000E+00
 5.00000E-08	 0.00000E+00	 0.00000E+00
 5.00000E-08	 0.00000E+00	 0.00000E+00
 7.60000E-08	 0.00000E+00	 0.00000E+00
 7.60000E-08	 0.00000E+00	 0.00000E+00
 1.15000E-07	 0.00000E+00	 0.00000E+00
 1.15000E-07	 0.00000E+00	 0.00000E+00
 1.70000E-07	 0.00000E+00	 0.00000E+00
 1.70000E-07	 0.00000E+00	 0.00000E+00
 2.55000E-07	 0.00000E+00	 0.00000E+00
 2.55000E-07	 0.00000E+00	 0.00000E+00
 3.80000E-07	 0.00000E+00	 0.00000E+00
 3.80000E-07	 0.00000E+00	 0.00000E+00
 5.50000E-07	 0.00000E+00	 0.00000E+00
 5.50000E-07	 0.00000E+00	 0.00000E+00
 8.40000E-07	 0.00000E+00	 0.00000E+00
 8.40000E-07	 0.00000E+00	 0.00000E+00
 1.27500E-06	 0.00000E+00	 0.00000E+00
 1.27500E-06	 0.00000E+00	 0.00000E+00
 1.90000E-06	 0.00000E+00	 0.00000E+00
 1.90000E-06	 0.00000E+00	 0.00000E+00
 2.80000E-06	 0.00000E+00	 0.00000E+00
 2.80000E-06	 1.72221E+05	 1.85659E+05
 4.25000E-06	 1.72221E+05	 1.85659E+05
 4.25000E-06	 2.25660E+05	 2.44559E+05
 6.30000E-06	 2.25660E+05	 2.44559E+05
 6.30000E-06	 1.46555E+06	 1.59699E+06
 9.20000E-06	 1.46555E+06	 1.59699E+06
 9.20000E-06	 1.37863E+06	 1.51059E+06
 1.35000E-05	 1.37863E+06	 1.51059E+06
 1.35000E-05	 2.81963E+06	 3.10642E+06
 2.10000E-05	 2.81963E+06	 3.10642E+06
 2.10000E-05	 2.48910E+06	 2.75677E+06
 3.00000E-05	 2.48910E+06	 2.75677E+06
 3.00000E-05	 3.14906E+06	 3.50495E+06
 4.50000E-05	 3.14906E+06	 3.50495E+06
 4.50000E-05	 5.67927E+06	 6.34965E+06
 6.90000E-05	 5.67927E+06	 6.34965E+06
 6.90000E-05	 9.00719E+06	 1.01104E+07
 1.00000E-04	 9.00719E+06	 1.01104E+07
 1.00000E-04	 9.86849E+06	 1.11147E+07
 1.35000E-04	 9.86849E+06	 1.11147E+07
 1.35000E-04	 1.06361E+07	 1.20120E+07
 1.70000E-04	 1.06361E+07	 1.20120E+07
 1.70000E-04	 9.88442E+06	 1.11868E+07
 2.20000E-04	 9.88442E+06	 1.11868E+07
 2.20000E-04	 9.99121E+06	 1.13249E+07
 2.80000E-04	 9.99121E+06	 1.13249E+07
 2.80000E-04	 9.33778E+06	 1.05949E+07
