   E (MeV)	Unadj. F×Eavg	Adj. F×Eavg
 1.00000E-10	 0.00000E+00	 0.00000E+00
 1.00000E-09	 0.00000E+00	 0.00000E+00
 1.00000E-09	 0.00000E+00	 0.00000E+00
 1.00000E-08	 0.00000E+00	 0.00000E+00
 1.00000E-08	 0.00000E+00	 0.00000E+00
 2.30000E-08	 0.00000E+00	 0.00000E+00
 2.30000E-08	 0.00000E+00	 0.00000E+00
 5.00000E-08	 0.00000E+00	 0.00000E+00
 5.00000E-08	 0.00000E+00	 0.00000E+00
 7.60000E-08	 0.00000E+00	 0.00000E+00
 7.60000E-08	 0.00000E+00	 0.00000E+00
 1.15000E-07	 0.00000E+00	 0.00000E+00
 1.15000E-07	 0.00000E+00	 0.00000E+00
 1.70000E-07	 0.00000E+00	 0.00000E+00
 1.70000E-07	 0.00000E+00	 0.00000E+00
 2.55000E-07	 0.00000E+00	 0.00000E+00
 2.55000E-07	 0.00000E+00	 0.00000E+00
 3.80000E-07	 0.00000E+00	 0.00000E+00
 3.80000E-07	 0.00000E+00	 0.00000E+00
 5.50000E-07	 0.00000E+00	 0.00000E+00
 5.50000E-07	 0.00000E+00	 0.00000E+00
 8.40000E-07	 0.00000E+00	 0.00000E+00
 8.40000E-07	 0.00000E+00	 0.00000E+00
 1.27500E-06	 0.00000E+00	 0.00000E+00
 1.27500E-06	 0.00000E+00	 0.00000E+00
 1.90000E-06	 0.00000E+00	 0.00000E+00
 1.90000E-06	 0.00000E+00	 0.00000E+00
 2.80000E-06	 0.00000E+00	 0.00000E+00
 2.80000E-06	 6.91328E+03	 6.53284E+03
 4.25000E-06	 6.91328E+03	 6.53284E+03
 4.25000E-06	 9.43743E+03	 8.91469E+03
 6.30000E-06	 9.43743E+03	 8.91469E+03
 6.30000E-06	 1.40101E+04	 1.32345E+04
 9.20000E-06	 1.40101E+04	 1.32345E+04
 9.20000E-06	 2.48143E+04	 2.34505E+04
 1.35000E-05	 2.48143E+04	 2.34505E+04
 1.35000E-05	 5.99614E+04	 5.67101E+04
 2.10000E-05	 5.99614E+04	 5.67101E+04
 2.10000E-05	 6.25381E+04	 5.92102E+04
 3.00000E-05	 6.25381E+04	 5.92102E+04
 3.00000E-05	 3.24079E+04	 3.07221E+04
 4.50000E-05	 3.24079E+04	 3.07221E+04
 4.50000E-05	 2.10613E+04	 1.99932E+04
 6.90000E-05	 2.10613E+04	 1.99932E+04
 6.90000E-05	 1.45514E+04	 1.38326E+04
 1.00000E-04	 1.45514E+04	 1.38326E+04
 1.00000E-04	 9.74920E+03	 9.27979E+03
 1.35000E-04	 9.74920E+03	 9.27979E+03
 1.35000E-04	 6.21782E+03	 5.92540E+03
 1.70000E-04	 6.21782E+03	 5.92540E+03
 1.70000E-04	 2.26863E+03	 2.16409E+03
 2.20000E-04	 2.26863E+03	 2.16409E+03
 2.20000E-04	 1.39839E+03	 1.33504E+03
 2.80000E-04	 1.39839E+03	 1.33504E+03
 2.80000E-04	 8.40650E+02	 8.03101E+02
