   E (MeV)	Unadj. F×Eavg	Adj. F×Eavg
 1.00000E-10	 0.00000E+00	 0.00000E+00
 1.00000E-09	 0.00000E+00	 0.00000E+00
 1.00000E-09	 0.00000E+00	 0.00000E+00
 1.00000E-08	 0.00000E+00	 0.00000E+00
 1.00000E-08	 0.00000E+00	 0.00000E+00
 2.30000E-08	 0.00000E+00	 0.00000E+00
 2.30000E-08	 0.00000E+00	 0.00000E+00
 5.00000E-08	 0.00000E+00	 0.00000E+00
 5.00000E-08	 0.00000E+00	 0.00000E+00
 7.60000E-08	 0.00000E+00	 0.00000E+00
 7.60000E-08	 0.00000E+00	 0.00000E+00
 1.15000E-07	 0.00000E+00	 0.00000E+00
 1.15000E-07	 0.00000E+00	 0.00000E+00
 1.70000E-07	 0.00000E+00	 0.00000E+00
 1.70000E-07	 0.00000E+00	 0.00000E+00
 2.55000E-07	 0.00000E+00	 0.00000E+00
 2.55000E-07	 0.00000E+00	 0.00000E+00
 3.80000E-07	 0.00000E+00	 0.00000E+00
 3.80000E-07	 0.00000E+00	 0.00000E+00
 5.50000E-07	 0.00000E+00	 0.00000E+00
 5.50000E-07	 0.00000E+00	 0.00000E+00
 8.40000E-07	 0.00000E+00	 0.00000E+00
 8.40000E-07	 0.00000E+00	 0.00000E+00
 1.27500E-06	 0.00000E+00	 0.00000E+00
 1.27500E-06	 0.00000E+00	 0.00000E+00
 1.90000E-06	 0.00000E+00	 0.00000E+00
 1.90000E-06	 0.00000E+00	 0.00000E+00
 2.80000E-06	 0.00000E+00	 0.00000E+00
 2.80000E-06	 8.00038E+07	 2.14360E+06
 4.25000E-06	 8.00038E+07	 2.14360E+06
 4.25000E-06	 8.46814E+07	 3.81333E+06
 6.30000E-06	 8.46814E+07	 3.81333E+06
 6.30000E-06	 8.79474E+07	 7.90123E+06
 9.20000E-06	 8.79474E+07	 7.90123E+06
 9.20000E-06	 8.68654E+07	 2.13682E+07
 1.35000E-05	 8.68654E+07	 2.13682E+07
 1.35000E-05	 7.56915E+07	 8.97300E+07
 2.10000E-05	 7.56915E+07	 8.97300E+07
 2.10000E-05	 9.32432E+07	 2.03498E+08
 3.00000E-05	 9.32432E+07	 2.03498E+08
 3.00000E-05	 8.22734E+07	 2.62170E+08
 4.50000E-05	 8.22734E+07	 2.62170E+08
 4.50000E-05	 7.81597E+07	 3.24321E+08
 6.90000E-05	 7.81597E+07	 3.24321E+08
 6.90000E-05	 8.97046E+07	 4.51143E+08
 1.00000E-04	 8.97046E+07	 4.51143E+08
 1.00000E-04	 1.10481E+08	 6.40092E+08
 1.35000E-04	 1.10481E+08	 6.40092E+08
 1.35000E-04	 1.43391E+08	 9.20916E+08
 1.70000E-04	 1.43391E+08	 9.20916E+08
 1.70000E-04	 1.28347E+08	 8.86506E+08
 2.20000E-04	 1.28347E+08	 8.86506E+08
 2.20000E-04	 1.37122E+08	 9.94198E+08
 2.80000E-04	 1.37122E+08	 9.94198E+08
 2.80000E-04	 1.31637E+08	 9.82528E+08
