   E (MeV)	Unadj. F×Eavg	Adj. F×Eavg
 1.00000E-10	 0.00000E+00	 0.00000E+00
 1.00000E-09	 0.00000E+00	 0.00000E+00
 1.00000E-09	 0.00000E+00	 0.00000E+00
 1.00000E-08	 0.00000E+00	 0.00000E+00
 1.00000E-08	 0.00000E+00	 0.00000E+00
 2.30000E-08	 0.00000E+00	 0.00000E+00
 2.30000E-08	 0.00000E+00	 0.00000E+00
 5.00000E-08	 0.00000E+00	 0.00000E+00
 5.00000E-08	 0.00000E+00	 0.00000E+00
 7.60000E-08	 0.00000E+00	 0.00000E+00
 7.60000E-08	 0.00000E+00	 0.00000E+00
 1.15000E-07	 0.00000E+00	 0.00000E+00
 1.15000E-07	 0.00000E+00	 0.00000E+00
 1.70000E-07	 0.00000E+00	 0.00000E+00
 1.70000E-07	 0.00000E+00	 0.00000E+00
 2.55000E-07	 0.00000E+00	 0.00000E+00
 2.55000E-07	 0.00000E+00	 0.00000E+00
 3.80000E-07	 0.00000E+00	 0.00000E+00
 3.80000E-07	 0.00000E+00	 0.00000E+00
 5.50000E-07	 0.00000E+00	 0.00000E+00
 5.50000E-07	 0.00000E+00	 0.00000E+00
 8.40000E-07	 0.00000E+00	 0.00000E+00
 8.40000E-07	 0.00000E+00	 0.00000E+00
 1.27500E-06	 0.00000E+00	 0.00000E+00
 1.27500E-06	 0.00000E+00	 0.00000E+00
 1.90000E-06	 0.00000E+00	 0.00000E+00
 1.90000E-06	 0.00000E+00	 0.00000E+00
 2.80000E-06	 0.00000E+00	 0.00000E+00
 2.80000E-06	 1.65775E-07	 1.79719E-07
 4.25000E-06	 1.65775E-07	 1.79719E-07
 4.25000E-06	 1.73983E-07	 1.88616E-07
 6.30000E-06	 1.73983E-07	 1.88616E-07
 6.30000E-06	 1.80593E-07	 1.95782E-07
 9.20000E-06	 1.80593E-07	 1.95782E-07
 9.20000E-06	 1.79046E-07	 1.94105E-07
 1.35000E-05	 1.79046E-07	 1.94105E-07
 1.35000E-05	 1.57304E-07	 1.70535E-07
 2.10000E-05	 1.57304E-07	 1.70535E-07
 2.10000E-05	 1.96705E-07	 2.13250E-07
 3.00000E-05	 1.96705E-07	 2.13250E-07
 3.00000E-05	 1.75799E-07	 1.90585E-07
 4.50000E-05	 1.75799E-07	 1.90585E-07
 4.50000E-05	 1.67881E-07	 1.82001E-07
 6.90000E-05	 1.67881E-07	 1.82001E-07
 6.90000E-05	 1.92992E-07	 2.09224E-07
 1.00000E-04	 1.92992E-07	 2.09224E-07
 1.00000E-04	 2.35134E-07	 2.54911E-07
 1.35000E-04	 2.35134E-07	 2.54911E-07
 1.35000E-04	 2.99058E-07	 3.24211E-07
 1.70000E-04	 2.99058E-07	 3.24211E-07
 1.70000E-04	 2.56620E-07	 2.78205E-07
 2.20000E-04	 2.56620E-07	 2.78205E-07
 2.20000E-04	 2.60999E-07	 2.82952E-07
 2.80000E-04	 2.60999E-07	 2.82952E-07
 2.80000E-04	 2.33819E-07	 2.53485E-07
