IN115G  IFX  3.937E+01 140INNG   3.83406E+22
 9.0954378E-02 2.5991612E-01 4.5282653E-01 5.4204324E-01 6.0265246E-01 6.4434670E-01
 6.6079371E-01 6.7963550E-01 6.8498655E-01 6.6815521E-01 5.9786705E-01 2.7464747E-01
 2.1650789E-02 6.5244904E-01 3.6929510E-01 9.4989269E-01 2.2393079E-01 6.7688032E-01
 9.9626586E-01 5.7915955E-01 4.5179866E-01 8.6501151E-01 6.6137106E-01 7.9991275E-01
 6.8783524E-01 6.3250736E-01 6.6882420E-01 7.3925412E-01 8.1581576E-01 8.4695694E-01
 8.9941025E-01 8.9640529E-01 9.0958131E-01 9.5217766E-01 9.1953329E-01 9.7493324E-01
 9.7805666E-01 9.8062456E-01 9.8267786E-01 9.8428994E-01 9.8587930E-01 9.8687035E-01
 9.8856074E-01 9.8932654E-01 9.9058381E-01 9.9144599E-01 9.9234585E-01 9.9315342E-01
 9.9396628E-01 9.9468443E-01 9.9535934E-01 9.9580548E-01 9.9621581E-01 9.9651751E-01
 9.9673454E-01 9.9692327E-01 9.9707515E-01 9.9715516E-01 9.9726350E-01 9.9732910E-01
 9.9738285E-01 9.9742298E-01 9.9744212E-01 9.9744853E-01 9.9744461E-01 9.9742879E-01
 9.9740777E-01 9.9737942E-01 9.9733466E-01 9.9729282E-01 9.9722268E-01 9.9719585E-01
 9.9728537E-01 9.9749339E-01 9.9776808E-01 9.9816879E-01 9.9855253E-01 9.9897798E-01
 9.9923846E-01 9.9971812E-01 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00
AU197G  IFX  3.937E+00 140AUNG   5.90087E+22
 5.2571537E-01 7.5685752E-01 8.6786754E-01 9.0109796E-01 9.2121671E-01 9.3466030E-01
 9.4027114E-01 9.4803161E-01 9.5409534E-01 9.5878500E-01 9.6184248E-01 9.6309344E-01
 9.6044113E-01 9.4783870E-01 8.3297202E-01 1.3139914E-01 9.5146064E-01 9.9191630E-01
 9.9764371E-01 9.9897330E-01 9.9916741E-01 4.7694973E-01 7.8647547E-01 8.6171385E-01
 8.2935369E-01 8.3541201E-01 8.2082403E-01 8.1520488E-01 8.7915097E-01 8.8949041E-01
 9.0072148E-01 9.2059835E-01 9.3808753E-01 9.5951910E-01 9.6799129E-01 9.7413164E-01
 9.8210666E-01 9.8579253E-01 9.9376466E-01 9.9595846E-01 9.9667756E-01 9.9706931E-01
 9.9769035E-01 9.9795799E-01 9.9829770E-01 9.9843526E-01 9.9861029E-01 9.9876546E-01
 9.9889721E-01 9.9901583E-01 9.9911203E-01 9.9916779E-01 9.9921595E-01 9.9925042E-01
 9.9928131E-01 9.9931083E-01 9.9936123E-01 9.9941998E-01 9.9946840E-01 9.9987011E-01
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00
