   E (MeV)	Unadj. F×Eavg	Adj. F×Eavg
 1.00000E-10	 0.00000E+00	 0.00000E+00
 1.00000E-09	 0.00000E+00	 0.00000E+00
 1.00000E-09	 0.00000E+00	 0.00000E+00
 1.00000E-08	 0.00000E+00	 0.00000E+00
 1.00000E-08	 0.00000E+00	 0.00000E+00
 2.30000E-08	 0.00000E+00	 0.00000E+00
 2.30000E-08	 0.00000E+00	 0.00000E+00
 5.00000E-08	 0.00000E+00	 0.00000E+00
 5.00000E-08	 0.00000E+00	 0.00000E+00
 7.60000E-08	 0.00000E+00	 0.00000E+00
 7.60000E-08	 0.00000E+00	 0.00000E+00
 1.15000E-07	 0.00000E+00	 0.00000E+00
 1.15000E-07	 0.00000E+00	 0.00000E+00
 1.70000E-07	 0.00000E+00	 0.00000E+00
 1.70000E-07	 0.00000E+00	 0.00000E+00
 2.55000E-07	 0.00000E+00	 0.00000E+00
 2.55000E-07	 0.00000E+00	 0.00000E+00
 3.80000E-07	 0.00000E+00	 0.00000E+00
 3.80000E-07	 0.00000E+00	 0.00000E+00
 5.50000E-07	 0.00000E+00	 0.00000E+00
 5.50000E-07	 0.00000E+00	 0.00000E+00
 8.40000E-07	 0.00000E+00	 0.00000E+00
 8.40000E-07	 0.00000E+00	 0.00000E+00
 1.27500E-06	 0.00000E+00	 0.00000E+00
 1.27500E-06	 0.00000E+00	 0.00000E+00
 1.90000E-06	 0.00000E+00	 0.00000E+00
 1.90000E-06	 0.00000E+00	 0.00000E+00
 2.80000E-06	 0.00000E+00	 0.00000E+00
 2.80000E-06	 8.06210E+05	 5.24350E+05
 4.25000E-06	 8.06210E+05	 5.24350E+05
 4.25000E-06	 1.27913E+06	 7.62255E+05
 6.30000E-06	 1.27913E+06	 7.62255E+05
 6.30000E-06	 1.04103E+07	 5.54772E+06
 9.20000E-06	 1.04103E+07	 5.54772E+06
 9.20000E-06	 1.27937E+07	 5.90665E+06
 1.35000E-05	 1.27937E+07	 5.90665E+06
 1.35000E-05	 3.59970E+07	 1.37912E+07
 2.10000E-05	 3.59970E+07	 1.37912E+07
 2.10000E-05	 4.68836E+07	 1.40048E+07
 3.00000E-05	 4.68836E+07	 1.40048E+07
 3.00000E-05	 9.73869E+07	 2.05162E+07
 4.50000E-05	 9.73869E+07	 2.05162E+07
 4.50000E-05	 2.35797E+08	 4.31150E+07
 6.90000E-05	 2.35797E+08	 4.31150E+07
 6.90000E-05	 4.77354E+08	 8.00966E+07
 1.00000E-04	 4.77354E+08	 8.00966E+07
 1.00000E-04	 6.66614E+08	 1.03369E+08
 1.35000E-04	 6.66614E+08	 1.03369E+08
 1.35000E-04	 9.10241E+08	 1.31971E+08
 1.70000E-04	 9.10241E+08	 1.31971E+08
 1.70000E-04	 1.06212E+09	 1.46370E+08
 2.20000E-04	 1.06212E+09	 1.46370E+08
 2.20000E-04	 1.33009E+09	 1.77948E+08
 2.80000E-04	 1.33009E+09	 1.77948E+08
 2.80000E-04	 1.51682E+09	 2.02056E+08
