   E (MeV)	Unadj. F×Eavg	Adj. F×Eavg
 1.00000E-10	 2.90106E+05	 4.09917E+06
 1.00000E-09	 2.90106E+05	 4.09917E+06
 1.00000E-09	 2.90120E+05	 4.36608E+06
 1.00000E-08	 2.90120E+05	 4.36608E+06
 1.00000E-08	 4.17182E+05	 6.56207E+06
 2.30000E-08	 4.17182E+05	 6.56207E+06
 2.30000E-08	 2.13949E+06	 3.44723E+07
 5.00000E-08	 2.13949E+06	 3.44723E+07
 5.00000E-08	 3.98251E+06	 6.43118E+07
 7.60000E-08	 3.98251E+06	 6.43118E+07
 7.60000E-08	 2.68314E+06	 4.23996E+07
 1.15000E-07	 2.68314E+06	 4.23996E+07
 1.15000E-07	 2.01312E+06	 3.03084E+07
 1.70000E-07	 2.01312E+06	 3.03084E+07
 1.70000E-07	 1.25694E+06	 1.74856E+07
 2.55000E-07	 1.25694E+06	 1.74856E+07
 2.55000E-07	 8.68387E+05	 1.07643E+07
 3.80000E-07	 8.68387E+05	 1.07643E+07
 3.80000E-07	 6.87591E+05	 7.25965E+06
 5.50000E-07	 6.87591E+05	 7.25965E+06
 5.50000E-07	 3.53169E+06	 2.99094E+07
 8.40000E-07	 3.53169E+06	 2.99094E+07
 8.40000E-07	 2.38832E+06	 1.48453E+07
 1.27500E-06	 2.38832E+06	 1.48453E+07
 1.27500E-06	 1.73672E+06	 6.76993E+06
 1.90000E-06	 1.73672E+06	 6.76993E+06
 1.90000E-06	 1.23983E+06	 2.00775E+06
 2.80000E-06	 1.23983E+06	 2.00775E+06
 2.80000E-06	 7.16458E+05	 6.89218E+04
 4.25000E-06	 7.16458E+05	 6.89218E+04
 4.25000E-06	 5.36354E+06	 7.62630E+04
 6.30000E-06	 5.36354E+06	 7.62630E+04
 6.30000E-06	 3.93745E+06	 1.11601E+04
 9.20000E-06	 3.93745E+06	 1.11601E+04
 9.20000E-06	 2.62266E+06	 2.09804E+03
 1.35000E-05	 2.62266E+06	 2.09804E+03
 1.35000E-05	 1.31015E+06	 4.28867E+02
 2.10000E-05	 1.31015E+06	 4.28867E+02
 2.10000E-05	 1.34485E+06	 2.60816E+02
 3.00000E-05	 1.34485E+06	 2.60816E+02
 3.00000E-05	 7.11904E+05	 1.15630E+02
 4.50000E-05	 7.11904E+05	 1.15630E+02
 4.50000E-05	 4.22668E+06	 7.79142E+02
 6.90000E-05	 4.22668E+06	 7.79142E+02
 6.90000E-05	 3.75531E+06	 1.00766E+03
 1.00000E-04	 3.75531E+06	 1.00766E+03
 1.00000E-04	 4.09614E+06	 1.92930E+03
 1.35000E-04	 4.09614E+06	 1.92930E+03
 1.35000E-04	 5.31589E+06	 4.97869E+03
 1.70000E-04	 5.31589E+06	 4.97869E+03
 1.70000E-04	 3.33051E+06	 6.62826E+03
 2.20000E-04	 3.33051E+06	 6.62826E+03
 2.20000E-04	 2.96503E+06	 1.27410E+04
 2.80000E-04	 2.96503E+06	 1.27410E+04
 2.80000E-04	 2.13465E+06	 1.93303E+04
 3.60000E-04	 2.13465E+06	 1.93303E+04
 3.60000E-04	 2.13456E+06	 3.86120E+04
 4.50000E-04	 2.13456E+06	 3.86120E+04
 4.50000E-04	 1.40020E+06	 4.70768E+04
 5.75000E-04	 1.40020E+06	 4.70768E+04
 5.75000E-04	 8.32574E+05	 4.79690E+04
 7.60000E-04	 8.32574E+05	 4.79690E+04
 7.60000E-04	 9.17776E+06	 8.34027E+05
 9.60000E-04	 9.17776E+06	 8.34027E+05
