   E (MeV)	Unadj. F×Eavg	Adj. F×Eavg
 1.00000E-10	 0.00000E+00	 0.00000E+00
 1.00000E-09	 0.00000E+00	 0.00000E+00
 1.00000E-09	 0.00000E+00	 0.00000E+00
 1.00000E-08	 0.00000E+00	 0.00000E+00
 1.00000E-08	 0.00000E+00	 0.00000E+00
 2.30000E-08	 0.00000E+00	 0.00000E+00
 2.30000E-08	 0.00000E+00	 0.00000E+00
 5.00000E-08	 0.00000E+00	 0.00000E+00
 5.00000E-08	 0.00000E+00	 0.00000E+00
 7.60000E-08	 0.00000E+00	 0.00000E+00
 7.60000E-08	 0.00000E+00	 0.00000E+00
 1.15000E-07	 0.00000E+00	 0.00000E+00
 1.15000E-07	 0.00000E+00	 0.00000E+00
 1.70000E-07	 0.00000E+00	 0.00000E+00
 1.70000E-07	 0.00000E+00	 0.00000E+00
 2.55000E-07	 0.00000E+00	 0.00000E+00
 2.55000E-07	 0.00000E+00	 0.00000E+00
 3.80000E-07	 0.00000E+00	 0.00000E+00
 3.80000E-07	 0.00000E+00	 0.00000E+00
 5.50000E-07	 0.00000E+00	 0.00000E+00
 5.50000E-07	 0.00000E+00	 0.00000E+00
 8.40000E-07	 0.00000E+00	 0.00000E+00
 8.40000E-07	 0.00000E+00	 0.00000E+00
 1.27500E-06	 0.00000E+00	 0.00000E+00
 1.27500E-06	 0.00000E+00	 0.00000E+00
 1.90000E-06	 0.00000E+00	 0.00000E+00
 1.90000E-06	 0.00000E+00	 0.00000E+00
 2.80000E-06	 0.00000E+00	 0.00000E+00
 2.80000E-06	 1.87609E+07	 1.87495E+07
 4.25000E-06	 1.87609E+07	 1.87495E+07
 4.25000E-06	 2.35286E+07	 2.35148E+07
 6.30000E-06	 2.35286E+07	 2.35148E+07
 6.30000E-06	 4.42229E+07	 4.41978E+07
 9.20000E-06	 4.42229E+07	 4.41978E+07
 9.20000E-06	 8.15291E+07	 8.14839E+07
 1.35000E-05	 8.15291E+07	 8.14839E+07
 1.35000E-05	 1.11035E+08	 1.10975E+08
 2.10000E-05	 1.11035E+08	 1.10975E+08
 2.10000E-05	 1.93196E+08	 1.93093E+08
 3.00000E-05	 1.93196E+08	 1.93093E+08
 3.00000E-05	 2.24484E+08	 2.24365E+08
 4.50000E-05	 2.24484E+08	 2.24365E+08
 4.50000E-05	 2.66144E+08	 2.66005E+08
 6.90000E-05	 2.66144E+08	 2.66005E+08
 6.90000E-05	 3.64992E+08	 3.64803E+08
 1.00000E-04	 3.64992E+08	 3.64803E+08
 1.00000E-04	 5.18287E+08	 5.18022E+08
 1.35000E-04	 5.18287E+08	 5.18022E+08
 1.35000E-04	 7.52231E+08	 7.51848E+08
 1.70000E-04	 7.52231E+08	 7.51848E+08
 1.70000E-04	 7.34298E+08	 7.33926E+08
 2.20000E-04	 7.34298E+08	 7.33926E+08
 2.20000E-04	 8.38911E+08	 8.38486E+08
 2.80000E-04	 8.38911E+08	 8.38486E+08
 2.80000E-04	 8.47617E+08	 8.47188E+08
