   E (MeV)	Unadj. F×Eavg	Adj. F×Eavg
 1.00000E-10	 0.00000E+00	 0.00000E+00
 1.00000E-09	 0.00000E+00	 0.00000E+00
 1.00000E-09	 0.00000E+00	 0.00000E+00
 1.00000E-08	 0.00000E+00	 0.00000E+00
 1.00000E-08	 0.00000E+00	 0.00000E+00
 2.30000E-08	 0.00000E+00	 0.00000E+00
 2.30000E-08	 0.00000E+00	 0.00000E+00
 5.00000E-08	 0.00000E+00	 0.00000E+00
 5.00000E-08	 0.00000E+00	 0.00000E+00
 7.60000E-08	 0.00000E+00	 0.00000E+00
 7.60000E-08	 0.00000E+00	 0.00000E+00
 1.15000E-07	 0.00000E+00	 0.00000E+00
 1.15000E-07	 0.00000E+00	 0.00000E+00
 1.70000E-07	 0.00000E+00	 0.00000E+00
 1.70000E-07	 0.00000E+00	 0.00000E+00
 2.55000E-07	 0.00000E+00	 0.00000E+00
 2.55000E-07	 0.00000E+00	 0.00000E+00
 3.80000E-07	 0.00000E+00	 0.00000E+00
 3.80000E-07	 0.00000E+00	 0.00000E+00
 5.50000E-07	 0.00000E+00	 0.00000E+00
 5.50000E-07	 0.00000E+00	 0.00000E+00
 8.40000E-07	 0.00000E+00	 0.00000E+00
 8.40000E-07	 0.00000E+00	 0.00000E+00
 1.27500E-06	 0.00000E+00	 0.00000E+00
 1.27500E-06	 0.00000E+00	 0.00000E+00
 1.90000E-06	 0.00000E+00	 0.00000E+00
 1.90000E-06	 0.00000E+00	 0.00000E+00
 2.80000E-06	 0.00000E+00	 0.00000E+00
 2.80000E-06	 1.81902E+08	 2.81439E+07
 4.25000E-06	 1.81902E+08	 2.81439E+07
 4.25000E-06	 1.92538E+08	 3.47379E+07
 6.30000E-06	 1.92538E+08	 3.47379E+07
 6.30000E-06	 1.99964E+08	 6.37357E+07
 9.20000E-06	 1.99964E+08	 6.37357E+07
 9.20000E-06	 1.97504E+08	 1.13959E+08
 1.35000E-05	 1.97504E+08	 1.13959E+08
 1.35000E-05	 1.72098E+08	 1.49881E+08
 2.10000E-05	 1.72098E+08	 1.49881E+08
 2.10000E-05	 2.12005E+08	 2.51311E+08
 3.00000E-05	 2.12005E+08	 2.51311E+08
 3.00000E-05	 1.87063E+08	 2.81409E+08
 4.50000E-05	 1.87063E+08	 2.81409E+08
 4.50000E-05	 1.77710E+08	 3.22041E+08
 6.90000E-05	 1.77710E+08	 3.22041E+08
 6.90000E-05	 2.03959E+08	 4.27345E+08
 1.00000E-04	 2.03959E+08	 4.27345E+08
 1.00000E-04	 2.51199E+08	 5.88577E+08
 1.35000E-04	 2.51199E+08	 5.88577E+08
 1.35000E-04	 3.26024E+08	 8.30988E+08
 1.70000E-04	 3.26024E+08	 8.30988E+08
 1.70000E-04	 2.91818E+08	 7.90728E+08
 2.20000E-04	 2.91818E+08	 7.90728E+08
 2.20000E-04	 3.11771E+08	 8.81087E+08
 2.80000E-04	 3.11771E+08	 8.81087E+08
 2.80000E-04	 2.99300E+08	 8.68426E+08
