   E (MeV)	Unadj. F×Eavg	Adj. F×Eavg
 1.00000E-10	 0.00000E+00	 0.00000E+00
 1.00000E-09	 0.00000E+00	 0.00000E+00
 1.00000E-09	 0.00000E+00	 0.00000E+00
 1.00000E-08	 0.00000E+00	 0.00000E+00
 1.00000E-08	 0.00000E+00	 0.00000E+00
 2.30000E-08	 0.00000E+00	 0.00000E+00
 2.30000E-08	 0.00000E+00	 0.00000E+00
 5.00000E-08	 0.00000E+00	 0.00000E+00
 5.00000E-08	 0.00000E+00	 0.00000E+00
 7.60000E-08	 0.00000E+00	 0.00000E+00
 7.60000E-08	 0.00000E+00	 0.00000E+00
 1.15000E-07	 0.00000E+00	 0.00000E+00
 1.15000E-07	 0.00000E+00	 0.00000E+00
 1.70000E-07	 0.00000E+00	 0.00000E+00
 1.70000E-07	 0.00000E+00	 0.00000E+00
 2.55000E-07	 0.00000E+00	 0.00000E+00
 2.55000E-07	 0.00000E+00	 0.00000E+00
 3.80000E-07	 0.00000E+00	 0.00000E+00
 3.80000E-07	 0.00000E+00	 0.00000E+00
 5.50000E-07	 0.00000E+00	 0.00000E+00
 5.50000E-07	 0.00000E+00	 0.00000E+00
 8.40000E-07	 0.00000E+00	 0.00000E+00
 8.40000E-07	 0.00000E+00	 0.00000E+00
 1.27500E-06	 0.00000E+00	 0.00000E+00
 1.27500E-06	 0.00000E+00	 0.00000E+00
 1.90000E-06	 0.00000E+00	 0.00000E+00
 1.90000E-06	 0.00000E+00	 0.00000E+00
 2.80000E-06	 0.00000E+00	 0.00000E+00
 2.80000E-06	 2.47461E+03	 1.02535E+04
 4.25000E-06	 2.47461E+03	 1.02535E+04
 4.25000E-06	 3.92222E+03	 1.94787E+04
 6.30000E-06	 3.92222E+03	 1.94787E+04
 6.30000E-06	 3.19463E+04	 1.89289E+05
 9.20000E-06	 3.19463E+04	 1.89289E+05
 9.20000E-06	 3.92693E+04	 2.75614E+05
 1.35000E-05	 3.92693E+04	 2.75614E+05
 1.35000E-05	 1.10458E+05	 9.09837E+05
 2.10000E-05	 1.10458E+05	 9.09837E+05
 2.10000E-05	 1.43614E+05	 1.37344E+06
 3.00000E-05	 1.43614E+05	 1.37344E+06
 3.00000E-05	 2.98852E+05	 3.27926E+06
 4.50000E-05	 2.98852E+05	 3.27926E+06
 4.50000E-05	 7.24031E+05	 9.00213E+06
 6.90000E-05	 7.24031E+05	 9.00213E+06
 6.90000E-05	 1.46559E+06	 2.03823E+07
 1.00000E-04	 1.46559E+06	 2.03823E+07
 1.00000E-04	 2.05039E+06	 3.14805E+07
 1.35000E-04	 2.05039E+06	 3.14805E+07
 1.35000E-04	 2.79761E+06	 4.68039E+07
 1.70000E-04	 2.79761E+06	 4.68039E+07
 1.70000E-04	 3.25736E+06	 5.86227E+07
 2.20000E-04	 3.25736E+06	 5.86227E+07
 2.20000E-04	 4.08910E+06	 7.81824E+07
 2.80000E-04	 4.08910E+06	 7.81824E+07
 2.80000E-04	 4.65635E+06	 9.34548E+07
