   E (MeV)	Unadj. F×Eavg	Adj. F×Eavg
 1.00000E-10	 0.00000E+00	 0.00000E+00
 1.00000E-09	 0.00000E+00	 0.00000E+00
 1.00000E-09	 0.00000E+00	 0.00000E+00
 1.00000E-08	 0.00000E+00	 0.00000E+00
 1.00000E-08	 0.00000E+00	 0.00000E+00
 2.30000E-08	 0.00000E+00	 0.00000E+00
 2.30000E-08	 0.00000E+00	 0.00000E+00
 5.00000E-08	 0.00000E+00	 0.00000E+00
 5.00000E-08	 0.00000E+00	 0.00000E+00
 7.60000E-08	 0.00000E+00	 0.00000E+00
 7.60000E-08	 0.00000E+00	 0.00000E+00
 1.15000E-07	 0.00000E+00	 0.00000E+00
 1.15000E-07	 0.00000E+00	 0.00000E+00
 1.70000E-07	 0.00000E+00	 0.00000E+00
 1.70000E-07	 0.00000E+00	 0.00000E+00
 2.55000E-07	 0.00000E+00	 0.00000E+00
 2.55000E-07	 0.00000E+00	 0.00000E+00
 3.80000E-07	 0.00000E+00	 0.00000E+00
 3.80000E-07	 0.00000E+00	 0.00000E+00
 5.50000E-07	 0.00000E+00	 0.00000E+00
 5.50000E-07	 0.00000E+00	 0.00000E+00
 8.40000E-07	 0.00000E+00	 0.00000E+00
 8.40000E-07	 0.00000E+00	 0.00000E+00
 1.27500E-06	 0.00000E+00	 0.00000E+00
 1.27500E-06	 0.00000E+00	 0.00000E+00
 1.90000E-06	 0.00000E+00	 0.00000E+00
 1.90000E-06	 0.00000E+00	 0.00000E+00
 2.80000E-06	 0.00000E+00	 0.00000E+00
 2.80000E-06	 0.00000E+00	 0.00000E+00
 4.25000E-06	 0.00000E+00	 0.00000E+00
 4.25000E-06	 0.00000E+00	 0.00000E+00
 6.30000E-06	 0.00000E+00	 0.00000E+00
 6.30000E-06	 0.00000E+00	 0.00000E+00
 9.20000E-06	 0.00000E+00	 0.00000E+00
 9.20000E-06	 0.00000E+00	 0.00000E+00
 1.35000E-05	 0.00000E+00	 0.00000E+00
 1.35000E-05	 9.48175E+06	 9.51437E+06
 2.10000E-05	 9.48175E+06	 9.51437E+06
 2.10000E-05	 5.91711E+06	 5.93753E+06
 3.00000E-05	 5.91711E+06	 5.93753E+06
 3.00000E-05	 2.04833E+06	 2.05544E+06
 4.50000E-05	 2.04833E+06	 2.05544E+06
 4.50000E-05	 1.45177E+06	 1.45684E+06
 6.90000E-05	 1.45177E+06	 1.45684E+06
 6.90000E-05	 1.23079E+06	 1.23514E+06
 1.00000E-04	 1.23079E+06	 1.23514E+06
 1.00000E-04	 1.10046E+06	 1.10441E+06
 1.35000E-04	 1.10046E+06	 1.10441E+06
 1.35000E-04	 1.02096E+07	 1.02471E+07
 1.70000E-04	 1.02096E+07	 1.02471E+07
 1.70000E-04	 6.60958E+06	 6.63471E+06
 2.20000E-04	 6.60958E+06	 6.63471E+06
 2.20000E-04	 5.31067E+06	 5.33176E+06
 2.80000E-04	 5.31067E+06	 5.33176E+06
 2.80000E-04	 4.03917E+06	 4.05613E+06
