   E (MeV)	Unadj. F×Eavg	Adj. F×Eavg
 1.00000E-10	 0.00000E+00	 0.00000E+00
 1.00000E-09	 0.00000E+00	 0.00000E+00
 1.00000E-09	 0.00000E+00	 0.00000E+00
 1.00000E-08	 0.00000E+00	 0.00000E+00
 1.00000E-08	 0.00000E+00	 0.00000E+00
 2.30000E-08	 0.00000E+00	 0.00000E+00
 2.30000E-08	 0.00000E+00	 0.00000E+00
 5.00000E-08	 0.00000E+00	 0.00000E+00
 5.00000E-08	 0.00000E+00	 0.00000E+00
 7.60000E-08	 0.00000E+00	 0.00000E+00
 7.60000E-08	 0.00000E+00	 0.00000E+00
 1.15000E-07	 0.00000E+00	 0.00000E+00
 1.15000E-07	 0.00000E+00	 0.00000E+00
 1.70000E-07	 0.00000E+00	 0.00000E+00
 1.70000E-07	 0.00000E+00	 0.00000E+00
 2.55000E-07	 0.00000E+00	 0.00000E+00
 2.55000E-07	 0.00000E+00	 0.00000E+00
 3.80000E-07	 0.00000E+00	 0.00000E+00
 3.80000E-07	 0.00000E+00	 0.00000E+00
 5.50000E-07	 0.00000E+00	 0.00000E+00
 5.50000E-07	 0.00000E+00	 0.00000E+00
 8.40000E-07	 0.00000E+00	 0.00000E+00
 8.40000E-07	 0.00000E+00	 0.00000E+00
 1.27500E-06	 0.00000E+00	 0.00000E+00
 1.27500E-06	 0.00000E+00	 0.00000E+00
 1.90000E-06	 0.00000E+00	 0.00000E+00
 1.90000E-06	 0.00000E+00	 0.00000E+00
 2.80000E-06	 0.00000E+00	 0.00000E+00
 2.80000E-06	 0.00000E+00	 0.00000E+00
 4.25000E-06	 0.00000E+00	 0.00000E+00
 4.25000E-06	 0.00000E+00	 0.00000E+00
 6.30000E-06	 0.00000E+00	 0.00000E+00
 6.30000E-06	 0.00000E+00	 0.00000E+00
 9.20000E-06	 0.00000E+00	 0.00000E+00
 9.20000E-06	 0.00000E+00	 0.00000E+00
 1.35000E-05	 0.00000E+00	 0.00000E+00
 1.35000E-05	 6.09418E+07	 2.73480E+07
 2.10000E-05	 6.09418E+07	 2.73480E+07
 2.10000E-05	 7.50732E+07	 2.41130E+07
 3.00000E-05	 7.50732E+07	 2.41130E+07
 3.00000E-05	 6.62411E+07	 1.28503E+07
 4.50000E-05	 6.62411E+07	 1.28503E+07
 4.50000E-05	 6.29290E+07	 1.05597E+07
 6.90000E-05	 6.29290E+07	 1.05597E+07
 6.90000E-05	 7.22241E+07	 1.04522E+07
 1.00000E-04	 7.22241E+07	 1.04522E+07
 1.00000E-04	 8.89523E+07	 1.10853E+07
 1.35000E-04	 8.89523E+07	 1.10853E+07
 1.35000E-04	 1.15449E+09	 1.24363E+08
 1.70000E-04	 1.15449E+09	 1.24363E+08
 1.70000E-04	 1.03336E+09	 9.78981E+07
 2.20000E-04	 1.03336E+09	 9.78981E+07
 2.20000E-04	 1.10402E+09	 9.48741E+07
 2.80000E-04	 1.10402E+09	 9.48741E+07
 2.80000E-04	 1.05986E+09	 8.60098E+07
