   E (MeV)	Unadj. F×Eavg	Adj. F×Eavg
 1.00000E-10	 0.00000E+00	 0.00000E+00
 1.00000E-09	 0.00000E+00	 0.00000E+00
 1.00000E-09	 0.00000E+00	 0.00000E+00
 1.00000E-08	 0.00000E+00	 0.00000E+00
 1.00000E-08	 0.00000E+00	 0.00000E+00
 2.30000E-08	 0.00000E+00	 0.00000E+00
 2.30000E-08	 0.00000E+00	 0.00000E+00
 5.00000E-08	 0.00000E+00	 0.00000E+00
 5.00000E-08	 0.00000E+00	 0.00000E+00
 7.60000E-08	 0.00000E+00	 0.00000E+00
 7.60000E-08	 0.00000E+00	 0.00000E+00
 1.15000E-07	 0.00000E+00	 0.00000E+00
 1.15000E-07	 0.00000E+00	 0.00000E+00
 1.70000E-07	 0.00000E+00	 0.00000E+00
 1.70000E-07	 0.00000E+00	 0.00000E+00
 2.55000E-07	 0.00000E+00	 0.00000E+00
 2.55000E-07	 0.00000E+00	 0.00000E+00
 3.80000E-07	 0.00000E+00	 0.00000E+00
 3.80000E-07	 0.00000E+00	 0.00000E+00
 5.50000E-07	 0.00000E+00	 0.00000E+00
 5.50000E-07	 0.00000E+00	 0.00000E+00
 8.40000E-07	 0.00000E+00	 0.00000E+00
 8.40000E-07	 0.00000E+00	 0.00000E+00
 1.27500E-06	 0.00000E+00	 0.00000E+00
 1.27500E-06	 0.00000E+00	 0.00000E+00
 1.90000E-06	 0.00000E+00	 0.00000E+00
 1.90000E-06	 0.00000E+00	 0.00000E+00
 2.80000E-06	 0.00000E+00	 0.00000E+00
 2.80000E-06	 3.11128E+05	 3.11091E+05
 4.25000E-06	 3.11128E+05	 3.11091E+05
 4.25000E-06	 3.55754E+05	 3.55705E+05
 6.30000E-06	 3.55754E+05	 3.55705E+05
 6.30000E-06	 3.85677E+05	 3.85622E+05
 9.20000E-06	 3.85677E+05	 3.85622E+05
 9.20000E-06	 3.34659E+05	 3.34616E+05
 1.35000E-05	 3.34659E+05	 3.34616E+05
 1.35000E-05	 1.18286E+06	 1.18275E+06
 2.10000E-05	 1.18286E+06	 1.18275E+06
 2.10000E-05	 2.05026E+06	 2.05017E+06
 3.00000E-05	 2.05026E+06	 2.05017E+06
 3.00000E-05	 1.89098E+06	 1.89104E+06
 4.50000E-05	 1.89098E+06	 1.89104E+06
 4.50000E-05	 1.62594E+06	 1.62615E+06
 6.90000E-05	 1.62594E+06	 1.62615E+06
 6.90000E-05	 1.55513E+06	 1.55553E+06
 1.00000E-04	 1.55513E+06	 1.55553E+06
 1.00000E-04	 1.52858E+06	 1.52923E+06
 1.35000E-04	 1.52858E+06	 1.52923E+06
 1.35000E-04	 1.57006E+06	 1.57106E+06
 1.70000E-04	 1.57006E+06	 1.57106E+06
 1.70000E-04	 1.13888E+06	 1.13991E+06
 2.20000E-04	 1.13888E+06	 1.13991E+06
 2.20000E-04	 1.04474E+06	 1.04604E+06
 2.80000E-04	 1.04474E+06	 1.04604E+06
 2.80000E-04	 9.41903E+05	 9.43478E+05
