   E (MeV)	Unadj. F×Eavg	Adj. F×Eavg
 1.00000E-10	 0.00000E+00	 0.00000E+00
 1.00000E-09	 0.00000E+00	 0.00000E+00
 1.00000E-09	 0.00000E+00	 0.00000E+00
 1.00000E-08	 0.00000E+00	 0.00000E+00
 1.00000E-08	 0.00000E+00	 0.00000E+00
 2.30000E-08	 0.00000E+00	 0.00000E+00
 2.30000E-08	 0.00000E+00	 0.00000E+00
 5.00000E-08	 0.00000E+00	 0.00000E+00
 5.00000E-08	 0.00000E+00	 0.00000E+00
 7.60000E-08	 0.00000E+00	 0.00000E+00
 7.60000E-08	 0.00000E+00	 0.00000E+00
 1.15000E-07	 0.00000E+00	 0.00000E+00
 1.15000E-07	 0.00000E+00	 0.00000E+00
 1.70000E-07	 0.00000E+00	 0.00000E+00
 1.70000E-07	 0.00000E+00	 0.00000E+00
 2.55000E-07	 0.00000E+00	 0.00000E+00
 2.55000E-07	 0.00000E+00	 0.00000E+00
 3.80000E-07	 0.00000E+00	 0.00000E+00
 3.80000E-07	 0.00000E+00	 0.00000E+00
 5.50000E-07	 0.00000E+00	 0.00000E+00
 5.50000E-07	 0.00000E+00	 0.00000E+00
 8.40000E-07	 0.00000E+00	 0.00000E+00
 8.40000E-07	 0.00000E+00	 0.00000E+00
 1.27500E-06	 0.00000E+00	 0.00000E+00
 1.27500E-06	 0.00000E+00	 0.00000E+00
 1.90000E-06	 0.00000E+00	 0.00000E+00
 1.90000E-06	 0.00000E+00	 0.00000E+00
 2.80000E-06	 0.00000E+00	 0.00000E+00
 2.80000E-06	 2.67739E+08	 6.62601E+06
 4.25000E-06	 2.67739E+08	 6.62601E+06
 4.25000E-06	 2.83393E+08	 1.15500E+07
 6.30000E-06	 2.83393E+08	 1.15500E+07
 6.30000E-06	 2.94323E+08	 2.33984E+07
 9.20000E-06	 2.94323E+08	 2.33984E+07
 9.20000E-06	 2.90702E+08	 5.19912E+07
 1.35000E-05	 2.90702E+08	 5.19912E+07
 1.35000E-05	 2.53307E+08	 2.57060E+08
 2.10000E-05	 2.53307E+08	 2.57060E+08
 2.10000E-05	 3.12045E+08	 6.20316E+08
 3.00000E-05	 3.12045E+08	 6.20316E+08
 3.00000E-05	 2.75334E+08	 8.17660E+08
 4.50000E-05	 2.75334E+08	 8.17660E+08
 4.50000E-05	 2.61567E+08	 1.02344E+09
 6.90000E-05	 2.61567E+08	 1.02344E+09
 6.90000E-05	 3.00203E+08	 1.43369E+09
 1.00000E-04	 3.00203E+08	 1.43369E+09
 1.00000E-04	 3.69734E+08	 2.04356E+09
 1.35000E-04	 3.69734E+08	 2.04356E+09
 1.35000E-04	 4.79868E+08	 2.94956E+09
 1.70000E-04	 4.79868E+08	 2.94956E+09
 1.70000E-04	 4.29521E+08	 2.84596E+09
 2.20000E-04	 4.29521E+08	 2.84596E+09
 2.20000E-04	 4.58890E+08	 3.19724E+09
 2.80000E-04	 4.58890E+08	 3.19724E+09
 2.80000E-04	 4.40534E+08	 3.16393E+09
