   E (MeV)	Unadj. F×Eavg	Adj. F×Eavg
 1.00000E-10	 0.00000E+00	 0.00000E+00
 1.00000E-09	 0.00000E+00	 0.00000E+00
 1.00000E-09	 0.00000E+00	 0.00000E+00
 1.00000E-08	 0.00000E+00	 0.00000E+00
 1.00000E-08	 0.00000E+00	 0.00000E+00
 2.30000E-08	 0.00000E+00	 0.00000E+00
 2.30000E-08	 0.00000E+00	 0.00000E+00
 5.00000E-08	 0.00000E+00	 0.00000E+00
 5.00000E-08	 0.00000E+00	 0.00000E+00
 7.60000E-08	 0.00000E+00	 0.00000E+00
 7.60000E-08	 0.00000E+00	 0.00000E+00
 1.15000E-07	 0.00000E+00	 0.00000E+00
 1.15000E-07	 0.00000E+00	 0.00000E+00
 1.70000E-07	 0.00000E+00	 0.00000E+00
 1.70000E-07	 0.00000E+00	 0.00000E+00
 2.55000E-07	 0.00000E+00	 0.00000E+00
 2.55000E-07	 0.00000E+00	 0.00000E+00
 3.80000E-07	 0.00000E+00	 0.00000E+00
 3.80000E-07	 0.00000E+00	 0.00000E+00
 5.50000E-07	 0.00000E+00	 0.00000E+00
 5.50000E-07	 0.00000E+00	 0.00000E+00
 8.40000E-07	 0.00000E+00	 0.00000E+00
 8.40000E-07	 0.00000E+00	 0.00000E+00
 1.27500E-06	 0.00000E+00	 0.00000E+00
 1.27500E-06	 0.00000E+00	 0.00000E+00
 1.90000E-06	 0.00000E+00	 0.00000E+00
 1.90000E-06	 0.00000E+00	 0.00000E+00
 2.80000E-06	 0.00000E+00	 0.00000E+00
 2.80000E-06	 1.83071E-48	 1.85435E-48
 4.25000E-06	 1.83071E-48	 1.85435E-48
 4.25000E-06	 1.87366E-48	 1.89784E-48
 6.30000E-06	 1.87366E-48	 1.89784E-48
 6.30000E-06	 2.08642E-48	 2.11336E-48
 9.20000E-06	 2.08642E-48	 2.11336E-48
 9.20000E-06	 2.37056E-48	 2.40116E-48
 1.35000E-05	 2.37056E-48	 2.40116E-48
 1.35000E-05	 4.02858E-48	 4.08059E-48
 2.10000E-05	 4.02858E-48	 4.08059E-48
 2.10000E-05	 9.31742E-48	 9.43771E-48
 3.00000E-05	 9.31742E-48	 9.43771E-48
 3.00000E-05	 1.06138E-47	 1.07509E-47
 4.50000E-05	 1.06138E-47	 1.07509E-47
 4.50000E-05	 1.00979E-47	 1.02282E-47
 6.90000E-05	 1.00979E-47	 1.02282E-47
 6.90000E-05	 1.17814E-47	 1.19335E-47
 1.00000E-04	 1.17814E-47	 1.19335E-47
 1.00000E-04	 1.35955E-47	 1.37711E-47
 1.35000E-04	 1.35955E-47	 1.37711E-47
 1.35000E-04	 1.79654E-47	 1.81973E-47
 1.70000E-04	 1.79654E-47	 1.81973E-47
 1.70000E-04	 1.36714E-47	 1.38479E-47
 2.20000E-04	 1.36714E-47	 1.38479E-47
 2.20000E-04	 1.51901E-47	 1.53862E-47
 2.80000E-04	 1.51901E-47	 1.53862E-47
 2.80000E-04	 1.42780E-47	 1.44623E-47
