   E (MeV)	Unadj. F×Eavg	Adj. F×Eavg
 1.00000E-10	 1.94756E+05	 1.92126E+05
 1.00000E-09	 1.94756E+05	 1.92126E+05
 1.00000E-09	 1.94722E+05	 1.92090E+05
 1.00000E-08	 1.94722E+05	 1.92090E+05
 1.00000E-08	 4.04327E+05	 3.98865E+05
 2.30000E-08	 4.04327E+05	 3.98865E+05
 2.30000E-08	 4.30347E+05	 4.24536E+05
 5.00000E-08	 4.30347E+05	 4.24536E+05
 5.00000E-08	 7.69849E+05	 7.59430E+05
 7.60000E-08	 7.69849E+05	 7.59430E+05
 7.60000E-08	 7.75416E+05	 7.64837E+05
 1.15000E-07	 7.75416E+05	 7.64837E+05
 1.15000E-07	 8.15801E+05	 8.04482E+05
 1.70000E-07	 8.15801E+05	 8.04482E+05
 1.70000E-07	 7.80199E+05	 7.69055E+05
 2.55000E-07	 7.80199E+05	 7.69055E+05
 2.55000E-07	 7.82253E+05	 7.70584E+05
 3.80000E-07	 7.82253E+05	 7.70584E+05
 3.80000E-07	 8.26793E+05	 8.13710E+05
 5.50000E-07	 8.26793E+05	 8.13710E+05
 5.50000E-07	 7.06065E+05	 6.94029E+05
 8.40000E-07	 7.06065E+05	 6.94029E+05
 8.40000E-07	 6.92055E+05	 6.79168E+05
 1.27500E-06	 6.92055E+05	 6.79168E+05
 1.27500E-06	 6.91420E+05	 6.77198E+05
 1.90000E-06	 6.91420E+05	 6.77198E+05
 1.90000E-06	 6.71162E+05	 6.55790E+05
 2.80000E-06	 6.71162E+05	 6.55790E+05
 2.80000E-06	 5.81271E+05	 5.66382E+05
 4.25000E-06	 5.81271E+05	 5.66382E+05
 4.25000E-06	 8.42615E+05	 8.18450E+05
 6.30000E-06	 8.42615E+05	 8.18450E+05
 6.30000E-06	 6.13509E+06	 5.93843E+06
 9.20000E-06	 6.13509E+06	 5.93843E+06
 9.20000E-06	 6.57735E+06	 6.34261E+06
 1.35000E-05	 6.57735E+06	 6.34261E+06
 1.35000E-05	 1.56377E+07	 1.50199E+07
 2.10000E-05	 1.56377E+07	 1.50199E+07
 2.10000E-05	 1.65494E+07	 1.58308E+07
 3.00000E-05	 1.65494E+07	 1.58308E+07
 3.00000E-05	 2.65333E+07	 2.52770E+07
 4.50000E-05	 2.65333E+07	 2.52770E+07
 4.50000E-05	 4.58423E+07	 4.34955E+07
 6.90000E-05	 4.58423E+07	 4.34955E+07
 6.90000E-05	 5.94525E+07	 5.61904E+07
 1.00000E-04	 5.94525E+07	 5.61904E+07
 1.00000E-04	 7.16702E+07	 6.74924E+07
 1.35000E-04	 7.16702E+07	 6.74924E+07
 1.35000E-04	 8.53008E+07	 8.00636E+07
 1.70000E-04	 8.53008E+07	 8.00636E+07
 1.70000E-04	 8.79724E+07	 8.23311E+07
 2.20000E-04	 8.79724E+07	 8.23311E+07
 2.20000E-04	 9.91854E+07	 9.25954E+07
 2.80000E-04	 9.91854E+07	 9.25954E+07
 2.80000E-04	 1.04333E+08	 9.72054E+07
 3.60000E-04	 1.04333E+08	 9.72054E+07
 3.60000E-04	 1.01740E+08	 9.46450E+07
 4.50000E-04	 1.01740E+08	 9.46450E+07
 4.50000E-04	 1.09231E+08	 1.01508E+08
 5.75000E-04	 1.09231E+08	 1.01508E+08
 5.75000E-04	 1.15108E+08	 1.06911E+08
 7.60000E-04	 1.15108E+08	 1.06911E+08
 7.60000E-04	 1.17246E+08	 1.08888E+08
 9.60000E-04	 1.17246E+08	 1.08888E+08
 9.60000E-04	 1.46490E+08	 1.36102E+08
 1.27500E-03	 1.46490E+08	 1.36102E+08
 1.27500E-03	 1.74562E+08	 1.62321E+08
 1.60000E-03	 1.74562E+08	 1.62321E+08
 1.60000E-03	 2.84888E+08	 2.65249E+08
 2.00000E-03	 2.84888E+08	 2.65249E+08
 2.00000E-03	 4.87328E+08	 4.54496E+08
 2.70000E-03	 4.87328E+08	 4.54496E+08
 2.70000E-03	 7.20124E+08	 6.72978E+08
 3.40000E-03	 7.20124E+08	 6.72978E+08
 3.40000E-03	 1.11458E+09	 1.04406E+09
 4.50000E-03	 1.11458E+09	 1.04406E+09
 4.50000E-03	 1.53806E+09	 1.44446E+09
 5.50000E-03	 1.53806E+09	 1.44446E+09
