   E (MeV)	Unadj. F×Eavg	Adj. F×Eavg
 1.00000E-10	 1.89846E+05	 1.89127E+05
 1.00000E-09	 1.89846E+05	 1.89127E+05
 1.00000E-09	 1.89867E+05	 1.89095E+05
 1.00000E-08	 1.89867E+05	 1.89095E+05
 1.00000E-08	 3.94297E+05	 3.92593E+05
 2.30000E-08	 3.94297E+05	 3.92593E+05
 2.30000E-08	 4.19772E+05	 4.17804E+05
 5.00000E-08	 4.19772E+05	 4.17804E+05
 5.00000E-08	 7.51586E+05	 7.47584E+05
 7.60000E-08	 7.51586E+05	 7.47584E+05
 7.60000E-08	 7.58037E+05	 7.53153E+05
 1.15000E-07	 7.58037E+05	 7.53153E+05
 1.15000E-07	 7.99445E+05	 7.92821E+05
 1.70000E-07	 7.99445E+05	 7.92821E+05
 1.70000E-07	 7.67469E+05	 7.58927E+05
 2.55000E-07	 7.67469E+05	 7.58927E+05
 2.55000E-07	 7.73835E+05	 7.62018E+05
 3.80000E-07	 7.73835E+05	 7.62018E+05
 3.80000E-07	 8.24299E+05	 8.06982E+05
 5.50000E-07	 8.24299E+05	 8.06982E+05
 5.50000E-07	 7.11330E+05	 6.90953E+05
 8.40000E-07	 7.11330E+05	 6.90953E+05
 8.40000E-07	 7.06715E+05	 6.79540E+05
 1.27500E-06	 7.06715E+05	 6.79540E+05
 1.27500E-06	 7.18169E+05	 6.81783E+05
 1.90000E-06	 7.18169E+05	 6.81783E+05
 1.90000E-06	 7.11841E+05	 6.65245E+05
 2.80000E-06	 7.11841E+05	 6.65245E+05
 2.80000E-06	 6.32062E+05	 5.79646E+05
 4.25000E-06	 6.32062E+05	 5.79646E+05
 4.25000E-06	 9.43444E+05	 8.46187E+05
 6.30000E-06	 9.43444E+05	 8.46187E+05
 6.30000E-06	 7.10471E+06	 6.21071E+06
 9.20000E-06	 7.10471E+06	 6.21071E+06
 9.20000E-06	 7.91129E+06	 6.71704E+06
 1.35000E-05	 7.91129E+06	 6.71704E+06
 1.35000E-05	 1.96157E+07	 1.61214E+07
 2.10000E-05	 1.96157E+07	 1.61214E+07
 2.10000E-05	 2.17284E+07	 1.72313E+07
 3.00000E-05	 2.17284E+07	 1.72313E+07
 3.00000E-05	 3.65744E+07	 2.79085E+07
 4.50000E-05	 3.65744E+07	 2.79085E+07
 4.50000E-05	 6.64947E+07	 4.87081E+07
 6.90000E-05	 6.64947E+07	 4.87081E+07
 6.90000E-05	 9.08684E+07	 6.37874E+07
 1.00000E-04	 9.08684E+07	 6.37874E+07
 1.00000E-04	 1.15479E+08	 7.76083E+07
 1.35000E-04	 1.15479E+08	 7.76083E+07
 1.35000E-04	 1.44800E+08	 9.31552E+07
 1.70000E-04	 1.44800E+08	 9.31552E+07
 1.70000E-04	 1.57031E+08	 9.67857E+07
 2.20000E-04	 1.57031E+08	 9.67857E+07
 2.20000E-04	 1.85600E+08	 1.09795E+08
 2.80000E-04	 1.85600E+08	 1.09795E+08
 2.80000E-04	 2.03791E+08	 1.16038E+08
 3.60000E-04	 2.03791E+08	 1.16038E+08
 3.60000E-04	 2.06337E+08	 1.13517E+08
 4.50000E-04	 2.06337E+08	 1.13517E+08
 4.50000E-04	 2.28574E+08	 1.22078E+08
 5.75000E-04	 2.28574E+08	 1.22078E+08
 5.75000E-04	 2.46781E+08	 1.28662E+08
 7.60000E-04	 2.46781E+08	 1.28662E+08
 7.60000E-04	 2.55541E+08	 1.30860E+08
 9.60000E-04	 2.55541E+08	 1.30860E+08
 9.60000E-04	 3.21928E+08	 1.62996E+08
 1.27500E-03	 3.21928E+08	 1.62996E+08
 1.27500E-03	 3.83786E+08	 1.93435E+08
 1.60000E-03	 3.83786E+08	 1.93435E+08
 1.60000E-03	 6.21453E+08	 3.13917E+08
 2.00000E-03	 6.21453E+08	 3.13917E+08
 2.00000E-03	 1.04677E+09	 5.33354E+08
 2.70000E-03	 1.04677E+09	 5.33354E+08
 2.70000E-03	 1.51287E+09	 7.82090E+08
 3.40000E-03	 1.51287E+09	 7.82090E+08
 3.40000E-03	 2.27705E+09	 1.20030E+09
 4.50000E-03	 2.27705E+09	 1.20030E+09
 4.50000E-03	 3.04188E+09	 1.64143E+09
 5.50000E-03	 3.04188E+09	 1.64143E+09
 5.50000E-03	 3.83019E+09	 2.12144E+09
 7.20000E-03	 3.83019E+09	 2.12144E+09
 7.20000E-03	 4.67662E+09	 2.66238E+09
 9.20000E-03	 4.67662E+09	 2.66238E+09
 9.20000E-03	 6.01821E+09	 3.52181E+09
 1.20000E-02	 6.01821E+09	 3.52181E+09
 1.20000E-02	 7.37713E+09	 4.43261E+09
 1.50000E-02	 7.37713E+09	 4.43261E+09
 1.50000E-02	 8.78013E+09	 5.40554E+09
 1.90000E-02	 8.78013E+09	 5.40554E+09
 1.90000E-02	 1.03790E+10	 6.52888E+09
 2.55000E-02	 1.03790E+10	 6.52888E+09
 2.55000E-02	 1.22547E+10	 7.85159E+09
 3.20000E-02	 1.22547E+10	 7.85159E+09
 3.20000E-02	 1.45058E+10	 9.43686E+09
 4.00000E-02	 1.45058E+10	 9.43686E+09
 4.00000E-02	 1.68210E+10	 1.10828E+10
 5.25000E-02	 1.68210E+10	 1.10828E+10
 5.25000E-02	 2.03785E+10	 1.35762E+10
 6.60000E-02	 2.03785E+10	 1.35762E+10
 6.60000E-02	 2.33279E+10	 1.57109E+10
 8.80000E-02	 2.33279E+10	 1.57109E+10
 8.80000E-02	 2.74524E+10	 1.87191E+10
 1.10000E-01	 2.74524E+10	 1.87191E+10
 1.10000E-01	 3.14368E+10	 2.17785E+10
 1.35000E-01	 3.14368E+10	 2.17785E+10
 1.35000E-01	 3.58452E+10	 2.53670E+10
 1.60000E-01	 3.58452E+10	 2.53670E+10
 1.60000E-01	 3.97456E+10	 2.89387E+10
 1.90000E-01	 3.97456E+10	 2.89387E+10
 1.90000E-01	 4.54102E+10	 3.43034E+10
 2.20000E-01	 4.54102E+10	 3.43034E+10
 2.20000E-01	 5.03324E+10	 3.98014E+10
 2.55000E-01	 5.03324E+10	 3.98014E+10
 2.55000E-01	 5.56720E+10	 4.64840E+10
 2.90000E-01	 5.56720E+10	 4.64840E+10
