   E (MeV)	Unadj. F×Eavg	Adj. F×Eavg
 1.00000E-10	 2.02365E+05	 1.95446E+05
 1.00000E-09	 2.02365E+05	 1.95446E+05
 1.00000E-09	 2.02365E+05	 1.95470E+05
 1.00000E-08	 2.02365E+05	 1.95470E+05
 1.00000E-08	 4.20297E+05	 4.05936E+05
 2.30000E-08	 4.20297E+05	 4.05936E+05
 2.30000E-08	 4.47657E+05	 4.32147E+05
 5.00000E-08	 4.47657E+05	 4.32147E+05
 5.00000E-08	 8.02386E+05	 7.73752E+05
 7.60000E-08	 8.02386E+05	 7.73752E+05
 7.60000E-08	 8.10877E+05	 7.80405E+05
 1.15000E-07	 8.10877E+05	 7.80405E+05
 1.15000E-07	 8.57963E+05	 8.23033E+05
 1.70000E-07	 8.57963E+05	 8.23033E+05
 1.70000E-07	 8.27859E+05	 7.90108E+05
 2.55000E-07	 8.27859E+05	 7.90108E+05
 2.55000E-07	 8.41104E+05	 7.96672E+05
 3.80000E-07	 8.41104E+05	 7.96672E+05
 3.80000E-07	 9.05775E+05	 8.48635E+05
 5.50000E-07	 9.05775E+05	 8.48635E+05
 5.50000E-07	 7.93602E+05	 7.32320E+05
 8.40000E-07	 7.93602E+05	 7.32320E+05
 8.40000E-07	 8.05021E+05	 7.27574E+05
 1.27500E-06	 8.05021E+05	 7.27574E+05
 1.27500E-06	 8.41104E+05	 7.39365E+05
 1.90000E-06	 8.41104E+05	 7.39365E+05
 1.90000E-06	 8.64652E+05	 7.32846E+05
 2.80000E-06	 8.64652E+05	 7.32846E+05
 2.80000E-06	 8.05021E+05	 6.50704E+05
 4.25000E-06	 8.05021E+05	 6.50704E+05
 4.25000E-06	 1.27725E+06	 9.71294E+05
 6.30000E-06	 1.27725E+06	 9.71294E+05
 6.30000E-06	 1.03950E+07	 7.31439E+06
 9.20000E-06	 1.03950E+07	 7.31439E+06
 9.20000E-06	 1.27748E+07	 8.14480E+06
 1.35000E-05	 1.27748E+07	 8.14480E+06
 1.35000E-05	 3.59439E+07	 2.01946E+07
 2.10000E-05	 3.59439E+07	 2.01946E+07
 2.10000E-05	 4.68145E+07	 2.23696E+07
 3.00000E-05	 4.68145E+07	 2.23696E+07
 3.00000E-05	 9.72433E+07	 3.76534E+07
 4.50000E-05	 9.72433E+07	 3.76534E+07
 4.50000E-05	 2.35449E+08	 6.84591E+07
 6.90000E-05	 2.35449E+08	 6.84591E+07
 6.90000E-05	 4.76650E+08	 9.35472E+07
 1.00000E-04	 4.76650E+08	 9.35472E+07
 1.00000E-04	 6.65631E+08	 1.18887E+08
 1.35000E-04	 6.65631E+08	 1.18887E+08
 1.35000E-04	 9.08899E+08	 1.49074E+08
 1.70000E-04	 9.08899E+08	 1.49074E+08
 1.70000E-04	 1.06055E+09	 1.61664E+08
 2.20000E-04	 1.06055E+09	 1.61664E+08
 2.20000E-04	 1.32813E+09	 1.91078E+08
 2.80000E-04	 1.32813E+09	 1.91078E+08
 2.80000E-04	 1.51459E+09	 2.09805E+08
 3.60000E-04	 1.51459E+09	 2.09805E+08
 3.60000E-04	 1.55520E+09	 2.12427E+08
 4.50000E-04	 1.55520E+09	 2.12427E+08
 4.50000E-04	 1.70205E+09	 2.35320E+08
 5.75000E-04	 1.70205E+09	 2.35320E+08
 5.75000E-04	 1.76860E+09	 2.54063E+08
 7.60000E-04	 1.76860E+09	 2.54063E+08
 7.60000E-04	 1.71403E+09	 2.63082E+08
 9.60000E-04	 1.71403E+09	 2.63082E+08
 9.60000E-04	 1.96853E+09	 3.31429E+08
 1.27500E-03	 1.96853E+09	 3.31429E+08
 1.27500E-03	 2.08891E+09	 3.95111E+08
 1.60000E-03	 2.08891E+09	 3.95111E+08
 1.60000E-03	 2.18410E+09	 6.39789E+08
 2.00000E-03	 2.18410E+09	 6.39789E+08
 2.00000E-03	 2.42678E+09	 1.07767E+09
 2.70000E-03	 2.42678E+09	 1.07767E+09
 2.70000E-03	 2.57371E+09	 1.55751E+09
 3.40000E-03	 2.57371E+09	 1.55751E+09
 3.40000E-03	 3.04075E+09	 2.34425E+09
 4.50000E-03	 3.04075E+09	 2.34425E+09
 4.50000E-03	 3.34586E+09	 3.13167E+09
 5.50000E-03	 3.34586E+09	 3.13167E+09
 5.50000E-03	 3.60018E+09	 3.94321E+09
 7.20000E-03	 3.60018E+09	 3.94321E+09
 7.20000E-03	 3.86701E+09	 4.81464E+09
 9.20000E-03	 3.86701E+09	 4.81464E+09
 9.20000E-03	 4.48278E+09	 6.19579E+09
 1.20000E-02	 4.48278E+09	 6.19579E+09
 1.20000E-02	 5.04977E+09	 7.59483E+09
 1.50000E-02	 5.04977E+09	 7.59483E+09
 1.50000E-02	 5.61774E+09	 9.03923E+09
 1.90000E-02	 5.61774E+09	 9.03923E+09
 1.90000E-02	 6.29215E+09	 1.06852E+10
 2.55000E-02	 6.29215E+09	 1.06852E+10
 2.55000E-02	 7.12544E+09	 1.26162E+10
 3.20000E-02	 7.12544E+09	 1.26162E+10
 3.20000E-02	 8.17876E+09	 1.49340E+10
 4.00000E-02	 8.17876E+09	 1.49340E+10
 4.00000E-02	 9.27202E+09	 1.73174E+10
 5.25000E-02	 9.27202E+09	 1.73174E+10
 5.25000E-02	 1.10588E+10	 2.09798E+10
 6.60000E-02	 1.10588E+10	 2.09798E+10
 6.60000E-02	 1.25298E+10	 2.40163E+10
 8.80000E-02	 1.25298E+10	 2.40163E+10
 8.80000E-02	 1.46536E+10	 2.82623E+10
 1.10000E-01	 1.46536E+10	 2.82623E+10
 1.10000E-01	 1.67320E+10	 3.23644E+10
 1.35000E-01	 1.67320E+10	 3.23644E+10
 1.35000E-01	 1.90500E+10	 3.69028E+10
 1.60000E-01	 1.90500E+10	 3.69028E+10
 1.60000E-01	 2.10837E+10	 4.09193E+10
 1.90000E-01	 2.10837E+10	 4.09193E+10
 1.90000E-01	 2.39924E+10	 4.67499E+10
 2.20000E-01	 2.39924E+10	 4.67499E+10
 2.20000E-01	 2.63946E+10	 5.18176E+10
 2.55000E-01	 2.63946E+10	 5.18176E+10
 2.55000E-01	 2.88371E+10	 5.73145E+10
 2.90000E-01	 2.88371E+10	 5.73145E+10
 2.90000E-01	 3.12865E+10	 6.32954E+10
 3.20000E-01	 3.12865E+10	 6.32954E+10
 3.20000E-01	 3.43501E+10	 7.11905E+10
 3.60000E-01	 3.43501E+10	 7.11905E+10
 3.60000E-01	 3.65600E+10	 7.81409E+10
 4.00000E-01	 3.65600E+10	 7.81409E+10
 4.00000E-01	 3.96167E+10	 8.78712E+10
 4.50000E-01	 3.96167E+10	 8.78712E+10
 4.50000E-01	 4.24463E+10	 9.82368E+10
 5.00000E-01	 4.24463E+10	 9.82368E+10
 5.00000E-01	 4.59746E+10	 1.11474E+11
 5.50000E-01	 4.59746E+10	 1.11474E+11
 5.50000E-01	 4.84530E+10	 1.23404E+11
 6.00000E-01	 4.84530E+10	 1.23404E+11
 6.00000E-01	 5.17575E+10	 1.38622E+11
 6.60000E-01	 5.17575E+10	 1.38622E+11
 6.60000E-01	 5.41533E+10	 1.52434E+11
 7.20000E-01	 5.41533E+10	 1.52434E+11
 7.20000E-01	 5.59364E+10	 1.65063E+11
 7.80000E-01	 5.59364E+10	 1.65063E+11
 7.80000E-01	 5.81807E+10	 1.79196E+11
 8.40000E-01	 5.81807E+10	 1.79196E+11
 8.40000E-01	 6.20980E+10	 1.98647E+11
 9.20000E-01	 6.20980E+10	 1.98647E+11
 9.20000E-01	 5.92341E+10	 1.95581E+11
 1.00000E+00	 5.92341E+10	 1.95581E+11
 1.00000E+00	 6.81563E+10	 2.25924E+11
 1.20000E+00	 6.81563E+10	 2.25924E+11
 1.20000E+00	 7.78635E+10	 2.52603E+11
 1.40000E+00	 7.78635E+10	 2.52603E+11
 1.40000E+00	 9.81038E+10	 3.10967E+11
 1.60000E+00	 9.81038E+10	 3.10967E+11
 1.60000E+00	 1.18207E+11	 3.65327E+11
 1.80000E+00	 1.18207E+11	 3.65327E+11
 1.80000E+00	 1.17725E+11	 3.54182E+11
 2.00000E+00	 1.17725E+11	 3.54182E+11
 2.00000E+00	 1.25320E+11	 3.65272E+11
 2.30000E+00	 1.25320E+11	 3.65272E+11
 2.30000E+00	 2.20957E+11	 6.22498E+11
 2.60000E+00	 2.20957E+11	 6.22498E+11
 2.60000E+00	 1.26215E+11	 3.45266E+11
 2.90000E+00	 1.26215E+11	 3.45266E+11
 2.90000E+00	 1.38722E+11	 3.69335E+11
 3.30000E+00	 1.38722E+11	 3.69335E+11
 3.30000E+00	 1.79513E+11	 4.66493E+11
 3.70000E+00	 1.79513E+11	 4.66493E+11
 3.70000E+00	 1.94659E+11	 4.96224E+11
 4.10000E+00	 1.94659E+11	 4.96224E+11
 4.10000E+00	 1.85020E+11	 4.63610E+11
 4.50000E+00	 1.85020E+11	 4.63610E+11
 4.50000E+00	 1.87051E+11	 4.58811E+11
 5.00000E+00	 1.87051E+11	 4.58811E+11
 5.00000E+00	 1.92284E+11	 4.57430E+11
 5.50000E+00	 1.92284E+11	 4.57430E+11
 5.50000E+00	 1.98720E+11	 4.52285E+11
 6.00000E+00	 1.98720E+11	 4.52285E+11
 6.00000E+00	 2.40440E+11	 5.11253E+11
 6.70000E+00	 2.40440E+11	 5.11253E+11
 6.70000E+00	 2.70413E+11	 5.20253E+11
 7.40000E+00	 2.70413E+11	 5.20253E+11
 7.40000E+00	 3.16824E+11	 5.29249E+11
 8.20000E+00	 3.16824E+11	 5.29249E+11
 8.20000E+00	 4.25547E+11	 5.82783E+11
 9.00000E+00	 4.25547E+11	 5.82783E+11
 9.00000E+00	 5.78813E+11	 5.96771E+11
 1.00000E+01	 5.78813E+11	 5.96771E+11
 1.00000E+01	 7.51785E+11	 5.57837E+11
 1.10000E+01	 7.51785E+11	 5.57837E+11
 1.10000E+01	 1.09257E+12	 7.68334E+11
 1.20000E+01	 1.09257E+12	 7.68334E+11
 1.20000E+01	 1.53180E+12	 1.13858E+12
 1.30000E+01	 1.53180E+12	 1.13858E+12
 1.30000E+01	 2.10975E+13	 1.64124E+13
 1.40000E+01	 2.10975E+13	 1.64124E+13
 1.40000E+01	 2.51559E+13	 1.98910E+13
 1.50000E+01	 2.51559E+13	 1.98910E+13
 1.50000E+01	 0.00000E+00	 0.00000E+00
 1.60000E+01	 0.00000E+00	 0.00000E+00
 1.60000E+01	 0.00000E+00	 0.00000E+00
 1.70000E+01	 0.00000E+00	 0.00000E+00
 1.70000E+01	 0.00000E+00	 0.00000E+00
 1.80000E+01	 0.00000E+00	 0.00000E+00
 1.80000E+01	 0.00000E+00	 0.00000E+00
 1.90000E+01	 0.00000E+00	 0.00000E+00
 1.90000E+01	 0.00000E+00	 0.00000E+00
 2.00000E+01	 0.00000E+00	 0.00000E+00
 2.00000E+01	 0.00000E+00	 0.00000E+00
 2.10000E+01	 0.00000E+00	 0.00000E+00
 2.10000E+01	 0.00000E+00	 0.00000E+00
 2.20000E+01	 0.00000E+00	 0.00000E+00
 2.20000E+01	 0.00000E+00	 0.00000E+00
 2.30000E+01	 0.00000E+00	 0.00000E+00
 2.30000E+01	 0.00000E+00	 0.00000E+00
 2.40000E+01	 0.00000E+00	 0.00000E+00
 2.40000E+01	 0.00000E+00	 0.00000E+00
 2.50000E+01	 0.00000E+00	 0.00000E+00
 2.50000E+01	 0.00000E+00	 0.00000E+00
 2.60000E+01	 0.00000E+00	 0.00000E+00
 2.60000E+01	 0.00000E+00	 0.00000E+00
 2.70000E+01	 0.00000E+00	 0.00000E+00
 2.70000E+01	 0.00000E+00	 0.00000E+00
 2.80000E+01	 0.00000E+00	 0.00000E+00
 2.80000E+01	 0.00000E+00	 0.00000E+00
 2.90000E+01	 0.00000E+00	 0.00000E+00
 2.90000E+01	 0.00000E+00	 0.00000E+00
 3.00000E+01	 0.00000E+00	 0.00000E+00
 3.00000E+01	 0.00000E+00	 0.00000E+00
 3.10000E+01	 0.00000E+00	 0.00000E+00
 3.10000E+01	 0.00000E+00	 0.00000E+00
 3.20000E+01	 0.00000E+00	 0.00000E+00
 3.20000E+01	 0.00000E+00	 0.00000E+00
 3.30000E+01	 0.00000E+00	 0.00000E+00
 3.30000E+01	 0.00000E+00	 0.00000E+00
 3.40000E+01	 0.00000E+00	 0.00000E+00
 3.40000E+01	 0.00000E+00	 0.00000E+00
 3.50000E+01	 0.00000E+00	 0.00000E+00
 3.50000E+01	 0.00000E+00	 0.00000E+00
 3.60000E+01	 0.00000E+00	 0.00000E+00
 3.60000E+01	 0.00000E+00	 0.00000E+00
 3.70000E+01	 0.00000E+00	 0.00000E+00
 3.70000E+01	 0.00000E+00	 0.00000E+00
 3.80000E+01	 0.00000E+00	 0.00000E+00
 3.80000E+01	 0.00000E+00	 0.00000E+00
 3.90000E+01	 0.00000E+00	 0.00000E+00
 3.90000E+01	 0.00000E+00	 0.00000E+00
 4.00000E+01	 0.00000E+00	 0.00000E+00
 4.00000E+01	 0.00000E+00	 0.00000E+00
 4.10000E+01	 0.00000E+00	 0.00000E+00
 4.10000E+01	 0.00000E+00	 0.00000E+00
 4.20000E+01	 0.00000E+00	 0.00000E+00
 4.20000E+01	 0.00000E+00	 0.00000E+00
 4.30000E+01	 0.00000E+00	 0.00000E+00
 4.30000E+01	 0.00000E+00	 0.00000E+00
 4.40000E+01	 0.00000E+00	 0.00000E+00
 4.40000E+01	 0.00000E+00	 0.00000E+00
 4.50000E+01	 0.00000E+00	 0.00000E+00
 4.50000E+01	 0.00000E+00	 0.00000E+00
 4.60000E+01	 0.00000E+00	 0.00000E+00
 4.60000E+01	 0.00000E+00	 0.00000E+00
 4.70000E+01	 0.00000E+00	 0.00000E+00
 4.70000E+01	 0.00000E+00	 0.00000E+00
 4.80000E+01	 0.00000E+00	 0.00000E+00
 4.80000E+01	 0.00000E+00	 0.00000E+00
 4.90000E+01	 0.00000E+00	 0.00000E+00
 4.90000E+01	 0.00000E+00	 0.00000E+00
 5.00000E+01	 0.00000E+00	 0.00000E+00
 5.00000E+01	 0.00000E+00	 0.00000E+00
 5.10000E+01	 0.00000E+00	 0.00000E+00
 5.10000E+01	 0.00000E+00	 0.00000E+00
 5.20000E+01	 0.00000E+00	 0.00000E+00
 5.20000E+01	 0.00000E+00	 0.00000E+00
 5.30000E+01	 0.00000E+00	 0.00000E+00
 5.30000E+01	 0.00000E+00	 0.00000E+00
 5.40000E+01	 0.00000E+00	 0.00000E+00
 5.40000E+01	 0.00000E+00	 0.00000E+00
 5.50000E+01	 0.00000E+00	 0.00000E+00
 5.50000E+01	 0.00000E+00	 0.00000E+00
 5.60000E+01	 0.00000E+00	 0.00000E+00
 5.60000E+01	 0.00000E+00	 0.00000E+00
 5.70000E+01	 0.00000E+00	 0.00000E+00
 5.70000E+01	 0.00000E+00	 0.00000E+00
 5.80000E+01	 0.00000E+00	 0.00000E+00
 5.80000E+01	 0.00000E+00	 0.00000E+00
 5.90000E+01	 0.00000E+00	 0.00000E+00
 5.90000E+01	 0.00000E+00	 0.00000E+00
 6.00000E+01	 0.00000E+00	 0.00000E+00
