   E (MeV)	Unadj. F×Eavg	Adj. F×Eavg
 1.00000E-10	 3.08962E+07	 1.66502E+07
 1.00000E-09	 3.08962E+07	 1.66502E+07
 1.00000E-09	 2.87282E+07	 2.35471E+07
 1.00000E-08	 2.87282E+07	 2.35471E+07
 1.00000E-08	 5.42780E+07	 6.14924E+07
 2.30000E-08	 5.42780E+07	 6.14924E+07
 2.30000E-08	 5.08181E+07	 7.39440E+07
 5.00000E-08	 5.08181E+07	 7.39440E+07
 5.00000E-08	 7.62685E+07	 1.34121E+08
 7.60000E-08	 7.62685E+07	 1.34121E+08
 7.60000E-08	 6.05736E+07	 1.22018E+08
 1.15000E-07	 6.05736E+07	 1.22018E+08
 1.15000E-07	 4.80538E+07	 1.05500E+08
 1.70000E-07	 4.80538E+07	 1.05500E+08
 1.70000E-07	 3.95026E+07	 9.00502E+07
 2.55000E-07	 3.95026E+07	 9.00502E+07
 2.55000E-07	 4.84858E+07	 1.09212E+08
 3.80000E-07	 4.84858E+07	 1.09212E+08
 3.80000E-07	 7.12559E+07	 1.50313E+08
 5.50000E-07	 7.12559E+07	 1.50313E+08
 5.50000E-07	 8.07162E+07	 1.49876E+08
 8.40000E-07	 8.07162E+07	 1.49876E+08
 8.40000E-07	 9.84047E+07	 1.48687E+08
 1.27500E-06	 9.84047E+07	 1.48687E+08
 1.27500E-06	 1.16087E+08	 1.27346E+08
 1.90000E-06	 1.16087E+08	 1.27346E+08
 1.90000E-06	 1.28019E+08	 8.26628E+07
 2.80000E-06	 1.28019E+08	 8.26628E+07
 2.80000E-06	 1.22690E+08	 2.40207E+07
 4.25000E-06	 1.22690E+08	 2.40207E+07
 4.25000E-06	 1.29482E+08	 1.65242E+07
 6.30000E-06	 1.29482E+08	 1.65242E+07
 6.30000E-06	 1.31342E+08	 1.15375E+07
 9.20000E-06	 1.31342E+08	 1.15375E+07
 9.20000E-06	 1.25906E+08	 8.19945E+06
 1.35000E-05	 1.25906E+08	 8.19945E+06
 1.35000E-05	 1.07474E+08	 5.65127E+06
 2.10000E-05	 1.07474E+08	 5.65127E+06
 2.10000E-05	 1.32563E+08	 6.14467E+06
 3.00000E-05	 1.32563E+08	 6.14467E+06
 3.00000E-05	 1.20178E+08	 5.33279E+06
 4.50000E-05	 1.20178E+08	 5.33279E+06
 4.50000E-05	 1.19651E+08	 5.45839E+06
 6.90000E-05	 1.19651E+08	 5.45839E+06
 6.90000E-05	 1.45275E+08	 7.20930E+06
 1.00000E-04	 1.45275E+08	 7.20930E+06
 1.00000E-04	 1.89337E+08	 1.06427E+07
 1.35000E-04	 1.89337E+08	 1.06427E+07
 1.35000E-04	 2.58671E+08	 1.68878E+07
 1.70000E-04	 2.58671E+08	 1.68878E+07
 1.70000E-04	 2.41923E+08	 1.85661E+07
 2.20000E-04	 2.41923E+08	 1.85661E+07
 2.20000E-04	 2.67958E+08	 2.42193E+07
 2.80000E-04	 2.67958E+08	 2.42193E+07
 2.80000E-04	 2.64780E+08	 2.80474E+07
 3.60000E-04	 2.64780E+08	 2.80474E+07
 3.60000E-04	 3.04791E+08	 3.75099E+07
 4.50000E-04	 3.04791E+08	 3.75099E+07
 4.50000E-04	 2.82750E+08	 4.00009E+07
 5.75000E-04	 2.82750E+08	 4.00009E+07
 5.75000E-04	 2.52389E+08	 4.06180E+07
 7.60000E-04	 2.52389E+08	 4.06180E+07
 7.60000E-04	 3.04234E+08	 5.51646E+07
 9.60000E-04	 3.04234E+08	 5.51646E+07
 9.60000E-04	 2.42313E+08	 6.24663E+07
 1.27500E-03	 2.42313E+08	 6.24663E+07
 1.27500E-03	 2.78703E+08	 1.14374E+08
 1.60000E-03	 2.78703E+08	 1.14374E+08
 1.60000E-03	 2.62209E+08	 1.40282E+08
 2.00000E-03	 2.62209E+08	 1.40282E+08
