IN115G  IFX  1.000E+01 140INNG   3.83406E+22
 3.0303256E-01 5.7309258E-01 7.4272564E-01 7.9895414E-01 8.3301808E-01 8.5473375E-01
 8.6295596E-01 8.7218572E-01 8.7476833E-01 8.6657227E-01 8.3000223E-01 5.6823922E-01
 7.1331807E-02 8.5445583E-01 6.3970392E-01 9.8347003E-01 4.8638132E-01 8.5504878E-01
 9.9888531E-01 8.1133115E-01 7.2517402E-01 9.5154830E-01 8.5357804E-01 9.2409898E-01
 8.6757310E-01 8.4028233E-01 8.6023450E-01 8.9467171E-01 9.3029064E-01 9.4371679E-01
 9.6413020E-01 9.6356413E-01 9.6866940E-01 9.8421532E-01 9.7226388E-01 9.9209091E-01
 9.9311357E-01 9.9394828E-01 9.9461178E-01 9.9512988E-01 9.9563833E-01 9.9595412E-01
 9.9649023E-01 9.9673200E-01 9.9712751E-01 9.9739758E-01 9.9767840E-01 9.9792938E-01
 9.9818107E-01 9.9840246E-01 9.9860975E-01 9.9874626E-01 9.9887146E-01 9.9896327E-01
 9.9902919E-01 9.9908641E-01 9.9913240E-01 9.9915660E-01 9.9918934E-01 9.9920915E-01
 9.9922537E-01 9.9923748E-01 9.9924325E-01 9.9924518E-01 9.9924400E-01 9.9923923E-01
 9.9923289E-01 9.9922434E-01 9.9921083E-01 9.9919820E-01 9.9917701E-01 9.9916890E-01
 9.9919594E-01 9.9925870E-01 9.9934138E-01 9.9958983E-01 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00
AU197G  IFX  1.000E+00 140AUNG   5.90087E+22
 7.8675960E-01 9.0716034E-01 9.5359907E-01 9.6617780E-01 9.7353749E-01 9.7833463E-01
 9.8030666E-01 9.8300787E-01 9.8509471E-01 9.8669392E-01 9.8772923E-01 9.8815119E-01
 9.8725487E-01 9.8293058E-01 9.3875904E-01 3.0635691E-01 9.8406021E-01 9.9754003E-01
 9.9940766E-01 1.0000000E+00 1.0000000E+00 7.3390128E-01 9.1833081E-01 9.5015472E-01
 9.3673052E-01 9.3960599E-01 9.3297606E-01 9.3027647E-01 9.5705693E-01 9.6069762E-01
 9.6543856E-01 9.7284995E-01 9.7924417E-01 9.8680682E-01 9.8970545E-01 9.9176381E-01
 9.9439536E-01 9.9559331E-01 9.9811349E-01 9.9879296E-01 9.9901185E-01 9.9913062E-01
 9.9931801E-01 9.9939839E-01 9.9983160E-01 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00
