   E (MeV)	Unadj. F×Eavg	Adj. F×Eavg
 1.00000E-10	 4.06568E+02	 4.15027E+02
 1.00000E-09	 4.06568E+02	 4.15027E+02
 1.00000E-09	 4.06568E+02	 4.13072E+02
 1.00000E-08	 4.06568E+02	 4.13072E+02
 1.00000E-08	 8.44411E+02	 8.55394E+02
 2.30000E-08	 8.44411E+02	 8.55394E+02
 2.30000E-08	 8.99378E+02	 9.09743E+02
 5.00000E-08	 8.99378E+02	 9.09743E+02
 5.00000E-08	 1.61206E+03	 1.62859E+03
 7.60000E-08	 1.61206E+03	 1.62859E+03
 7.60000E-08	 1.62912E+03	 1.64405E+03
 1.15000E-07	 1.62912E+03	 1.64405E+03
 1.15000E-07	 1.72371E+03	 1.73757E+03
 1.70000E-07	 1.72371E+03	 1.73757E+03
 1.70000E-07	 1.66323E+03	 1.67470E+03
 2.55000E-07	 1.66323E+03	 1.67470E+03
 2.55000E-07	 1.68984E+03	 1.69962E+03
 3.80000E-07	 1.68984E+03	 1.69962E+03
 3.80000E-07	 1.81977E+03	 1.82843E+03
 5.50000E-07	 1.81977E+03	 1.82843E+03
 5.50000E-07	 1.59441E+03	 1.60046E+03
 8.40000E-07	 1.59441E+03	 1.60046E+03
 8.40000E-07	 1.61735E+03	 1.62205E+03
 1.27500E-06	 1.61735E+03	 1.62205E+03
 1.27500E-06	 1.68984E+03	 1.69342E+03
 1.90000E-06	 1.68984E+03	 1.69342E+03
 1.90000E-06	 1.73715E+03	 1.73961E+03
 2.80000E-06	 1.73715E+03	 1.73961E+03
 2.80000E-06	 1.61735E+03	 1.61860E+03
 4.25000E-06	 1.61735E+03	 1.61860E+03
 4.25000E-06	 1.71191E+03	 1.71223E+03
 6.30000E-06	 1.71191E+03	 1.71223E+03
 6.30000E-06	 1.77794E+03	 1.77733E+03
 9.20000E-06	 1.77794E+03	 1.77733E+03
 9.20000E-06	 1.75606E+03	 1.75462E+03
 1.35000E-05	 1.75606E+03	 1.75462E+03
 1.35000E-05	 1.53017E+03	 1.52822E+03
 2.10000E-05	 1.53017E+03	 1.52822E+03
 2.10000E-05	 1.88500E+03	 1.88182E+03
 3.00000E-05	 1.88500E+03	 1.88182E+03
 3.00000E-05	 1.66323E+03	 1.65982E+03
 4.50000E-05	 1.66323E+03	 1.65982E+03
 4.50000E-05	 1.58007E+03	 1.57630E+03
 6.90000E-05	 1.58007E+03	 1.57630E+03
 6.90000E-05	 1.81346E+03	 1.80861E+03
 1.00000E-04	 1.81346E+03	 1.80861E+03
 1.00000E-04	 2.23348E+03	 2.22698E+03
 1.35000E-04	 2.23348E+03	 2.22698E+03
 1.35000E-04	 2.89878E+03	 2.88976E+03
 1.70000E-04	 2.89878E+03	 2.88976E+03
 1.70000E-04	 2.59464E+03	 2.58614E+03
 2.20000E-04	 2.59464E+03	 2.58614E+03
 2.20000E-04	 2.77205E+03	 2.76259E+03
 2.80000E-04	 2.77205E+03	 2.76259E+03
 2.80000E-04	 2.66117E+03	 2.65179E+03
 3.60000E-04	 2.66117E+03	 2.65179E+03
 3.60000E-04	 2.99382E+03	 2.98299E+03
 4.50000E-04	 2.99382E+03	 2.98299E+03
 4.50000E-04	 2.72770E+03	 2.71763E+03
 5.75000E-04	 2.72770E+03	 2.71763E+03
 5.75000E-04	 2.40045E+03	 2.39145E+03
 7.60000E-04	 2.40045E+03	 2.39145E+03
 7.60000E-04	 2.86076E+03	 2.84989E+03
 9.60000E-04	 2.86076E+03	 2.84989E+03
 9.60000E-04	 2.36021E+03	 2.35115E+03
 1.27500E-03	 2.36021E+03	 2.35115E+03
 1.27500E-03	 2.94264E+03	 2.93126E+03
 1.60000E-03	 2.94264E+03	 2.93126E+03
 1.60000E-03	 2.99382E+03	 2.98216E+03
 2.00000E-03	 2.99382E+03	 2.98216E+03
 2.00000E-03	 2.23348E+03	 2.22474E+03
 2.70000E-03	 2.23348E+03	 2.22474E+03
 2.70000E-03	 2.89878E+03	 2.88737E+03
