   E (MeV)	Unadj. F×Eavg	Adj. F×Eavg
 1.00000E-10	 2.35533E+03	 4.04284E+04
 1.00000E-09	 2.35533E+03	 4.04284E+04
 1.00000E-09	 2.09959E+03	 3.08357E+04
 1.00000E-08	 2.09959E+03	 3.08357E+04
 1.00000E-08	 4.01376E+03	 5.22584E+04
 2.30000E-08	 4.01376E+03	 5.22584E+04
 2.30000E-08	 4.08446E+03	 4.93012E+04
 5.00000E-08	 4.08446E+03	 4.93012E+04
 5.00000E-08	 7.01033E+03	 7.83926E+04
 7.60000E-08	 7.01033E+03	 7.83926E+04
 7.60000E-08	 6.80036E+03	 7.03972E+04
 1.15000E-07	 6.80036E+03	 7.03972E+04
 1.15000E-07	 6.86828E+03	 6.50396E+04
 1.70000E-07	 6.86828E+03	 6.50396E+04
 1.70000E-07	 6.30000E+03	 5.40034E+04
 2.55000E-07	 6.30000E+03	 5.40034E+04
 2.55000E-07	 6.06773E+03	 4.66711E+04
 3.80000E-07	 6.06773E+03	 4.66711E+04
 3.80000E-07	 6.19356E+03	 4.25453E+04
 5.50000E-07	 6.19356E+03	 4.25453E+04
 5.50000E-07	 5.14126E+03	 3.14035E+04
 8.40000E-07	 5.14126E+03	 3.14035E+04
 8.40000E-07	 4.93989E+03	 2.67523E+04
 1.27500E-06	 4.93989E+03	 2.67523E+04
 1.27500E-06	 4.89767E+03	 2.35508E+04
 1.90000E-06	 4.89767E+03	 2.35508E+04
 1.90000E-06	 4.78562E+03	 2.04914E+04
 2.80000E-06	 4.78562E+03	 2.04914E+04
 2.80000E-06	 4.23699E+03	 1.61881E+04
 4.25000E-06	 4.23699E+03	 1.61881E+04
 4.25000E-06	 4.26588E+03	 1.45811E+04
 6.30000E-06	 4.26588E+03	 1.45811E+04
 6.30000E-06	 4.21759E+03	 1.29456E+04
 9.20000E-06	 4.21759E+03	 1.29456E+04
 9.20000E-06	 3.96635E+03	 1.09610E+04
 1.35000E-05	 3.96635E+03	 1.09610E+04
 1.35000E-05	 3.28844E+03	 8.18656E+03
 2.10000E-05	 3.28844E+03	 8.18656E+03
 2.10000E-05	 3.85847E+03	 8.67963E+03
 3.00000E-05	 3.85847E+03	 8.67963E+03
 3.00000E-05	 3.24895E+03	 6.62886E+03
 4.50000E-05	 3.24895E+03	 6.62886E+03
 4.50000E-05	 2.94944E+03	 5.47121E+03
 6.90000E-05	 2.94944E+03	 5.47121E+03
 6.90000E-05	 3.24583E+03	 5.50625E+03
 1.00000E-04	 3.24583E+03	 5.50625E+03
 1.00000E-04	 3.85104E+03	 6.02482E+03
 1.35000E-04	 3.85104E+03	 6.02482E+03
 1.35000E-04	 4.83839E+03	 7.04427E+03
 1.70000E-04	 4.83839E+03	 7.04427E+03
 1.70000E-04	 4.20972E+03	 5.75038E+03
 2.20000E-04	 4.20972E+03	 5.75038E+03
 2.20000E-04	 4.38851E+03	 5.66946E+03
 2.80000E-04	 4.38851E+03	 5.66946E+03
 2.80000E-04	 4.12616E+03	 5.08346E+03
 3.60000E-04	 4.12616E+03	 5.08346E+03
 3.60000E-04	 4.56216E+03	 5.40242E+03
 4.50000E-04	 4.56216E+03	 5.40242E+03
 4.50000E-04	 4.09762E+03	 4.69830E+03
