      CAPT =   0.00000E+00 D     = 0.00000E+00 S
 CALC_CAPT =   9.10417E-02 D     = 7.86600E+03 S
     XPROD =   7.62764E-07 Qty×D = 6.59028E-02 Qty×S
     AVGBM =   8.37819E-06 Qty

NUCLIDE     HALF-LIFE -    LAMBDA     EFF_FLUX      B_EFF     B_CONST   RATIO
(--)        (varies) (un)   (1/D)       (Qty)       (--)        (--)     (--)
2-He-4     Infinity   S  0.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00 1.000
9-F-18     6.5848E+03 S  9.0949E+00  4.7185E-06  5.6318E-01  5.6309E-01 1.000
11-Na-22   8.2135E+07 S  7.2914E-04  5.5614E-10  6.6380E-05  6.6380E-05 1.000
11-Na-24   5.3824E+04 S  1.1127E+00  8.0713E-07  9.6337E-02  9.6338E-02 1.000
12-Mg-27   5.6748E+02 S  1.0553E+02  8.4427E-06  1.0077E+00  9.9993E-01 1.008
13-Al-28   1.3448E+02 S  4.4532E+02  8.3545E-06  9.9717E-01  1.0000E+00 0.997
14-Si-31   9.4380E+03 S  6.3454E+00  3.6767E-06  4.3884E-01  4.3881E-01 1.000
15-P-32    1.2322E+06 S  4.8601E-02  3.6989E-08  4.4149E-03  4.4149E-03 1.000
21-Sc-46   7.2395E+06 S  8.2724E-03  6.3075E-09  7.5285E-04  7.5285E-04 1.000
22-Ti-45   1.1088E+04 S  5.4011E+00  3.2545E-06  3.8845E-01  3.8843E-01 1.000
21-Sc-47   2.8937E+05 S  2.0696E-01  1.5638E-07  1.8665E-02  1.8665E-02 1.000
21-Sc-48   1.5721E+05 S  3.8094E-01  2.8558E-07  3.4087E-02  3.4087E-02 1.000
24-Cr-51   2.3935E+06 S  2.5021E-02  1.9063E-08  2.2754E-03  2.2754E-03 1.000
25-Mn-56   9.2840E+03 S  6.4506E+00  3.7215E-06  4.4419E-01  4.4416E-01 1.000
25-Mn-54   2.6967E+07 S  2.2208E-03  1.6938E-09  2.0216E-04  2.0216E-04 1.000
26-Fe-53   5.1060E+02 S  1.1729E+02  8.4441E-06  1.0079E+00  9.9998E-01 1.008
26-Fe-59   3.8444E+06 S  1.5578E-02  1.1874E-08  1.4172E-03  1.4173E-03 1.000
27-Co-58   6.1223E+06 S  9.7819E-03  7.4580E-09  8.9017E-04  8.9017E-04 1.000
27-Co-57   2.3478E+07 S  2.5508E-03  1.9454E-09  2.3220E-04  2.3220E-04 1.000
27-Co-60   1.6634E+08 S  3.6002E-04  2.7461E-10  3.2777E-05  3.2777E-05 1.000
28-Ni-57   1.2816E+05 S  4.6729E-01  3.4896E-07  4.1650E-02  4.1651E-02 1.000
29-Cu-62   5.8020E+02 S  1.0322E+02  8.4422E-06  1.0076E+00  9.9992E-01 1.008
29-Cu-64   4.5720E+04 S  1.3099E+00  9.4185E-07  1.1242E-01  1.1242E-01 1.000
29-Cu-67   2.2259E+05 S  2.6905E-01  2.0273E-07  2.4197E-02  2.4197E-02 1.000
33-As-74   1.5353E+06 S  3.9007E-02  2.9700E-08  3.5449E-03  3.5449E-03 1.000
