IN115G  BFX  1.010E+00 140INNG   3.56400E+22
 9.3069506E-01 9.7767149E-01 9.9077356E-01 9.9364658E-01 9.9515144E-01 9.9601677E-01
 9.9632587E-01 9.9666268E-01 9.9675486E-01 9.9645839E-01 9.9500074E-01 9.7462245E-01
 5.8314274E-01 9.9576710E-01 9.8102507E-01 9.9973809E-01 9.6410603E-01 9.9508920E-01
 1.0000000E+00 9.9375380E-01 9.8881165E-01 9.9901215E-01 9.9544165E-01 9.9822525E-01
 9.9604193E-01 9.9501365E-01 9.9588156E-01 9.9715619E-01 9.9837336E-01 9.9877774E-01
 9.9928001E-01 9.9929680E-01 9.9942151E-01 9.9975198E-01 9.9949620E-01 9.9989419E-01
 9.9990994E-01 9.9992247E-01 9.9993222E-01 9.9993968E-01 9.9994686E-01 9.9999554E-01
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00
AU197G  BFX  1.010E+00 140AUNG   5.60700E+22
 9.3095460E-01 9.7779766E-01 9.9094064E-01 9.9387559E-01 9.9546511E-01 9.9643975E-01
 9.9682483E-01 9.9733855E-01 9.9772293E-01 9.9800968E-01 9.9819142E-01 9.9826462E-01
 9.9810824E-01 9.9731852E-01 9.8663259E-01 4.8817490E-01 9.9746468E-01 9.9971511E-01
 9.9994249E-01 1.0000000E+00 1.0000000E+00 8.9561822E-01 9.8038542E-01 9.8957267E-01
 9.8582233E-01 9.8680150E-01 9.8467328E-01 9.8372381E-01 9.9133854E-01 9.9204754E-01
 9.9340619E-01 9.9508097E-01 9.9645963E-01 9.9795294E-01 9.9847521E-01 9.9882765E-01
 9.9925204E-01 9.9943146E-01 9.9978506E-01 9.9987359E-01 9.9989898E-01 9.9991247E-01
 9.9993323E-01 9.9994191E-01 9.9999574E-01 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00
