   E (MeV)	Unadj. F×Eavg	Adj. F×Eavg
 1.00000E-10	 2.17718E+01	 2.17714E+01
 1.00000E-09	 2.17718E+01	 2.17714E+01
 1.00000E-09	 3.91122E+00	 3.91121E+00
 1.00000E-08	 3.91122E+00	 3.91121E+00
 1.00000E-08	 6.15690E+01	 6.15693E+01
 2.30000E-08	 6.15690E+01	 6.15693E+01
 2.30000E-08	 1.83673E+02	 1.83676E+02
 5.00000E-08	 1.83673E+02	 1.83676E+02
 5.00000E-08	 2.94806E+02	 2.94814E+02
 7.60000E-08	 2.94806E+02	 2.94814E+02
 7.60000E-08	 2.34994E+02	 2.35003E+02
 1.15000E-07	 2.34994E+02	 2.35003E+02
 1.15000E-07	 2.09561E+02	 2.09570E+02
 1.70000E-07	 2.09561E+02	 2.09570E+02
 1.70000E-07	 1.61923E+02	 1.61931E+02
 2.55000E-07	 1.61923E+02	 1.61931E+02
 2.55000E-07	 1.41166E+02	 1.41174E+02
 3.80000E-07	 1.41166E+02	 1.41174E+02
 3.80000E-07	 9.74923E+01	 9.74977E+01
 5.50000E-07	 9.74923E+01	 9.74977E+01
 5.50000E-07	 5.00414E+01	 5.00441E+01
 8.40000E-07	 5.00414E+01	 5.00441E+01
 8.40000E-07	 4.39916E+01	 4.39939E+01
 1.27500E-06	 4.39916E+01	 4.39939E+01
 1.27500E-06	 4.19684E+01	 4.19704E+01
 1.90000E-06	 4.19684E+01	 4.19704E+01
 1.90000E-06	 4.03044E+01	 4.03060E+01
 2.80000E-06	 4.03044E+01	 4.03060E+01
 2.80000E-06	 2.63065E+01	 2.63073E+01
 4.25000E-06	 2.63065E+01	 2.63073E+01
 4.25000E-06	 1.49863E+01	 1.49867E+01
 6.30000E-06	 1.49863E+01	 1.49867E+01
 6.30000E-06	 1.20283E+01	 1.20285E+01
 9.20000E-06	 1.20283E+01	 1.20285E+01
 9.20000E-06	 2.03946E+00	 2.03941E+00
 1.35000E-05	 2.03946E+00	 2.03941E+00
 1.35000E-05	 5.17176E-01	 5.17118E-01
 2.10000E-05	 5.17176E-01	 5.17118E-01
 2.10000E-05	 6.12967E-01	 6.12798E-01
 3.00000E-05	 6.12967E-01	 6.12798E-01
 3.00000E-05	 5.66776E-01	 5.66477E-01
 4.50000E-05	 5.66776E-01	 5.66477E-01
 4.50000E-05	 2.29848E-01	 2.29650E-01
 6.90000E-05	 2.29848E-01	 2.29650E-01
 6.90000E-05	 4.91564E-01	 4.90942E-01
 1.00000E-04	 4.91564E-01	 4.90942E-01
 1.00000E-04	 4.02317E-01	 4.01633E-01
 1.35000E-04	 4.02317E-01	 4.01633E-01
 1.35000E-04	 2.60981E-01	 2.60428E-01
 1.70000E-04	 2.60981E-01	 2.60428E-01
 1.70000E-04	 2.94639E-01	 2.93905E-01
 2.20000E-04	 2.94639E-01	 2.93905E-01
 2.20000E-04	 4.28821E-01	 4.27625E-01
 2.80000E-04	 4.28821E-01	 4.27625E-01
 2.80000E-04	 1.09242E+00	 1.08913E+00
 3.60000E-04	 1.09242E+00	 1.08913E+00
 3.60000E-04	 1.69489E+00	 1.68957E+00
 4.50000E-04	 1.69489E+00	 1.68957E+00
 4.50000E-04	 1.32426E+00	 1.32001E+00
 5.75000E-04	 1.32426E+00	 1.32001E+00
 5.75000E-04	 1.66441E+00	 1.65908E+00
 7.60000E-04	 1.66441E+00	 1.65908E+00
 7.60000E-04	 6.38596E+00	 6.36587E+00
 9.60000E-04	 6.38596E+00	 6.36587E+00
 9.60000E-04	 4.42917E+00	 4.41571E+00
 1.27500E-03	 4.42917E+00	 4.41571E+00
 1.27500E-03	 4.27644E+00	 4.26410E+00
 1.60000E-03	 4.27644E+00	 4.26410E+00
 1.60000E-03	 4.58851E+00	 4.57615E+00
 2.00000E-03	 4.58851E+00	 4.57615E+00
 2.00000E-03	 1.12045E+01	 1.11769E+01
 2.70000E-03	 1.12045E+01	 1.11769E+01
 2.70000E-03	 1.13220E+01	 1.12969E+01
 3.40000E-03	 1.13220E+01	 1.12969E+01
 3.40000E-03	 1.32649E+01	 1.32392E+01
 4.50000E-03	 1.32649E+01	 1.32392E+01
 4.50000E-03	 3.67755E+01	 3.67145E+01
 5.50000E-03	 3.67755E+01	 3.67145E+01
 5.50000E-03	 1.70503E+01	 1.70269E+01
 7.20000E-03	 1.70503E+01	 1.70269E+01
 7.20000E-03	 2.71646E+01	 2.71345E+01
 9.20000E-03	 2.71646E+01	 2.71345E+01
 9.20000E-03	 4.52524E+01	 4.52136E+01
 1.20000E-02	 4.52524E+01	 4.52136E+01
 1.20000E-02	 4.21105E+01	 4.20838E+01
 1.50000E-02	 4.21105E+01	 4.20838E+01
 1.50000E-02	 8.71032E+01	 8.70649E+01
 1.90000E-02	 8.71032E+01	 8.70649E+01
 1.90000E-02	 1.00219E+02	 1.00191E+02
 2.55000E-02	 1.00219E+02	 1.00191E+02
 2.55000E-02	 9.31753E+01	 9.31611E+01
 3.20000E-02	 9.31753E+01	 9.31611E+01
 3.20000E-02	 8.09672E+01	 8.09629E+01
 4.00000E-02	 8.09672E+01	 8.09629E+01
 4.00000E-02	 2.06973E+02	 2.06978E+02
 5.25000E-02	 2.06973E+02	 2.06978E+02
 5.25000E-02	 2.80487E+02	 2.80509E+02
 6.60000E-02	 2.80487E+02	 2.80509E+02
 6.60000E-02	 4.40837E+02	 4.40890E+02
 8.80000E-02	 4.40837E+02	 4.40890E+02
 8.80000E-02	 7.27384E+02	 7.27496E+02
 1.10000E-01	 7.27384E+02	 7.27496E+02
 1.10000E-01	 8.97438E+02	 8.97604E+02
 1.35000E-01	 8.97438E+02	 8.97604E+02
 1.35000E-01	 1.22086E+03	 1.22112E+03
 1.60000E-01	 1.22086E+03	 1.22112E+03
 1.60000E-01	 1.63602E+03	 1.63641E+03
 1.90000E-01	 1.63602E+03	 1.63641E+03
 1.90000E-01	 2.31507E+03	 2.31568E+03
 2.20000E-01	 2.31507E+03	 2.31568E+03
 2.20000E-01	 2.91148E+03	 2.91231E+03
 2.55000E-01	 2.91148E+03	 2.91231E+03
 2.55000E-01	 4.30591E+03	 4.30722E+03
 2.90000E-01	 4.30591E+03	 4.30722E+03
 2.90000E-01	 4.48058E+03	 4.48202E+03
 3.20000E-01	 4.48058E+03	 4.48202E+03
 3.20000E-01	 5.87395E+03	 5.87588E+03
 3.60000E-01	 5.87395E+03	 5.87588E+03
 3.60000E-01	 8.81787E+03	 8.82084E+03
 4.00000E-01	 8.81787E+03	 8.82084E+03
 4.00000E-01	 1.27252E+04	 1.27295E+04
 4.50000E-01	 1.27252E+04	 1.27295E+04
 4.50000E-01	 1.58608E+04	 1.58661E+04
 5.00000E-01	 1.58608E+04	 1.58661E+04
 5.00000E-01	 2.03528E+04	 2.03595E+04
 5.50000E-01	 2.03528E+04	 2.03595E+04
 5.50000E-01	 2.57211E+04	 2.57293E+04
 6.00000E-01	 2.57211E+04	 2.57293E+04
 6.00000E-01	 2.89918E+04	 2.90008E+04
 6.60000E-01	 2.89918E+04	 2.90008E+04
 6.60000E-01	 3.48121E+04	 3.48222E+04
 7.20000E-01	 3.48121E+04	 3.48222E+04
 7.20000E-01	 4.23209E+04	 4.23323E+04
 7.80000E-01	 4.23209E+04	 4.23323E+04
 7.80000E-01	 4.38332E+04	 4.38437E+04
 8.40000E-01	 4.38332E+04	 4.38437E+04
 8.40000E-01	 4.74289E+04	 4.74386E+04
 9.20000E-01	 4.74289E+04	 4.74386E+04
 9.20000E-01	 5.19306E+04	 5.19391E+04
 1.00000E+00	 5.19306E+04	 5.19391E+04
 1.00000E+00	 5.95608E+04	 5.95673E+04
 1.20000E+00	 5.95608E+04	 5.95673E+04
 1.20000E+00	 6.76798E+04	 6.76829E+04
 1.40000E+00	 6.76798E+04	 6.76829E+04
 1.40000E+00	 7.09394E+04	 7.09375E+04
 1.60000E+00	 7.09394E+04	 7.09375E+04
 1.60000E+00	 7.30991E+04	 7.30913E+04
 1.80000E+00	 7.30991E+04	 7.30913E+04
 1.80000E+00	 7.67196E+04	 7.67046E+04
 2.00000E+00	 7.67196E+04	 7.67046E+04
 2.00000E+00	 8.21981E+04	 8.21744E+04
 2.30000E+00	 8.21981E+04	 8.21744E+04
 2.30000E+00	 9.06636E+04	 9.06289E+04
 2.60000E+00	 9.06636E+04	 9.06289E+04
 2.60000E+00	 9.73737E+04	 9.73279E+04
 2.90000E+00	 9.73737E+04	 9.73279E+04
 2.90000E+00	 1.06327E+05	 1.06266E+05
 3.30000E+00	 1.06327E+05	 1.06266E+05
 3.30000E+00	 1.17101E+05	 1.17026E+05
 3.70000E+00	 1.17101E+05	 1.17026E+05
 3.70000E+00	 3.57809E+04	 3.57583E+04
 4.10000E+00	 3.57809E+04	 3.57583E+04
 4.10000E+00	 4.26652E+04	 4.26383E+04
 4.50000E+00	 4.26652E+04	 4.26383E+04
 4.50000E+00	 5.28525E+04	 5.28210E+04
 5.00000E+00	 5.28525E+04	 5.28210E+04
 5.00000E+00	 7.14266E+04	 7.13882E+04
 5.50000E+00	 7.14266E+04	 7.13882E+04
 5.50000E+00	 9.40430E+04	 9.40006E+04
 6.00000E+00	 9.40430E+04	 9.40006E+04
 6.00000E+00	 1.28780E+05	 1.28734E+05
 6.70000E+00	 1.28780E+05	 1.28734E+05
 6.70000E+00	 1.67453E+05	 1.67412E+05
 7.40000E+00	 1.67453E+05	 1.67412E+05
 7.40000E+00	 2.08728E+05	 2.08700E+05
 8.20000E+00	 2.08728E+05	 2.08700E+05
 8.20000E+00	 2.51574E+05	 2.51568E+05
 9.00000E+00	 2.51574E+05	 2.51568E+05
 9.00000E+00	 2.80458E+05	 2.80478E+05
 1.00000E+01	 2.80458E+05	 2.80478E+05
 1.00000E+01	 2.87552E+05	 2.87598E+05
 1.10000E+01	 2.87552E+05	 2.87598E+05
 1.10000E+01	 2.83268E+05	 2.83333E+05
 1.20000E+01	 2.83268E+05	 2.83333E+05
 1.20000E+01	 2.57825E+05	 2.57896E+05
 1.30000E+01	 2.57825E+05	 2.57896E+05
 1.30000E+01	 2.32729E+05	 2.32797E+05
 1.40000E+01	 2.32729E+05	 2.32797E+05
 1.40000E+01	 1.93182E+05	 1.93238E+05
 1.50000E+01	 1.93182E+05	 1.93238E+05
 1.50000E+01	 1.62844E+05	 1.62886E+05
 1.60000E+01	 1.62844E+05	 1.62886E+05
 1.60000E+01	 1.30061E+05	 1.30087E+05
 1.70000E+01	 1.30061E+05	 1.30087E+05
 1.70000E+01	 1.04067E+05	 1.04078E+05
 1.80000E+01	 1.04067E+05	 1.04078E+05
 1.80000E+01	 7.93387E+04	 7.93375E+04
 1.90000E+01	 7.93387E+04	 7.93375E+04
 1.90000E+01	 5.66477E+04	 5.66387E+04
 2.00000E+01	 5.66477E+04	 5.66387E+04
 2.00000E+01	 4.80462E+04	 4.80306E+04
 2.10000E+01	 4.80462E+04	 4.80306E+04
 2.10000E+01	 4.08220E+04	 4.08013E+04
 2.20000E+01	 4.08220E+04	 4.08013E+04
 2.20000E+01	 3.50592E+04	 3.50346E+04
 2.30000E+01	 3.50592E+04	 3.50346E+04
 2.30000E+01	 3.03738E+04	 3.03464E+04
 2.40000E+01	 3.03738E+04	 3.03464E+04
 2.40000E+01	 2.74885E+04	 2.74581E+04
 2.50000E+01	 2.74885E+04	 2.74581E+04
 2.50000E+01	 2.54332E+04	 2.54001E+04
 2.60000E+01	 2.54332E+04	 2.54001E+04
 2.60000E+01	 2.50254E+04	 2.49881E+04
 2.70000E+01	 2.50254E+04	 2.49881E+04
 2.70000E+01	 2.49504E+04	 2.49086E+04
 2.80000E+01	 2.49504E+04	 2.49086E+04
 2.80000E+01	 2.46856E+04	 2.46403E+04
 2.90000E+01	 2.46856E+04	 2.46403E+04
 2.90000E+01	 2.58895E+04	 2.58383E+04
