   E (MeV)	Unadj. F×Eavg	Adj. F×Eavg
 1.00000E-10	 1.24056E+01	 6.63941E+01
 1.00000E-09	 1.24056E+01	 6.63941E+01
 1.00000E-09	 1.48018E+00	 3.70100E+00
 1.00000E-08	 1.48018E+00	 3.70100E+00
 1.00000E-08	 1.70593E+01	 3.94218E+01
 2.30000E-08	 1.70593E+01	 3.94218E+01
 2.30000E-08	 4.02929E+01	 7.81337E+01
 5.00000E-08	 4.02929E+01	 7.81337E+01
 5.00000E-08	 5.45480E+01	 1.47637E+02
 7.60000E-08	 5.45480E+01	 1.47637E+02
 7.60000E-08	 3.81725E+01	 8.70858E+01
 1.15000E-07	 3.81725E+01	 8.70858E+01
 1.15000E-07	 3.06190E+01	 8.43088E+01
 1.70000E-07	 3.06190E+01	 8.43088E+01
 1.70000E-07	 2.17849E+01	 1.10344E+02
 2.55000E-07	 2.17849E+01	 1.10344E+02
 2.55000E-07	 1.81065E+01	 1.03294E+02
 3.80000E-07	 1.81065E+01	 1.03294E+02
 3.80000E-07	 1.25157E+01	 5.29269E+01
 5.50000E-07	 1.25157E+01	 5.29269E+01
 5.50000E-07	 6.85488E+00	 2.66441E+01
 8.40000E-07	 6.85488E+00	 2.66441E+01
 8.40000E-07	 6.94986E+00	 2.99280E+01
 1.27500E-06	 6.94986E+00	 2.99280E+01
 1.27500E-06	 8.35696E+00	 3.01359E+01
 1.90000E-06	 8.35696E+00	 3.01359E+01
 1.90000E-06	 1.11545E+01	 3.68746E+01
 2.80000E-06	 1.11545E+01	 3.68746E+01
 2.80000E-06	 1.12784E+01	 3.36607E+01
 4.25000E-06	 1.12784E+01	 3.36607E+01
 4.25000E-06	 1.13612E+01	 3.08380E+01
 6.30000E-06	 1.13612E+01	 3.08380E+01
 6.30000E-06	 1.98696E+01	 5.11075E+01
 9.20000E-06	 1.98696E+01	 5.11075E+01
 9.20000E-06	 1.38007E+01	 2.61267E+01
 1.35000E-05	 1.38007E+01	 2.61267E+01
 1.35000E-05	 7.71860E+00	 1.31523E+01
 2.10000E-05	 7.71860E+00	 1.31523E+01
 2.10000E-05	 1.47231E+01	 2.08238E+01
 3.00000E-05	 1.47231E+01	 2.08238E+01
 3.00000E-05	 1.87643E+01	 2.54719E+01
 4.50000E-05	 1.87643E+01	 2.54719E+01
 4.50000E-05	 9.03676E+00	 1.00238E+01
 6.90000E-05	 9.03676E+00	 1.00238E+01
 6.90000E-05	 2.01260E+01	 2.01272E+01
 1.00000E-04	 2.01260E+01	 2.01272E+01
 1.00000E-04	 1.53746E+01	 1.40351E+01
 1.35000E-04	 1.53746E+01	 1.40351E+01
 1.35000E-04	 8.56479E+00	 7.31273E+00
 1.70000E-04	 8.56479E+00	 7.31273E+00
 1.70000E-04	 7.83957E+00	 6.48851E+00
 2.20000E-04	 7.83957E+00	 6.48851E+00
 2.20000E-04	 8.95162E+00	 6.97938E+00
 2.80000E-04	 8.95162E+00	 6.97938E+00
 2.80000E-04	 1.76594E+01	 1.45140E+01
 3.60000E-04	 1.76594E+01	 1.45140E+01
