      CAPT =   0.00000E+00 D     = 0.00000E+00 S
 CALC_CAPT =   8.15023E-01 D     = 7.04180E+04 S
     XPROD =   8.79621E-06 Qty×D = 7.59992E-01 Qty×S
     AVGBM =   1.07926E-05 Qty

NUCLIDE     HALF-LIFE -    LAMBDA     EFF_FLUX      B_EFF     B_CONST   RATIO
(--)        (varies) (un)   (1/D)       (Qty)       (--)        (--)     (--)
2-He-4     Infinity   S  0.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00 1.000
9-F-18     6.5848E+03 S  9.0949E+00  9.8672E-06  9.1426E-01  9.9940E-01 0.915
11-Na-22   8.2135E+07 S  7.2914E-04  6.4117E-09  5.9408E-04  5.9409E-04 1.000
11-Na-24   5.3824E+04 S  1.1127E+00  6.3319E-06  5.8669E-01  5.9621E-01 0.984
12-Mg-27   5.6748E+02 S  1.0553E+02  8.7818E-06  8.1368E-01  1.0000E+00 0.814
13-Al-28   1.3448E+02 S  4.4532E+02  6.9094E-06  6.4020E-01  1.0000E+00 0.640
14-Si-31   9.4380E+03 S  6.3454E+00  9.9718E-06  9.2395E-01  9.9432E-01 0.929
15-P-32    1.2322E+06 S  4.8601E-02  4.1886E-07  3.8810E-02  3.8837E-02 0.999
21-Sc-46   7.2395E+06 S  8.2724E-03  7.2513E-08  6.7187E-03  6.7195E-03 1.000
22-Ti-45   1.1088E+04 S  5.4011E+00  9.9781E-06  9.2453E-01  9.8775E-01 0.936
21-Sc-47   2.8937E+05 S  2.0696E-01  1.6702E-06  1.5476E-01  1.5522E-01 0.997
21-Sc-48   1.5721E+05 S  3.8094E-01  2.8647E-06  2.6543E-01  2.6690E-01 0.995
24-Cr-51   2.3935E+06 S  2.5021E-02  2.1778E-07  2.0179E-02  2.0186E-02 1.000
25-Mn-56   9.2840E+03 S  6.4506E+00  9.9692E-06  9.2371E-01  9.9479E-01 0.929
25-Mn-54   2.6967E+07 S  2.2208E-03  1.9516E-08  1.8083E-03  1.8083E-03 1.000
26-Fe-53   5.1060E+02 S  1.1729E+02  8.7081E-06  8.0686E-01  1.0000E+00 0.807
26-Fe-59   3.8444E+06 S  1.5578E-02  1.3613E-07  1.2613E-02  1.2616E-02 1.000
27-Co-58   6.1223E+06 S  9.7819E-03  8.5690E-08  7.9397E-03  7.9408E-03 1.000
27-Co-57   2.3478E+07 S  2.5508E-03  2.2413E-08  2.0767E-03  2.0768E-03 1.000
27-Co-60   1.6634E+08 S  3.6002E-04  3.1664E-09  2.9338E-04  2.9338E-04 1.000
28-Ni-57   1.2816E+05 S  4.6729E-01  3.3952E-06  3.1459E-01  3.1672E-01 0.993
29-Cu-62   5.8020E+02 S  1.0322E+02  8.7965E-06  8.1505E-01  1.0000E+00 0.815
29-Cu-64   4.5720E+04 S  1.3099E+00  6.9490E-06  6.4387E-01  6.5616E-01 0.981
29-Cu-67   2.2259E+05 S  2.6905E-01  2.1169E-06  1.9614E-01  1.9691E-01 0.996
33-As-74   1.5353E+06 S  3.9007E-02  3.3752E-07  3.1274E-02  3.1291E-02 0.999
