ANNOTATIONS & RUN OPTIONS:
--------------------------
PyScripts Generated BCF file                                                    
 1 2 0 0 S
      1164

INPUT DATA:
-----------

     TIME (S)     FEE (Qty/S)
  6.0000000E+01  1.2469000E-05
  1.2100000E+02  1.2500000E-05
  1.8200000E+02  1.2500000E-05
  2.4200000E+02  1.2500000E-05
  3.0200000E+02  1.2469000E-05
  3.6200000E+02  1.2406000E-05
  4.2300000E+02  1.2406000E-05
  4.8300000E+02  1.2469000E-05
  5.4400000E+02  1.2344000E-05
  6.0400000E+02  1.2281000E-05
  6.6500000E+02  1.2313000E-05
  7.2500000E+02  1.2281000E-05
  7.8500000E+02  1.2063000E-05
  8.4500000E+02  1.2344000E-05
  9.0600000E+02  1.2344000E-05
  9.6700000E+02  1.2281000E-05
  1.0280000E+03  1.2250000E-05
  1.0890000E+03  1.2188000E-05
  1.1490000E+03  1.2094000E-05
  1.2090000E+03  1.2156000E-05
  1.2700000E+03  1.2125000E-05
  1.3310000E+03  1.2125000E-05
  1.3910000E+03  1.2156000E-05
  1.4520000E+03  1.2094000E-05
  1.5120000E+03  1.2125000E-05
  1.5720000E+03  1.2250000E-05
  1.6330000E+03  1.2188000E-05
  1.6930000E+03  1.2063000E-05
  1.7530000E+03  1.1969000E-05
  1.8140000E+03  1.1969000E-05
  1.8750000E+03  1.2000000E-05
  1.9360000E+03  1.2000000E-05
  1.9960000E+03  1.2032000E-05
  2.0560000E+03  1.2000000E-05
  2.1170000E+03  1.2000000E-05
  2.1770000E+03  1.2000000E-05
  2.2380000E+03  1.1969000E-05
  2.2990000E+03  1.1907000E-05
  2.3600000E+03  1.1938000E-05
  2.4200000E+03  1.1750000E-05
  2.4810000E+03  1.1813000E-05
  2.5410000E+03  1.1782000E-05
  2.6010000E+03  1.1750000E-05
  2.6610000E+03  1.1782000E-05
  2.7220000E+03  1.1750000E-05
  2.7830000E+03  1.1688000E-05
  2.8440000E+03  1.1688000E-05
  2.9050000E+03  1.1594000E-05
  2.9660000E+03  1.1626000E-05
  3.0270000E+03  1.1688000E-05
  3.0880000E+03  1.1688000E-05
  3.1490000E+03  1.1594000E-05
  3.2090000E+03  1.1532000E-05
  3.2700000E+03  1.1532000E-05
  3.3300000E+03  1.1501000E-05
  3.3910000E+03  1.1532000E-05
  3.4510000E+03  1.1813000E-05
  3.5110000E+03  1.1813000E-05
  3.5720000E+03  1.1688000E-05
  3.6330000E+03  1.1532000E-05
  3.6940000E+03  1.1438000E-05
  3.7540000E+03  1.1407000E-05
  3.8150000E+03  1.1376000E-05
  3.8760000E+03  1.1438000E-05
  3.9370000E+03  1.1407000E-05
  3.9980000E+03  1.1344000E-05
  4.0580000E+03  1.1251000E-05
  4.1190000E+03  1.1251000E-05
  4.1790000E+03  1.1219000E-05
  4.2390000E+03  1.1188000E-05
  4.2990000E+03  1.1251000E-05
  4.3590000E+03  1.1188000E-05
  4.4190000E+03  1.1219000E-05
  4.4790000E+03  1.1219000E-05
  4.5400000E+03  1.1438000E-05
  4.6010000E+03  1.1407000E-05
  4.6610000E+03  1.1376000E-05
  4.7220000E+03  1.1376000E-05
  4.7820000E+03  1.1563000E-05
  4.8430000E+03  1.1563000E-05
  4.9040000E+03  1.1469000E-05
  4.9640000E+03  1.1469000E-05
  5.0240000E+03  1.1407000E-05
  5.0850000E+03  1.1407000E-05
  5.1450000E+03  1.1438000E-05
  5.2060000E+03  1.1469000E-05
  5.2660000E+03  1.1501000E-05
  5.3270000E+03  1.1469000E-05
  5.3870000E+03  1.1469000E-05
  5.4480000E+03  1.1501000E-05
  5.5080000E+03  1.1532000E-05
  5.5680000E+03  1.1563000E-05
  5.6290000E+03  1.1563000E-05
  5.6890000E+03  1.1594000E-05
  5.7500000E+03  1.1532000E-05
  5.8110000E+03  1.1469000E-05
  5.8710000E+03  1.1501000E-05
  5.9320000E+03  1.1594000E-05
  5.9930000E+03  1.1594000E-05
  6.0540000E+03  1.1532000E-05
  6.1150000E+03  1.1563000E-05
  6.1760000E+03  1.1532000E-05
  6.2360000E+03  1.1563000E-05
  6.2960000E+03  1.1438000E-05
  6.3570000E+03  1.1438000E-05
  6.4180000E+03  1.1407000E-05
  6.4780000E+03  1.1407000E-05
  6.5390000E+03  1.1532000E-05
  6.6000000E+03  1.1594000E-05
  6.6600000E+03  1.1626000E-05
  6.7210000E+03  1.1532000E-05
  6.7810000E+03  1.1626000E-05
  6.8410000E+03  1.1688000E-05
  6.9010000E+03  1.1657000E-05
  6.9620000E+03  1.1594000E-05
  7.0230000E+03  1.1594000E-05
  7.0840000E+03  1.1563000E-05
  7.1450000E+03  1.1626000E-05
  7.2050000E+03  1.1626000E-05
  7.2660000E+03  1.1626000E-05
  7.3260000E+03  1.1594000E-05
  7.3860000E+03  1.1626000E-05
  7.4460000E+03  1.1657000E-05
  7.5070000E+03  1.1626000E-05
  7.5680000E+03  1.1688000E-05
  7.6280000E+03  1.1626000E-05
  7.6890000E+03  1.1626000E-05
  7.7490000E+03  1.1563000E-05
  7.8090000E+03  1.1563000E-05
  7.8700000E+03  1.1688000E-05
  7.9300000E+03  1.1626000E-05
  7.9900000E+03  1.1657000E-05
  8.0510000E+03  1.1626000E-05
  8.1120000E+03  1.1563000E-05
  8.1730000E+03  1.1563000E-05
  8.2340000E+03  1.1438000E-05
  8.2950000E+03  1.1532000E-05
  8.3550000E+03  1.1501000E-05
  8.4160000E+03  1.1501000E-05
  8.4760000E+03  1.1501000E-05
  8.5360000E+03  1.1563000E-05
  8.5970000E+03  1.1563000E-05
  8.6570000E+03  1.1563000E-05
  8.7180000E+03  1.1594000E-05
  8.7790000E+03  1.1594000E-05
  8.8400000E+03  1.1594000E-05
  8.9000000E+03  1.1657000E-05
  8.9610000E+03  1.1750000E-05
  9.0220000E+03  1.1750000E-05
  9.0820000E+03  1.1750000E-05
  9.1430000E+03  1.1688000E-05
  9.2030000E+03  1.1657000E-05
  9.2640000E+03  1.1688000E-05
  9.3250000E+03  1.1750000E-05
  9.3860000E+03  1.1813000E-05
  9.4470000E+03  1.1813000E-05
  9.5070000E+03  1.1813000E-05
  9.5680000E+03  1.1782000E-05
  9.6290000E+03  1.1813000E-05
  9.6890000E+03  1.1844000E-05
  9.7500000E+03  1.1813000E-05
  9.8100000E+03  1.1782000E-05
  9.8710000E+03  1.1938000E-05
  9.9320000E+03  1.1844000E-05
  9.9930000E+03  1.1813000E-05
  1.0054000E+04  1.1813000E-05
  1.0114000E+04  1.1782000E-05
  1.0174000E+04  1.1688000E-05
  1.0234000E+04  1.1719000E-05
  1.0294000E+04  1.1750000E-05
  1.0355000E+04  1.1750000E-05
  1.0416000E+04  1.1688000E-05
  1.0477000E+04  1.1688000E-05
  1.0538000E+04  1.1657000E-05
  1.0599000E+04  1.1688000E-05
  1.0660000E+04  1.1750000E-05
  1.0721000E+04  1.1657000E-05
  1.0781000E+04  1.1657000E-05
  1.0841000E+04  1.1594000E-05
  1.0902000E+04  1.1563000E-05
  1.0962000E+04  1.1688000E-05
  1.1023000E+04  1.1626000E-05
  1.1084000E+04  1.1657000E-05
  1.1145000E+04  1.1657000E-05
  1.1205000E+04  1.1626000E-05
  1.1266000E+04  1.1626000E-05
  1.1326000E+04  1.1594000E-05
  1.1386000E+04  1.1563000E-05
  1.1447000E+04  1.1438000E-05
  1.1507000E+04  1.1532000E-05
  1.1567000E+04  1.1501000E-05
  1.1628000E+04  1.1469000E-05
  1.1689000E+04  1.1501000E-05
  1.1749000E+04  1.1563000E-05
  1.1809000E+04  1.1563000E-05
  1.1870000E+04  1.1501000E-05
  1.1930000E+04  1.1501000E-05
  1.1991000E+04  1.1438000E-05
  1.2052000E+04  1.1469000E-05
  1.2113000E+04  1.1438000E-05
  1.2174000E+04  1.1438000E-05
  1.2235000E+04  1.1501000E-05
  1.2295000E+04  1.1469000E-05
  1.2356000E+04  1.1469000E-05
  1.2416000E+04  1.1469000E-05
  1.2476000E+04  1.1438000E-05
  1.2536000E+04  1.1251000E-05
  1.2596000E+04  1.1501000E-05
  1.2657000E+04  1.1438000E-05
  1.2718000E+04  1.1407000E-05
  1.2779000E+04  1.1407000E-05
  1.2840000E+04  1.1438000E-05
  1.2901000E+04  1.1438000E-05
  1.2962000E+04  1.1376000E-05
  1.3022000E+04  1.1313000E-05
  1.3082000E+04  1.1313000E-05
  1.3142000E+04  1.1282000E-05
  1.3203000E+04  1.1157000E-05
  1.3263000E+04  1.1282000E-05
  1.3324000E+04  1.1282000E-05
  1.3384000E+04  1.1188000E-05
  1.3445000E+04  1.1126000E-05
  1.3505000E+04  1.1126000E-05
  1.3566000E+04  1.1251000E-05
  1.3626000E+04  1.1282000E-05
  1.3687000E+04  1.1251000E-05
  1.3748000E+04  1.1251000E-05
  1.3809000E+04  1.1282000E-05
  1.3870000E+04  1.1157000E-05
  1.3930000E+04  1.1251000E-05
  1.3990000E+04  1.1188000E-05
  1.4050000E+04  1.1188000E-05
  1.4111000E+04  1.1188000E-05
  1.4171000E+04  1.1157000E-05
  1.4232000E+04  1.1157000E-05
  1.4292000E+04  1.1095000E-05
  1.4353000E+04  1.1157000E-05
  1.4413000E+04  1.1157000E-05
  1.4474000E+04  1.1126000E-05
  1.4535000E+04  1.1126000E-05
  1.4596000E+04  1.1188000E-05
  1.4657000E+04  1.1001000E-05
  1.4717000E+04  1.1157000E-05
  1.4777000E+04  1.1157000E-05
  1.4838000E+04  1.0970000E-05
  1.4898000E+04  1.1063000E-05
  1.4959000E+04  1.1157000E-05
  1.5020000E+04  1.1157000E-05
  1.5081000E+04  1.0532000E-05
  1.5142000E+04  1.1126000E-05
  1.5202000E+04  1.1126000E-05
  1.5263000E+04  1.1157000E-05
  1.5323000E+04  1.0532000E-05
  1.5384000E+04  1.0689000E-05
  1.5445000E+04  1.1063000E-05
  1.5505000E+04  1.1095000E-05
  1.5566000E+04  1.1095000E-05
  1.5627000E+04  1.1063000E-05
  1.5688000E+04  1.1063000E-05
  1.5749000E+04  1.1001000E-05
  1.5810000E+04  1.1032000E-05
  1.5871000E+04  1.1032000E-05
  1.5931000E+04  1.1032000E-05
  1.5992000E+04  1.0970000E-05
  1.6052000E+04  1.1001000E-05
  1.6113000E+04  1.0813000E-05
  1.6173000E+04  1.1001000E-05
  1.6234000E+04  1.0813000E-05
  1.6295000E+04  1.0782000E-05
  1.6356000E+04  1.0782000E-05
  1.6416000E+04  1.0876000E-05
  1.6477000E+04  1.0907000E-05
  1.6538000E+04  1.0751000E-05
  1.6599000E+04  1.0813000E-05
  1.6660000E+04  1.0845000E-05
  1.6720000E+04  1.0782000E-05
  1.6781000E+04  1.0813000E-05
  1.6842000E+04  1.0782000E-05
  1.6902000E+04  1.0970000E-05
  1.6962000E+04  1.0907000E-05
  1.7023000E+04  1.0970000E-05
  1.7084000E+04  1.0876000E-05
  1.7145000E+04  1.0907000E-05
  1.7206000E+04  1.0907000E-05
  1.7266000E+04  1.0907000E-05
  1.7326000E+04  1.0907000E-05
  1.7387000E+04  1.0876000E-05
  1.7447000E+04  1.0876000E-05
  1.7507000E+04  1.0876000E-05
  1.7567000E+04  1.0845000E-05
  1.7628000E+04  1.0813000E-05
  1.7689000E+04  1.0813000E-05
  1.7750000E+04  1.0813000E-05
  1.7811000E+04  1.0782000E-05
  1.7872000E+04  1.0782000E-05
  1.7932000E+04  1.0813000E-05
  1.7992000E+04  1.0720000E-05
  1.8052000E+04  1.0845000E-05
  1.8113000E+04  1.0782000E-05
  1.8173000E+04  1.0782000E-05
  1.8234000E+04  1.0751000E-05
  1.8294000E+04  1.0720000E-05
  1.8355000E+04  1.1032000E-05
  1.8416000E+04  1.1095000E-05
  1.8476000E+04  1.1063000E-05
  1.8536000E+04  1.1157000E-05
  1.8596000E+04  1.1157000E-05
  1.8657000E+04  1.1344000E-05
  1.8718000E+04  1.1532000E-05
  1.8778000E+04  1.1563000E-05
  1.8839000E+04  1.1594000E-05
  1.8900000E+04  1.1532000E-05
  1.8961000E+04  1.1563000E-05
  1.9021000E+04  1.1563000E-05
  1.9081000E+04  1.1532000E-05
  1.9142000E+04  1.1563000E-05
  1.9202000E+04  1.1532000E-05
  1.9263000E+04  1.1501000E-05
  1.9324000E+04  1.1469000E-05
  1.9384000E+04  1.1438000E-05
  1.9445000E+04  1.1438000E-05
  1.9506000E+04  1.1532000E-05
  1.9566000E+04  1.1563000E-05
  1.9626000E+04  1.1532000E-05
  1.9687000E+04  1.1469000E-05
  1.9748000E+04  1.1469000E-05
  1.9809000E+04  1.1532000E-05
  1.9870000E+04  1.1532000E-05
  1.9930000E+04  1.1501000E-05
  1.9990000E+04  1.1501000E-05
  2.0050000E+04  1.1563000E-05
  2.0110000E+04  1.1563000E-05
  2.0170000E+04  1.1532000E-05
  2.0230000E+04  1.1469000E-05
  2.0291000E+04  1.1438000E-05
  2.0352000E+04  1.1438000E-05
  2.0413000E+04  1.1469000E-05
  2.0473000E+04  1.1344000E-05
  2.0534000E+04  1.1469000E-05
  2.0595000E+04  1.1501000E-05
  2.0655000E+04  1.1532000E-05
  2.0715000E+04  1.1532000E-05
  2.0775000E+04  1.1438000E-05
  2.0836000E+04  1.1438000E-05
  2.0897000E+04  1.1344000E-05
  2.0958000E+04  1.1376000E-05
  2.1018000E+04  1.1407000E-05
  2.1078000E+04  1.1344000E-05
  2.1139000E+04  1.1407000E-05
  2.1199000E+04  1.1407000E-05
  2.1259000E+04  1.1407000E-05
  2.1320000E+04  1.1376000E-05
  2.1380000E+04  1.1469000E-05
  2.1441000E+04  1.1532000E-05
  2.1502000E+04  1.1438000E-05
  2.1563000E+04  1.1407000E-05
  2.1623000E+04  1.1407000E-05
  2.1684000E+04  1.1438000E-05
  2.1744000E+04  1.1501000E-05
  2.1804000E+04  1.1501000E-05
  2.1865000E+04  1.1438000E-05
  2.1926000E+04  1.1469000E-05
  2.1987000E+04  1.1438000E-05
  2.2048000E+04  1.1313000E-05
  2.2108000E+04  1.1344000E-05
  2.2169000E+04  1.1438000E-05
  2.2229000E+04  1.1469000E-05
  2.2289000E+04  1.1501000E-05
  2.2349000E+04  1.1469000E-05
  2.2410000E+04  1.1469000E-05
  2.2470000E+04  1.1563000E-05
  2.2531000E+04  1.1563000E-05
  2.2591000E+04  1.1563000E-05
  2.2652000E+04  1.1563000E-05
  2.2713000E+04  1.1563000E-05
  2.2774000E+04  1.1594000E-05
  2.2835000E+04  1.1563000E-05
  2.2895000E+04  1.1657000E-05
  2.2956000E+04  1.1594000E-05
  2.3016000E+04  1.1563000E-05
  2.3077000E+04  1.1563000E-05
  2.3137000E+04  1.1594000E-05
  2.3198000E+04  1.1563000E-05
  2.3258000E+04  1.1563000E-05
  2.3319000E+04  1.1532000E-05
  2.3379000E+04  1.1532000E-05
  2.3439000E+04  1.1532000E-05
  2.3500000E+04  1.1594000E-05
  2.3560000E+04  1.1626000E-05
  2.3621000E+04  1.1594000E-05
  2.3681000E+04  1.1563000E-05
  2.3742000E+04  1.1594000E-05
  2.3803000E+04  1.1657000E-05
  2.3864000E+04  1.1594000E-05
  2.3924000E+04  1.1532000E-05
  2.3985000E+04  1.1563000E-05
  2.4045000E+04  1.1532000E-05
  2.4106000E+04  1.1501000E-05
  2.4167000E+04  1.1563000E-05
  2.4228000E+04  1.1563000E-05
  2.4289000E+04  1.1563000E-05
  2.4349000E+04  1.1563000E-05
  2.4409000E+04  1.1594000E-05
  2.4469000E+04  1.1438000E-05
  2.4530000E+04  1.1469000E-05
  2.4591000E+04  1.1501000E-05
  2.4652000E+04  1.1469000E-05
  2.4713000E+04  1.1438000E-05
  2.4773000E+04  1.1469000E-05
  2.4833000E+04  1.1438000E-05
  2.4894000E+04  1.1407000E-05
  2.4954000E+04  1.1376000E-05
  2.5014000E+04  1.1344000E-05
  2.5075000E+04  1.1313000E-05
  2.5136000E+04  1.1344000E-05
  2.5196000E+04  1.1376000E-05
  2.5257000E+04  1.1376000E-05
  2.5318000E+04  1.1313000E-05
  2.5378000E+04  1.1313000E-05
  2.5439000E+04  1.1407000E-05
  2.5499000E+04  1.1469000E-05
  2.5559000E+04  1.1501000E-05
  2.5620000E+04  1.1438000E-05
  2.5681000E+04  1.1407000E-05
  2.5742000E+04  1.1532000E-05
  2.5802000E+04  1.1501000E-05
  2.5862000E+04  1.1438000E-05
  2.5923000E+04  1.1376000E-05
  2.5983000E+04  1.1407000E-05
  2.6044000E+04  1.1469000E-05
  2.6104000E+04  1.1563000E-05
  2.6165000E+04  1.1469000E-05
  2.6226000E+04  1.1501000E-05
  2.6286000E+04  1.1438000E-05
  2.6347000E+04  1.1407000E-05
  2.6407000E+04  1.1376000E-05
  2.6467000E+04  1.1344000E-05
  2.6527000E+04  1.1344000E-05
  2.6588000E+04  1.1438000E-05
  2.6649000E+04  1.1438000E-05
  2.6710000E+04  1.1376000E-05
  2.6770000E+04  1.1313000E-05
  2.6830000E+04  1.1344000E-05
  2.6891000E+04  1.1407000E-05
  2.6952000E+04  1.1376000E-05
  2.7012000E+04  1.1376000E-05
  2.7073000E+04  1.1282000E-05
  2.7133000E+04  1.1282000E-05
  2.7194000E+04  1.1313000E-05
  2.7255000E+04  1.1282000E-05
  2.7316000E+04  1.1344000E-05
  2.7377000E+04  1.1313000E-05
  2.7437000E+04  1.1313000E-05
  2.7497000E+04  1.1344000E-05
  2.7558000E+04  1.1344000E-05
  2.7618000E+04  1.1376000E-05
  2.7679000E+04  1.1344000E-05
  2.7739000E+04  1.1282000E-05
  2.7800000E+04  1.1376000E-05
  2.7861000E+04  1.1407000E-05
  2.7921000E+04  1.1376000E-05
  2.7982000E+04  1.1376000E-05
  2.8043000E+04  1.1344000E-05
  2.8104000E+04  1.1438000E-05
  2.8164000E+04  1.1376000E-05
  2.8224000E+04  1.1344000E-05
  2.8284000E+04  1.1313000E-05
  2.8345000E+04  1.1344000E-05
  2.8405000E+04  1.1282000E-05
  2.8466000E+04  1.1188000E-05
  2.8527000E+04  1.1282000E-05
  2.8587000E+04  1.1282000E-05
  2.8648000E+04  1.1251000E-05
  2.8709000E+04  1.1313000E-05
  2.8769000E+04  1.1282000E-05
  2.8829000E+04  1.1251000E-05
  2.8889000E+04  1.1126000E-05
  2.8950000E+04  1.1251000E-05
  2.9010000E+04  1.0626000E-05
  2.9071000E+04  1.1282000E-05
  2.9132000E+04  1.0876000E-05
  2.9193000E+04  1.1157000E-05
  2.9253000E+04  1.1032000E-05
  2.9314000E+04  1.0532000E-05
  2.9375000E+04  1.0532000E-05
  2.9435000E+04  1.1095000E-05
  2.9496000E+04  1.1126000E-05
  2.9557000E+04  1.1126000E-05
  2.9618000E+04  1.1219000E-05
  2.9678000E+04  1.1188000E-05
  2.9739000E+04  1.1157000E-05
  2.9800000E+04  1.1188000E-05
  2.9861000E+04  1.1219000E-05
  2.9921000E+04  1.1219000E-05
  2.9982000E+04  1.1219000E-05
  3.0042000E+04  1.1188000E-05
  3.0102000E+04  1.1188000E-05
  3.0162000E+04  1.0907000E-05
  3.0223000E+04  1.0407000E-05
  3.0284000E+04  1.0876000E-05
  3.0344000E+04  1.1126000E-05
  3.0405000E+04  1.1095000E-05
  3.0465000E+04  1.1126000E-05
  3.0525000E+04  1.1251000E-05
  3.0585000E+04  1.1282000E-05
  3.0645000E+04  1.1219000E-05
  3.0706000E+04  1.1157000E-05
  3.0766000E+04  1.1157000E-05
  3.0827000E+04  1.1157000E-05
  3.0887000E+04  1.1157000E-05
  3.0948000E+04  1.1126000E-05
  3.1009000E+04  1.1063000E-05
  3.1069000E+04  1.1032000E-05
  3.1129000E+04  1.1032000E-05
  3.1190000E+04  1.1001000E-05
  3.1250000E+04  1.1063000E-05
  3.1311000E+04  1.1063000E-05
  3.1372000E+04  1.1001000E-05
  3.1433000E+04  1.1032000E-05
  3.1494000E+04  1.0938000E-05
  3.1554000E+04  1.0938000E-05
  3.1614000E+04  1.0938000E-05
  3.1675000E+04  1.1063000E-05
  3.1736000E+04  1.1126000E-05
  3.1796000E+04  1.0251000E-05
  3.1857000E+04  1.1063000E-05
  3.1917000E+04  1.1063000E-05
  3.1977000E+04  1.1032000E-05
  3.2038000E+04  1.1001000E-05
  3.2098000E+04  1.1001000E-05
  3.2158000E+04  1.1063000E-05
  3.2219000E+04  1.1063000E-05
  3.2280000E+04  1.1063000E-05
  3.2340000E+04  1.1032000E-05
  3.2401000E+04  1.1001000E-05
  3.2461000E+04  1.0907000E-05
  3.2521000E+04  1.0970000E-05
  3.2582000E+04  1.0657000E-05
  3.2642000E+04  1.0689000E-05
  3.2702000E+04  1.1063000E-05
  3.2762000E+04  1.1063000E-05
  3.2823000E+04  1.1032000E-05
  3.2884000E+04  1.1032000E-05
  3.2945000E+04  1.0845000E-05
  3.3006000E+04  1.0938000E-05
  3.3066000E+04  1.0938000E-05
  3.3127000E+04  1.1001000E-05
  3.3187000E+04  1.1001000E-05
  3.3247000E+04  1.1032000E-05
  3.3308000E+04  1.0283000E-05
  3.3369000E+04  1.0813000E-05
  3.3430000E+04  1.1001000E-05
  3.3491000E+04  1.0532000E-05
  3.3551000E+04  1.0595000E-05
  3.3612000E+04  1.1063000E-05
  3.3672000E+04  1.1063000E-05
  3.3732000E+04  1.1063000E-05
  3.3792000E+04  1.1063000E-05
  3.3853000E+04  1.1001000E-05
  3.3914000E+04  1.0938000E-05
  3.3975000E+04  1.0907000E-05
  3.4036000E+04  1.0938000E-05
  3.4096000E+04  1.0938000E-05
  3.4156000E+04  1.0938000E-05
  3.4216000E+04  1.1063000E-05
  3.4277000E+04  1.0876000E-05
  3.4338000E+04  1.0845000E-05
  3.4398000E+04  1.0845000E-05
  3.4459000E+04  1.0845000E-05
  3.4519000E+04  1.0751000E-05
  3.4579000E+04  1.0813000E-05
  3.4639000E+04  1.0876000E-05
  3.4700000E+04  1.0907000E-05
  3.4760000E+04  1.0970000E-05
  3.4821000E+04  1.0876000E-05
  3.4881000E+04  1.0845000E-05
  3.4942000E+04  1.0845000E-05
  3.5002000E+04  1.0876000E-05
  3.5063000E+04  1.0876000E-05
  3.5124000E+04  1.0876000E-05
  3.5185000E+04  1.0845000E-05
  3.5245000E+04  1.0782000E-05
  3.5306000E+04  1.0782000E-05
  3.5366000E+04  1.0782000E-05
  3.5427000E+04  1.0938000E-05
  3.5488000E+04  1.0813000E-05
  3.5548000E+04  1.0813000E-05
  3.5609000E+04  1.0813000E-05
  3.5670000E+04  1.0813000E-05
  3.5730000E+04  1.0813000E-05
  3.5790000E+04  1.0970000E-05
  3.5851000E+04  1.0813000E-05
  3.5911000E+04  1.0845000E-05
  3.5972000E+04  1.0813000E-05
  3.6032000E+04  1.0845000E-05
  3.6093000E+04  1.0782000E-05
  3.6153000E+04  1.0938000E-05
  3.6214000E+04  1.1001000E-05
  3.6274000E+04  1.1001000E-05
  3.6335000E+04  1.0970000E-05
  3.6396000E+04  1.0720000E-05
  3.6456000E+04  1.0189000E-05
  3.6517000E+04  1.0751000E-05
  3.6577000E+04  1.0751000E-05
  3.6637000E+04  1.0813000E-05
  3.6698000E+04  1.0813000E-05
  3.6759000E+04  1.0876000E-05
