IN115G  IFX  4.039E+01 140INNG   3.59900E+22
 9.4378733E-02 2.6759433E-01 4.6196761E-01 5.5078100E-01 6.1084401E-01 6.5203775E-01
 6.6826086E-01 6.8683113E-01 6.9210196E-01 6.7551709E-01 6.0607771E-01 2.8191991E-01
 2.2414885E-02 6.5969201E-01 3.7624621E-01 9.5135129E-01 2.2939571E-01 6.8292015E-01
 9.9638665E-01 5.8692089E-01 4.5987702E-01 8.6854988E-01 6.6807083E-01 8.0476963E-01
 6.9420713E-01 6.3968176E-01 6.7562791E-01 7.4501821E-01 8.2030695E-01 8.5084009E-01
 9.0207281E-01 8.9919500E-01 9.1206213E-01 9.5356870E-01 9.2175586E-01 9.7569981E-01
 9.7873156E-01 9.8122346E-01 9.8321559E-01 9.8477935E-01 9.8632083E-01 9.8728190E-01
 9.8892088E-01 9.8966328E-01 9.9088198E-01 9.9171759E-01 9.9258961E-01 9.9337209E-01
 9.9415960E-01 9.9485525E-01 9.9550894E-01 9.9594099E-01 9.9633833E-01 9.9663045E-01
 9.9684058E-01 9.9702330E-01 9.9717033E-01 9.9724779E-01 9.9735266E-01 9.9741617E-01
 9.9746820E-01 9.9750704E-01 9.9752557E-01 9.9753177E-01 9.9752798E-01 9.9751266E-01
 9.9749232E-01 9.9746487E-01 9.9742155E-01 9.9738105E-01 9.9731315E-01 9.9728718E-01
 9.9737384E-01 9.9757520E-01 9.9784108E-01 9.9822887E-01 9.9860021E-01 9.9901182E-01
 9.9926377E-01 9.9972752E-01 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00
AU197G  IFX  3.940E+00 140AUNG   5.66620E+22
 5.3488806E-01 7.6302898E-01 8.7162948E-01 9.0400928E-01 9.2358676E-01 9.3665606E-01
 9.4210751E-01 9.4964472E-01 9.5553149E-01 9.6008270E-01 9.6304914E-01 9.6426268E-01
 9.6168954E-01 9.4945629E-01 8.3746636E-01 1.3492995E-01 9.5296004E-01 9.9218717E-01
 9.9772490E-01 9.9900917E-01 9.9919658E-01 4.8488481E-01 7.9188278E-01 8.6551969E-01
 8.3387431E-01 8.3983353E-01 8.2551040E-01 8.1998376E-01 8.8254059E-01 8.9258758E-01
 9.0358034E-01 9.2293634E-01 9.3995428E-01 9.6078008E-01 9.6900262E-01 9.7495816E-01
 9.8268824E-01 9.8625814E-01 9.9397428E-01 9.9609639E-01 9.9679140E-01 9.9716997E-01
 9.9777003E-01 9.9802859E-01 9.9835673E-01 9.9848959E-01 9.9865863E-01 9.9880848E-01
 9.9893570E-01 9.9905023E-01 9.9914312E-01 9.9919695E-01 9.9924345E-01 9.9927672E-01
 9.9930654E-01 9.9933504E-01 9.9938369E-01 9.9944040E-01 9.9964840E-01 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00
