   E (MeV)	Unadj. F×Eavg	Adj. F×Eavg
 1.00000E-10	 4.21981E-01	 4.21854E-01
 1.00000E-09	 4.21981E-01	 4.21854E-01
 1.00000E-09	 7.41855E+00	 7.41655E+00
 1.00000E-08	 7.41855E+00	 7.41655E+00
 1.00000E-08	 5.26164E+01	 5.26039E+01
 2.30000E-08	 5.26164E+01	 5.26039E+01
 2.30000E-08	 1.11762E+02	 1.11737E+02
 5.00000E-08	 1.11762E+02	 1.11737E+02
 5.00000E-08	 1.81866E+02	 1.81829E+02
 7.60000E-08	 1.81866E+02	 1.81829E+02
 7.60000E-08	 1.60430E+02	 1.60399E+02
 1.15000E-07	 1.60430E+02	 1.60399E+02
 1.15000E-07	 1.01117E+02	 1.01097E+02
 1.70000E-07	 1.01117E+02	 1.01097E+02
 1.70000E-07	 8.79825E+01	 8.79650E+01
 2.55000E-07	 8.79825E+01	 8.79650E+01
 2.55000E-07	 1.23974E+02	 1.23947E+02
 3.80000E-07	 1.23974E+02	 1.23947E+02
 3.80000E-07	 6.11444E+01	 6.11292E+01
 5.50000E-07	 6.11444E+01	 6.11292E+01
 5.50000E-07	 6.23734E+01	 6.23552E+01
 8.40000E-07	 6.23734E+01	 6.23552E+01
 8.40000E-07	 5.74123E+01	 5.73922E+01
 1.27500E-06	 5.74123E+01	 5.73922E+01
 1.27500E-06	 4.12962E+01	 4.12788E+01
 1.90000E-06	 4.12962E+01	 4.12788E+01
 1.90000E-06	 4.40944E+01	 4.40721E+01
 2.80000E-06	 4.40944E+01	 4.40721E+01
 2.80000E-06	 3.86435E+01	 3.86201E+01
 4.25000E-06	 3.86435E+01	 3.86201E+01
 4.25000E-06	 2.54413E+01	 2.54231E+01
 6.30000E-06	 2.54413E+01	 2.54231E+01
 6.30000E-06	 2.21892E+01	 2.21708E+01
 9.20000E-06	 2.21892E+01	 2.21708E+01
 9.20000E-06	 1.63437E+01	 1.63281E+01
 1.35000E-05	 1.63437E+01	 1.63281E+01
 1.35000E-05	 1.25399E+01	 1.25263E+01
 2.10000E-05	 1.25399E+01	 1.25263E+01
 2.10000E-05	 6.91133E+00	 6.90266E+00
 3.00000E-05	 6.91133E+00	 6.90266E+00
 3.00000E-05	 8.72294E+00	 8.71127E+00
 4.50000E-05	 8.72294E+00	 8.71127E+00
 4.50000E-05	 8.02086E+00	 8.00921E+00
 6.90000E-05	 8.02086E+00	 8.00921E+00
 6.90000E-05	 9.17191E+00	 9.15765E+00
 1.00000E-04	 9.17191E+00	 9.15765E+00
 1.00000E-04	 4.29699E+00	 4.28904E+00
 1.35000E-04	 4.29699E+00	 4.28904E+00
 1.35000E-04	 3.63560E+00	 3.62896E+00
 1.70000E-04	 3.63560E+00	 3.62896E+00
 1.70000E-04	 4.68019E+00	 4.67180E+00
 2.20000E-04	 4.68019E+00	 4.67180E+00
