   E (MeV)	Unadj. F×Eavg	Adj. F×Eavg
 1.00000E-10	 8.56808E-02	 2.44209E-01
 1.00000E-09	 8.56808E-02	 2.44209E-01
 1.00000E-09	 3.72297E+00	 6.02742E+00
 1.00000E-08	 3.72297E+00	 6.02742E+00
 1.00000E-08	 3.16857E+01	 4.53800E+01
 2.30000E-08	 3.16857E+01	 4.53800E+01
 2.30000E-08	 7.98418E+01	 1.01791E+02
 5.00000E-08	 7.98418E+01	 1.01791E+02
 5.00000E-08	 1.16746E+02	 1.60561E+02
 7.60000E-08	 1.16746E+02	 1.60561E+02
 7.60000E-08	 1.01546E+02	 1.41950E+02
 1.15000E-07	 1.01546E+02	 1.41950E+02
 1.15000E-07	 6.25801E+01	 9.00325E+01
 1.70000E-07	 6.25801E+01	 9.00325E+01
 1.70000E-07	 5.42156E+01	 7.96243E+01
 2.55000E-07	 5.42156E+01	 7.96243E+01
 2.55000E-07	 6.70718E+01	 1.11248E+02
 3.80000E-07	 6.70718E+01	 1.11248E+02
 3.80000E-07	 3.67829E+01	 5.83196E+01
 5.50000E-07	 3.67829E+01	 5.83196E+01
 5.50000E-07	 3.96195E+01	 6.31581E+01
 8.40000E-07	 3.96195E+01	 6.31581E+01
 8.40000E-07	 4.37179E+01	 6.38681E+01
 1.27500E-06	 4.37179E+01	 6.38681E+01
 1.27500E-06	 3.54650E+01	 5.06973E+01
 1.90000E-06	 3.54650E+01	 5.06973E+01
 1.90000E-06	 3.88774E+01	 6.38402E+01
 2.80000E-06	 3.88774E+01	 6.38402E+01
 2.80000E-06	 4.51002E+01	 6.35583E+01
 4.25000E-06	 4.51002E+01	 6.35583E+01
 4.25000E-06	 3.73687E+01	 4.86247E+01
 6.30000E-06	 3.73687E+01	 4.86247E+01
 6.30000E-06	 4.39689E+01	 5.91055E+01
 9.20000E-06	 4.39689E+01	 5.91055E+01
 9.20000E-06	 4.04494E+01	 4.94962E+01
 1.35000E-05	 4.04494E+01	 4.94962E+01
 1.35000E-05	 3.65298E+01	 4.15874E+01
 2.10000E-05	 3.65298E+01	 4.15874E+01
 2.10000E-05	 4.68701E+01	 5.59154E+01
 3.00000E-05	 4.68701E+01	 5.59154E+01
 3.00000E-05	 4.62085E+01	 5.00901E+01
 4.50000E-05	 4.62085E+01	 5.00901E+01
 4.50000E-05	 5.27448E+01	 5.56127E+01
 6.90000E-05	 5.27448E+01	 5.56127E+01
 6.90000E-05	 6.07102E+01	 6.23695E+01
 1.00000E-04	 6.07102E+01	 6.23695E+01
 1.00000E-04	 6.95692E+01	 7.11339E+01
 1.35000E-04	 6.95692E+01	 7.11339E+01
 1.35000E-04	 4.68397E+01	 4.70549E+01
 1.70000E-04	 4.68397E+01	 4.70549E+01
 1.70000E-04	 5.46902E+01	 5.44278E+01
 2.20000E-04	 5.46902E+01	 5.44278E+01
