ANNOTATIONS & RUN OPTIONS:
--------------------------
PyScripts Generated BCF file                                                    
 1 2 0 0 S
      4997

INPUT DATA:
-----------

     TIME (S)     FEE (Qty/S)
  2.0000000E+00  8.5560000E-06
  4.0000000E+00  8.6000000E-06
  6.0000000E+00  8.6330000E-06
  8.0000000E+00  8.6330000E-06
  9.0000000E+00  8.6330000E-06
  1.1000000E+01  8.6220000E-06
  1.3000000E+01  8.6330000E-06
  1.4000000E+01  8.6440000E-06
  1.6000000E+01  8.5780000E-06
  1.7000000E+01  8.5890000E-06
  1.9000000E+01  8.5780000E-06
  2.1000000E+01  8.5560000E-06
  2.3000000E+01  8.5890000E-06
  2.5000000E+01  8.5780000E-06
  2.7000000E+01  8.6550000E-06
  2.8000000E+01  8.6770000E-06
  2.9000000E+01  8.6770000E-06
  3.1000000E+01  8.6550000E-06
  3.3000000E+01  8.6770000E-06
  3.4000000E+01  8.6880000E-06
  3.6000000E+01  8.6550000E-06
  3.8000000E+01  8.6550000E-06
  4.0000000E+01  8.6330000E-06
  4.1000000E+01  8.6440000E-06
  4.3000000E+01  8.6770000E-06
  4.5000000E+01  8.6660000E-06
  4.6000000E+01  8.6660000E-06
  4.8000000E+01  8.6880000E-06
  4.9000000E+01  8.6770000E-06
  5.0000000E+01  8.6660000E-06
  5.2000000E+01  8.6880000E-06
  5.3000000E+01  8.6880000E-06
  5.5000000E+01  8.6440000E-06
  5.7000000E+01  8.6660000E-06
  5.8000000E+01  8.6770000E-06
  5.9000000E+01  8.6660000E-06
  6.1000000E+01  8.6660000E-06
  6.2000000E+01  8.6660000E-06
  6.4000000E+01  8.6880000E-06
  6.5000000E+01  8.6550000E-06
  6.6000000E+01  8.6770000E-06
  6.7000000E+01  8.6880000E-06
  6.8000000E+01  8.6770000E-06
  7.0000000E+01  8.6550000E-06
  7.1000000E+01  8.6330000E-06
  7.3000000E+01  8.6220000E-06
  7.5000000E+01  8.6220000E-06
  7.6000000E+01  8.6220000E-06
  7.8000000E+01  8.6330000E-06
  8.0000000E+01  8.6440000E-06
  8.1000000E+01  8.6660000E-06
  8.2000000E+01  8.6330000E-06
  8.4000000E+01  8.6330000E-06
  8.6000000E+01  8.6220000E-06
  8.7000000E+01  8.6220000E-06
  8.9000000E+01  8.5560000E-06
  9.0000000E+01  8.5560000E-06
  9.2000000E+01  8.5670000E-06
  9.4000000E+01  8.6550000E-06
  9.5000000E+01  8.6440000E-06
  9.7000000E+01  8.6440000E-06
  9.8000000E+01  8.6440000E-06
  1.0000000E+02  8.6330000E-06
  1.0200000E+02  8.6770000E-06
  1.0300000E+02  8.6770000E-06
  1.0500000E+02  8.6550000E-06
  1.0700000E+02  8.6660000E-06
  1.0800000E+02  8.6550000E-06
  1.1000000E+02  8.6550000E-06
  1.1200000E+02  8.6220000E-06
  1.1300000E+02  8.5890000E-06
  1.1500000E+02  8.5670000E-06
  1.1700000E+02  8.5780000E-06
  1.1900000E+02  8.5670000E-06
  1.2100000E+02  8.5670000E-06
  1.2200000E+02  8.4790000E-06
  1.2400000E+02  8.5560000E-06
  1.2500000E+02  8.5780000E-06
  1.2700000E+02  8.5890000E-06
  1.2900000E+02  8.6000000E-06
  1.3000000E+02  8.6000000E-06
  1.3200000E+02  8.5890000E-06
  1.3300000E+02  8.6660000E-06
  1.3500000E+02  8.6440000E-06
  1.3600000E+02  8.6330000E-06
  1.3800000E+02  8.6330000E-06
  1.4000000E+02  8.6440000E-06
  1.4100000E+02  8.6440000E-06
  1.4300000E+02  8.6440000E-06
  1.4500000E+02  8.6440000E-06
  1.4600000E+02  8.6550000E-06
  1.4800000E+02  8.6440000E-06
  1.5000000E+02  8.6000000E-06
  1.5100000E+02  8.5890000E-06
  1.5300000E+02  8.6220000E-06
  1.5400000E+02  8.6220000E-06
  1.5500000E+02  8.6000000E-06
  1.5700000E+02  8.6880000E-06
  1.5800000E+02  8.6990000E-06
