   E (MeV)	Unadj. F×Eavg	Adj. F×Eavg
 1.00000E-10	 2.24384E+01	 2.24373E+01
 1.00000E-09	 2.24384E+01	 2.24373E+01
 1.00000E-09	 3.64773E+00	 3.64754E+00
 1.00000E-08	 3.64773E+00	 3.64754E+00
 1.00000E-08	 5.30664E+01	 5.30636E+01
 2.30000E-08	 5.30664E+01	 5.30636E+01
 2.30000E-08	 1.48607E+02	 1.48599E+02
 5.00000E-08	 1.48607E+02	 1.48599E+02
 5.00000E-08	 2.26454E+02	 2.26442E+02
 7.60000E-08	 2.26454E+02	 2.26442E+02
 7.60000E-08	 1.70830E+02	 1.70821E+02
 1.15000E-07	 1.70830E+02	 1.70821E+02
 1.15000E-07	 1.42239E+02	 1.42231E+02
 1.70000E-07	 1.42239E+02	 1.42231E+02
 1.70000E-07	 1.01977E+02	 1.01972E+02
 2.55000E-07	 1.01977E+02	 1.01972E+02
 2.55000E-07	 8.32200E+01	 8.32155E+01
 3.80000E-07	 8.32200E+01	 8.32155E+01
 3.80000E-07	 5.50045E+01	 5.50016E+01
 5.50000E-07	 5.50045E+01	 5.50016E+01
 5.50000E-07	 2.80672E+01	 2.80657E+01
 8.40000E-07	 2.80672E+01	 2.80657E+01
 8.40000E-07	 2.56946E+01	 2.56933E+01
 1.27500E-06	 2.56946E+01	 2.56933E+01
 1.27500E-06	 2.68586E+01	 2.68572E+01
 1.90000E-06	 2.68586E+01	 2.68572E+01
 1.90000E-06	 2.96216E+01	 2.96198E+01
 2.80000E-06	 2.96216E+01	 2.96198E+01
 2.80000E-06	 2.30840E+01	 2.30822E+01
 4.25000E-06	 2.30840E+01	 2.30822E+01
 4.25000E-06	 1.61365E+01	 1.61349E+01
 6.30000E-06	 1.61365E+01	 1.61349E+01
 6.30000E-06	 1.61774E+01	 1.61752E+01
 9.20000E-06	 1.61774E+01	 1.61752E+01
 9.20000E-06	 3.68712E+00	 3.68648E+00
 1.35000E-05	 3.68712E+00	 3.68648E+00
 1.35000E-05	 1.02363E+00	 1.02340E+00
 2.10000E-05	 1.02363E+00	 1.02340E+00
