IN115G  BFX  4.020E+01 140INNG   3.56400E+22
 1.8937949E-01 4.7702290E-01 7.0762241E-01 7.8439383E-01 8.2917621E-01 8.5662946E-01
 8.6675081E-01 8.7794431E-01 8.8104047E-01 8.7114598E-01 8.2499557E-01 4.7982998E-01
 4.3562112E-02 8.5258725E-01 5.6502806E-01 9.8967359E-01 3.7935827E-01 8.4429858E-01
 9.9954682E-01 7.9462391E-01 6.7776507E-01 9.6191908E-01 8.4681959E-01 9.3334057E-01
 8.6402561E-01 8.3125387E-01 8.5694179E-01 8.9816603E-01 9.3916456E-01 9.5344282E-01
 9.7229278E-01 9.7272384E-01 9.7739814E-01 9.9011270E-01 9.8027417E-01 9.9579999E-01
 9.9642388E-01 9.9692048E-01 9.9730695E-01 9.9760274E-01 9.9788801E-01 9.9806247E-01
 9.9835326E-01 9.9848201E-01 9.9868953E-01 9.9882870E-01 9.9897111E-01 9.9909608E-01
 9.9921933E-01 9.9932558E-01 9.9942331E-01 9.9948653E-01 9.9954372E-01 9.9958510E-01
 9.9961451E-01 9.9963983E-01 9.9966003E-01 9.9967060E-01 9.9968485E-01 9.9969343E-01
 9.9970043E-01 9.9970565E-01 9.9970813E-01 9.9970896E-01 9.9970846E-01 9.9970640E-01
 9.9970367E-01 9.9969999E-01 9.9969415E-01 9.9968869E-01 9.9967949E-01 9.9967597E-01
 9.9968770E-01 9.9971475E-01 9.9974994E-01 9.9980006E-01 9.9984658E-01 9.9989622E-01
 9.9992529E-01 9.9997317E-01 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00
AU197G  BFX  3.700E+00 140AUNG   5.60700E+22
 7.7827670E-01 9.2207907E-01 9.6734886E-01 9.7780944E-01 9.8352056E-01 9.8703970E-01
 9.8843373E-01 9.9029619E-01 9.9169198E-01 9.9273449E-01 9.9339577E-01 9.9366224E-01
 9.9309309E-01 9.9022454E-01 9.5252696E-01 2.3499536E-01 9.9076517E-01 9.9895693E-01
 9.9974806E-01 9.9990177E-01 9.9992232E-01 6.9992397E-01 9.3126285E-01 9.6271050E-01
 9.4981033E-01 9.5304513E-01 9.4587266E-01 9.4285663E-01 9.6892235E-01 9.7151814E-01
 9.7622425E-01 9.8219396E-01 9.8714015E-01 9.9253548E-01 9.9443064E-01 9.9571455E-01
 9.9726193E-01 9.9791434E-01 9.9921155E-01 9.9953701E-01 9.9962998E-01 9.9967939E-01
 9.9975542E-01 9.9978723E-01 9.9982682E-01 9.9984252E-01 9.9986221E-01 9.9987937E-01
 9.9989372E-01 9.9990643E-01 9.9991661E-01 9.9992243E-01 9.9992743E-01 9.9993098E-01
 9.9993414E-01 9.9993715E-01 9.9994223E-01 9.9995486E-01 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00 1.0000000E+00
 1.0000000E+00 1.0000000E+00
